Zoning Case: NPA-2014-0003.01
Meeting Date: 2014-03-27T00:00:00.000
Agenda Item: 49
Source URL: http://austintx.swagit.com/play/45616/0/
================================================================================

[0.00s -> 7.08s]  So it's after two o'clock. I think we can do our zoning cases if Mr. Guernsey is in the house
[11.80s -> 13.80s]  Since he
[15.00s -> 17.00s]  Is not here maybe we could
[19.08s -> 21.08s]  Summon him
[23.88s -> 25.88s]  And there he is
[30.04s -> 34.64s]  Mayor and Council Greg Guernsey playing in development and re-department. I'll go through our two o'clock
[35.08s -> 37.08s]  Zoning and neighbor plan amendments
[37.08s -> 44.52s]  The items I can offer for consent approval or postponement first item is item number 49. This is case MPA
[45.64s -> 48.72s]  2014 zero zero three point oh one
[49.60s -> 55.40s]  In the chestnut neighborhood planning areas to amend the future plan use map for the property located at
[55.80s -> 58.96s]  At 1805 and 1807 you lit Avenue
[58.96s -> 67.76s]  This is to zone the property do single family or not zone the property to change the future land means map to single family land use and it was
[68.32s -> 73.64s]  recommended to you by the planning Commission is ready for consent approval on all three readings and
[74.56s -> 75.96s]  number 50
[75.96s -> 77.96s]  KC 14 2014
[78.32s -> 85.24s]  Zero zero zero six for the property located 1805 and 1807 you was Avenue. This is the accompanying zoning case
[85.76s -> 90.56s]  This is only property to family residents neighbor plan or SF 3 MP combined district zoning
[91.08s -> 98.60s]  The planning Commission recommendation was to grant the SF 3 MP combined district zoning and this is ready for consent approval on all three readings
[99.52s -> 101.12s]  item number 51
[101.24s -> 103.24s]  KC 14 2013
[103.24s -> 109.88s]  0147 at 707 West Avenue a staff is requesting a postponement to your next meeting
[110.24s -> 112.24s]  I think we're still dealing
[112.52s -> 119.26s]  addressing an issue regarding the creation of the ordinance. I don't number 52 is KC 14 2014
[120.28s -> 125.36s]  0010 for the property click located at 11,000 and 31 Man Shack Road
[125.36s -> 127.36s]  This is to zone the property to
[127.36s -> 134.16s]  Limited office or LO district zoning the zoning planning Commission's recommendation was to grant LOCO or limit office conditional overlay
[134.16s -> 137.96s]  combined district zoning and this is ready for consent approval on all three readings
[145.92s -> 147.52s]  And that's it
[147.52s -> 153.00s]  okay, so the consent agenda for our zoning cases is to close the public hearing and
[153.76s -> 160.16s]  Approving all three readings items 49 and 50 to postpone item 51
[160.16s -> 168.20s]  You said until next meeting which I believe is April 10th. That's correct and to close the public hearing and approve item 52 on all three readings
[169.32s -> 172.20s]  Councilor Martinez so moved second by Councilmember Spelman
[172.68s -> 179.00s]  All in favor say aye aye post say no passes on a vote of seven to zero. Thank you mayor council like concludes
[179.00s -> 181.00s]  There's only map changes for today
[181.00s -> 183.52s]  Great, thank you
