Zoning Case: C14-2018-0068
Meeting Date: 2018-09-20T00:00:00.000
Agenda Item: 81
Source URL: http://austintx.swagit.com/play/45770/0/
================================================================================

[0.00s -> 2.00s]  Let's let's do 81.
[2.00s -> 4.72s]  Council Jerry Russell with the Planning and Zoning Department.
[4.72s -> 8.48s]  Item 81 is KC 14 2018 0068.
[8.48s -> 14.32s]  The case known as the James Casey Medical is located at 4319 James Casey Street.
[14.32s -> 20.08s]  The request of zoning is from LOVNP to GOVNP.
[20.08s -> 25.52s]  The staff recommends approval of the recommendation and the zoning and planning commission.
[25.52s -> 28.72s]  Recommended approval. I'm sorry, the planning commission recommended approval.
[28.80s -> 32.24s]  But added additional conditional overlay restricting the height to 45 feet.
[33.12s -> 36.72s]  I put up the aerial on here and the reason I put the aerial is for the first time ever.
[37.52s -> 40.48s]  There's a Boeing 737 passing over St. Elmo School.
[42.00s -> 46.24s]  Looks like a Southwest flight to me. Greg and I have never seen that before.
[46.24s -> 48.56s]  We thought it was, we just noticed a little bit ago.
[50.16s -> 54.16s]  So there is a, I think the issue is Councilman Flang and would like to discuss the conditional
[54.16s -> 59.20s]  overlay on this property and his staff has prepared an exhibit that will put it next.
[60.32s -> 62.88s]  Okay, you pulled this Mr. Flang, do you want to speak to it?
[62.88s -> 70.16s]  Yeah, so I brought this up on Tuesday and I handed out this diagram which shows that
[70.16s -> 74.96s]  the CO that was added during zoning and planning, is that right?
[76.32s -> 80.56s]  It only affects a very small portion in the very back of the property.
[80.56s -> 83.92s]  It's those two interior kind of cutouts.
[83.92s -> 86.88s]  And even then at most we're restricting just a couple of feet.
[86.88s -> 89.84s]  But for that very small corner in the back.
[89.84s -> 94.32s]  And I think this is an opportunity to let our compatibility rules work.
[95.04s -> 99.04s]  But I brought it up on Tuesday so that you all would have time to contemplate it.
[99.04s -> 102.88s]  Doesn't, I don't know that it requires a long deliberative conversation
[102.88s -> 107.04s]  unless anybody wants to say why they think the CO is really important.
[107.04s -> 110.48s]  But if someone wants to move, then I'll, I'll move to amend through the CO.
[112.64s -> 112.96s]  Okay.
[114.64s -> 117.20s]  Is there anything that this CO does given our compatibility?
[118.24s -> 122.00s]  Well, as Councilman Flang said, we've looked at the exhibit and we agree with it.
[122.80s -> 125.20s]  It would restrict the height on those two interior,
[126.08s -> 129.12s]  the word says 45 to 50 and 52 plus one.
[129.68s -> 135.36s]  The height would be restricted to 45 whereas today could go between 45 and 50 and up to 50
[135.44s -> 136.32s]  for that tiny portion.
[136.32s -> 138.48s]  So I would agree that the CO
[140.00s -> 141.92s]  restricts the height to 45 on the entire track.
[141.92s -> 147.60s]  But the only portion where it could go above 45 is the two center patterns within that diagram.
[148.40s -> 152.24s]  And even then it only goes up at most five feet to the back.
[152.24s -> 155.04s]  Exactly, because the tiny portion would, you wouldn't even get to the plus one.
[157.44s -> 157.76s]  Mayor.
[159.12s -> 160.40s]  Yes, Councilman Flang.
[160.40s -> 164.08s]  I was looking at this with my staff and it was pointed out to me that the
[165.04s -> 170.32s]  conditional overlay may likely be unnecessary because the portion it could go on is so small that
[172.16s -> 174.00s]  it would be useless to developers.
[174.00s -> 176.80s]  So is it kind of a moxonex on this one?
[176.80s -> 178.00s]  We can grant it.
[178.00s -> 181.36s]  If we don't grant it in the end, it probably won't go up any higher?
[181.36s -> 183.76s]  No, well, because the applicant has agreed to the conditional overlay,
[183.76s -> 186.08s]  so that tells me he doesn't want to go above 45 anyway.
[186.08s -> 186.32s]  Okay.
[187.04s -> 187.68s]  Okay. Thank you.
[187.68s -> 189.44s]  You don't want to make the motion to remove the CO.
[190.40s -> 194.16s]  So I'll move to approve this case with removing these 45.
[194.16s -> 195.60s]  That just says recommended by the staff.
[195.60s -> 196.88s]  Yeah, the staff recommendation.
[196.88s -> 197.84s]  On all three readings.
[197.84s -> 198.96s]  All three readings.
[198.96s -> 200.00s]  Closing in the public hearing.
[203.28s -> 204.48s]  Is there a second to the motion?
[205.52s -> 207.12s]  Councilman, we're in three seconds.
[207.12s -> 207.84s]  Any discussion?
[209.20s -> 209.76s]  Take a vote.
[209.76s -> 211.04s]  Those in favor, please raise your hand.
[211.84s -> 212.64s]  Those opposed?
[213.20s -> 216.24s]  unanimous on the dice with council member Alter off.
[217.52s -> 218.24s]  Okay. Thank you.
