Zoning Case: C14-2011-0122
Meeting Date: 2011-12-08T00:00:00.000
Agenda Item: 124
Source URL: http://austintx.swagit.com/play/44938/0/
================================================================================

[0.00s -> 3.00s]  Okay 124
[13.48s -> 16.64s]  Thank you, mayor and council I remember 124's case c14
[17.48s -> 19.64s]  2011 0122
[19.64s -> 25.02s]  This is for the property located at 15 433 FM 1325 and bring it road
[25.78s -> 31.46s]  The zoning change request is from interim rule residents or IRR
[31.98s -> 36.72s]  District zoning to multifamily residents medium density or MF3 district zoning
[37.46s -> 41.96s]  The property itself is about 14.71 acres
[42.82s -> 48.82s]  It is a zoning change request to its original from its original interim zoning to permit zoning
[49.54s -> 53.26s]  It was recommended to you by the staff
[53.94s -> 55.94s]  With some conditions
[56.46s -> 61.98s]  Regarding compatibility standards the properties that are located to the north are
[62.66s -> 71.70s]  undeveloped and single-family residences that are located in the county to the east is also county and single-family residences
[73.34s -> 77.38s]  Further to the south is county and office warehouse and storage
[78.22s -> 80.82s]  and to the north is convenient storage and
[81.30s -> 83.30s]  single-family residences
[85.30s -> 89.10s]  The additional conditions that staff added in this particular case
[89.86s -> 92.98s]  Although the structures that are in the county
[93.82s -> 97.46s]  staff recommended that compatibility standards be added and
[98.42s -> 100.42s]  This would be afforded to
[100.86s -> 104.26s]  This type of zoning that were developed as an apartment complex
[104.94s -> 108.94s]  Next to single-family residents as if it were inside the city of Austin city limits
[109.58s -> 111.58s]  So height restrictions
[112.02s -> 114.02s]  placed on the property as you
[114.74s -> 118.18s]  Move back or away from the single-family residents
[118.18s -> 121.54s]  There would be an area that there'd be no buildings within 25 feet
[121.98s -> 128.14s]  Between 25 and 50 feet buildings would be limited to stories or 30 feet in height and then 50 to 100
[128.14s -> 134.02s]  It'd be four stories of three three stories in height. There would be requirements for screening
[134.74s -> 137.94s]  mechanical equipment that the light sources on the
[138.66s -> 142.30s]  Property must be shielded from view of the residences
[142.86s -> 148.34s]  That if they were reflective materials used on the building that that would also be prohibited
[149.34s -> 154.42s]  mechanical equipment if they're like trash compact or something they have a decibel limit of 70 decibels and
[154.62s -> 160.22s]  Those are the same standards as I mentioned that would be applied to an adjacent residence with inside the city of Austin
[160.42s -> 163.14s]  The property is undeveloped and it's moderately
[163.78s -> 165.46s]  vegetated
[165.46s -> 168.46s]  The Planning Commission's recommendation in this particular case
[169.38s -> 171.38s]  Actually went further to limit
[172.06s -> 174.26s]  the density on the property
[175.34s -> 177.34s]  Instead being just a
[177.66s -> 179.50s]  multifamily 3 density
[179.50s -> 181.50s]  actually limited to
[181.50s -> 186.02s]  Multi-one density multifamily one is the most restrictive multifamily district
[186.02s -> 188.26s]  We have in the city limited to 17 years per acre
[188.90s -> 192.74s]  in this particular case it would bring down the number of
[193.22s -> 199.26s]  Units allowed in the property from about 300 to probably to close to about 250 units
[199.26s -> 207.26s]  And the reason why I speak to the 300 is that they agreed to a trip limitation 2,000 trips that typically typically equates to about
[207.34s -> 209.34s]  310 or 311 units
[210.02s -> 216.54s]  Total on the site before traffic impact analysis required since it's below that threshold. There was no traffic impact
[217.30s -> 222.14s]  Was required in this property, which would be similar to anywhere else in the city of Austin
[223.74s -> 229.42s]  We do have opposition from the property owners so the single family property owners mostly to the
[230.22s -> 234.34s]  East and to the north that are that are located in the county
[235.02s -> 237.82s]  because this is an initial zoning request and
[238.30s -> 243.38s]  the most of the petitioners were outside the city limits and not on the municipal tax rolls a
[244.78s -> 248.02s]  petition does not have the effect in this particular case requiring a
[248.18s -> 255.22s]  Supermajority vote of the City Council a simple majority would all be required for four votes for first reading or
[255.66s -> 259.10s]  Five votes or more to approve on second and third readings
[260.06s -> 262.62s]  It is ready for three readings this evening
[263.34s -> 270.02s]  If you have any questions, I'll be more than happy to answer them as I said before it was recommended by staff and the Commission
[270.38s -> 271.94s]  With the additional
[271.94s -> 275.02s]  Recommendation by the Commission to limit to 17 units per acre
[275.74s -> 279.98s]  Mr. Bennett Jim Bennett is here to speak on behalf of the owner
[280.70s -> 283.74s]  And if you have any other questions, I'll be happy questions for staff
[285.38s -> 288.10s]  So here any questions, so we'll hear from the applicant
[289.58s -> 291.58s]  Mr. Bennett
[294.70s -> 296.70s]  And you'll have up to five minutes
[297.58s -> 303.70s]  Mayor and Council and the Cal me will be our primary speaker on this and I will devote any time necessary to her
[305.02s -> 309.58s]  You are done eight time to her also. Yes, sir. If need so
[310.90s -> 312.90s]  Is Rodney Bennett
[313.70s -> 319.58s]  Rodney Bennett is here so Rodney Bennett and Jim Bennett are donating time this made you have
[320.70s -> 322.70s]  11 minutes up to 11 minutes
[323.18s -> 330.30s]  Thank you mayor, and I will not use them given the the hour and that it's been a very long day for you guys
[330.30s -> 333.10s]  I know I will just forgo
[333.78s -> 335.78s]  Delivering our presentation. I know that
[336.26s -> 337.54s]  Staff
[337.54s -> 345.70s]  Essentially gave you the partner backs about the case. We agree with the conditions that staff recommended and that were imposed by the the Commission
[345.70s -> 349.74s]  And so I would just I know there are folks here in opposition
[349.74s -> 355.02s]  I will just reserve some time to address some of their concerns and try to answer their questions and rebuttal
[355.02s -> 357.50s]  And I know that some council members might have some questions as well
[358.06s -> 361.34s]  Okay, so you'll have three minutes for a bottle after you hear
[362.14s -> 366.16s]  Councilmember Spellman, Nicole is right. I do have a question. I'm as we'll ask it up front
[366.42s -> 371.72s]  This is outside the Austin independent school district. It's in the Round Rock school district. I believe that's correct
[371.72s -> 377.54s]  Do I do not believe we have a requirement for a school district impact?
[378.42s -> 380.42s]  Survey of any kind
[380.62s -> 386.74s]  Would have you create a conducted one or could you give us a sense for what the impact is going to be on the Round Rock school district?
[386.82s -> 388.34s]  sure, we
[388.34s -> 391.46s]  Did an informal process we did speak with
[391.90s -> 396.58s]  Round Rock independent school district and you're exactly right because it is round rock the the
[397.46s -> 402.42s]  Education impact study is just with AISD so since it is round rock it wasn't required
[404.06s -> 412.58s]  The schools that just to sort of give you a summary the schools that the children who would live in this development would attend
[413.50s -> 415.50s]  the elementary school would be
[416.06s -> 423.18s]  Well as branch elementary the middle school would be Chisholm Trail middle school and the high school as it is today
[423.18s -> 425.18s]  Would be Cedar Ridge high school
[426.18s -> 428.22s]  The per Round Rock
[428.22s -> 435.34s]  I know that the issue and what the education impact the issue for some of the neighbors and what the education impact study would look at
[435.58s -> 441.74s]  Would be the potential of overcrowding or some, you know, serious impact on the schools from this development
[442.14s -> 448.26s]  We anticipate that there probably will be with the development of this type about 40 students
[449.38s -> 452.98s]  Kids who are school age from elementary up to high school
[453.62s -> 460.18s]  And the situation right now is that both the elementary and the middle school or both have excess capacity
[460.78s -> 466.66s]  Per Round Rock the high school does currently have an overcrowding problem and you all may have seen
[466.66s -> 470.18s]  I think it has been in the papers recently. I know I've read it somewhere
[471.14s -> 473.70s]  And Round Rock confirmed when we spoke with them
[473.70s -> 479.38s]  They do have an issue in several of their elementary schools and in their high schools with overcrowding
[479.54s -> 483.50s]  So the high whereas the elementary and middle school that these kids would attend
[483.94s -> 489.38s]  or do not have a potential problem and they're not concerned about impact the high school may and
[491.22s -> 498.90s]  Round Rock was very clear about the fact that they are finishing their reboundery process to balance out population
[499.38s -> 501.38s]  Taking into account future growth
[502.22s -> 506.86s]  Among the high schools and that process is going to be finished February of next year
[506.86s -> 514.22s]  And so we wouldn't even have broken ground by that time and they are their goal is to
[514.90s -> 519.02s]  Even out that population while keeping kids from a socio-economic
[519.78s -> 522.86s]  Different socio-economic backgrounds in the same schools
[522.86s -> 528.26s]  And so they felt sure that the problem it will not be a problem with that high school
[528.26s -> 534.98s]  Some of the kids may end up depending on how it turns out going around right high school or McNeil or stay at Cedar Ridge
[534.98s -> 536.98s]  But the population will be balanced
[539.06s -> 545.30s]  They have excess capacity at some of the schools are one of the schools and so by the rebalancing they won't have to build another school
[545.30s -> 547.94s]  That's correct. They're actually having some declining population
[548.82s -> 551.74s]  Projections in some of the schools and so they are
