Zoning Case: C14-2012-0048
Meeting Date: 2012-06-14T00:00:00.000
Agenda Item: 46
Source URL: http://austintx.swagit.com/play/45520/0/
================================================================================

[0.00s -> 3.00s]  Item number 46.
[3.00s -> 4.00s]  Thank you, Mayor and Council.
[4.00s -> 8.00s]  Item number 46 is case C14 2012, 0048,
[8.00s -> 10.00s]  instead of the property 8, look at it.
[10.00s -> 14.00s]  106, 110, East 2nd Street, 203, Congress Avenue,
[14.00s -> 17.00s]  and 111 East 3rd Street.
[17.00s -> 22.00s]  This is for the Marriott, JW Marriott, and rezoning case.
[22.00s -> 26.00s]  It's a zone change request to central business district,
[26.00s -> 29.00s]  central urban redevelopment district or CBD Cure.
[29.00s -> 34.00s]  They received a post-ponement request today from Lydia and Cynthia Prez,
[34.00s -> 39.00s]  and they are joining property owner, and they would like a one-month post-ponement.
[39.00s -> 42.00s]  There is not a council meeting in one month.
[42.00s -> 47.00s]  There's a council meeting in two weeks, and you have another council meeting about six weeks from now in August 2nd.
[47.00s -> 52.00s]  Mr. Richard Settle here, on behalf of the property owner,
[52.00s -> 56.00s]  and opposed to the one-month post-ponement.
[56.00s -> 60.00s]  And with that, I'll pause and you can listen to both sides,
[60.00s -> 64.00s]  make their case for post-ponement or not.
[64.00s -> 67.00s]  Okay, let's deal with the post-ponement issue first.
[67.00s -> 71.00s]  I'll take one speaker from each side.
[71.00s -> 76.00s]  Speak only to the issue of the post-ponement.
[76.00s -> 81.00s]  Mr. Bats, are you going to speak on the post-ponement issue?
[81.00s -> 82.00s]  Yes, sir.
[82.00s -> 84.00s]  And only the post-ponement.
[84.00s -> 88.00s]  On Charlie Bats, I'm with the downtown Austin Alliance,
[88.00s -> 95.00s]  and I would ask sincerely request that if you choose to postpone this,
[95.00s -> 102.00s]  that you postpone it no longer than the end of this month, I think it's June the 28th,
[102.00s -> 106.00s]  that they are ready to begin construction this summer.
[106.00s -> 112.00s]  It's my understanding confirmed with Mr. Bob Lander with the Austin Visitors,
[112.00s -> 117.00s]  the Austin Convention Visitors Bureau that some 250,000 room nights
[117.00s -> 122.00s]  have already been committed in 2015.
[122.00s -> 131.00s]  It would be, it would, we would not want further delay than beyond this month,
[131.00s -> 133.00s]  if at all possible.
[133.00s -> 134.00s]  Thank you.
[134.00s -> 140.00s]  If there's a delay beyond the June 28th, that means the delay of a full month,
[140.00s -> 145.00s]  as I understand it, construction was slated to begin in just a few weeks.
[145.00s -> 146.00s]  Yes, sir.
[146.00s -> 149.00s]  And we lose an entire month of that.
[149.00s -> 150.00s]  Okay.
[150.00s -> 155.00s]  But beyond June 28th would really be a problem.
[155.00s -> 156.00s]  Yes.
[156.00s -> 157.00s]  Thank you.
[157.00s -> 164.00s]  Is there someone to speak in favor of the post-ponement issue?
[164.00s -> 172.00s]  And she could tell us why you're in favor of the post-ponement and what you hope to gain by the post-ponement.
[172.00s -> 173.00s]  Thank you.
[173.00s -> 174.00s]  My name is Cynthia Perez.
[174.00s -> 180.00s]  I'm one of the property owners at the corner and I'm asking for post-respectfully requesting post-ponement
[180.00s -> 186.00s]  so that we could engage a council to be able to respectfully secure an agreement
[186.00s -> 192.00s]  from Richard Suddle in writing that we can avoid the hardships that we've had over the past year
[192.00s -> 194.00s]  and thank you for your time.
[194.00s -> 202.00s]  Because we also have endured quite a bit and we didn't know he was going to exit the board of adjustment
[202.00s -> 207.00s]  in this fashion and so we went through rezoning and stuff so this would give us enough time
[207.00s -> 210.00s]  to re-adapt ourselves to something else.
[210.00s -> 214.00s]  And that's why we're asking for this post-ponement.
[214.00s -> 221.00s]  And I had tried to come before the council people to try to circumvent this so we could get transparent
[221.00s -> 226.00s]  information but it was unable to and everybody told me I wasn't going to be here.
[226.00s -> 227.00s]  Here I am.
[227.00s -> 229.00s]  Thank you very much.
[229.00s -> 230.00s]  Okay.
[230.00s -> 238.00s]  I'd like to ask Ms. Perez a question if I could.
[238.00s -> 240.00s]  That's why we're spelling.
[240.00s -> 250.00s]  Ms. Perez, do you want an agreement for Mr. Settle or Mr. Settle's client?
[251.00s -> 254.00s]  About what exactly?
