Zoning Case: NPA-2018-0028.01
Meeting Date: 2018-10-18T00:00:00.000
Agenda Item: 50
Source URL: http://austintx.swagit.com/play/45772/0/
================================================================================

[0.00s -> 2.00s]  Okay, that's through consent.
[2.00s -> 4.40s]  Okay, Mayor, Mayor Pro Tem, Council.
[4.40s -> 7.24s]  I'm Joy Hard with the Planning and Zoning Department.
[7.24s -> 12.24s]  For your consent zoning, we have item 46, C14, 2018, 0069.
[13.40s -> 16.32s]  And this item is offered for consent approval,
[16.32s -> 17.84s]  second or third readings.
[17.84s -> 20.44s]  For items which the public hearing is open,
[20.44s -> 23.44s]  we have item 47, NPA, 2016, 0014.01.
[26.36s -> 29.76s]  And there's a staff post-moment request to December 13th.
[29.76s -> 34.76s]  The related rezoning is item 48, C14, 2017, 0010.
[36.60s -> 40.72s]  And this is offered for staff post-moment to December 13th.
[40.72s -> 45.72s]  item 49 is C14, 2015, 0062.01.
[46.24s -> 50.12s]  And this is offered for staff post-moment to December 13th.
[50.12s -> 55.12s]  Item 50, NPA, 2018, 0028.01.
[55.12s -> 58.32s]  And this is offered for staff post-moment to November 1st.
[58.32s -> 63.32s]  The related rezoning is item 51, C14, 2018, 0075.
[63.32s -> 66.72s]  And this is offered for staff post-moment to November 1st.
[66.72s -> 71.72s]  Item 52 is NPA, 2018, 0016.02.
[72.08s -> 75.48s]  And this is offered for staff post-moment to November 1st.
[75.48s -> 80.28s]  The related rezoning item is 53, C14, 2018, 0081.
[80.28s -> 83.04s]  And this is offered for staff post-moment to November 1st.
[83.04s -> 87.12s]  Item 54, C14, 2018, 0042.
[87.12s -> 89.68s]  And this is offered for consent approval
[89.68s -> 91.44s]  on all three readings.
[91.44s -> 95.20s]  Item 55 is C14, 2018, 0092.
[95.20s -> 99.36s]  And this item is offered for staff post-moment to November 15th.
[101.96s -> 106.56s]  Item 56 is withdrawn and replaced with item 64.
[106.56s -> 111.56s]  And item 64 is case C814, 86023.01.
[114.44s -> 116.16s]  And this is offered for discussion.
[116.16s -> 118.64s]  And please know that there is a post-moment request
[118.64s -> 121.82s]  from a Mr. Juan Pinellas, who's an interested party.
[122.76s -> 124.20s]  That concludes the zoning agenda.
[124.20s -> 126.16s]  And I would just like to add with the motion
[126.16s -> 128.80s]  that you close any public hearings where applicable.
[130.56s -> 131.56s]  That's it.
[131.56s -> 132.36s]  Thank you.
[132.36s -> 133.46s]  Thank you.
[133.46s -> 134.80s]  Well done.
[134.80s -> 139.80s]  Consent agenda is items 46 through item 64
[141.52s -> 145.32s]  with pulling item number 64.
[146.48s -> 151.48s]  Also not on the consent agenda are 57, 58, and 59.
[152.84s -> 157.84s]  So the consent agenda is items 46 through 56 and item 64.
[161.28s -> 163.72s]  The one that's being pulled is 64.
[163.72s -> 166.16s]  Is there a motion to approve the consent agenda?
[166.16s -> 168.56s]  Council in regards to makes the motion, is there a second?
[168.56s -> 170.88s]  Councilor Houston seconds it, any discussion?
[170.88s -> 175.88s]  I thought, okay, so 54 we pulled, correct?
[176.16s -> 177.44s]  64 we pulled.
[178.88s -> 182.16s]  54 is offered for consent approval on all three ratings.
[182.16s -> 184.44s]  Item 54 is a rezoning.
[184.44s -> 185.28s]  Councilor Hiss.
[188.08s -> 189.00s]  Okay, so we're moved in second.
[189.00s -> 191.08s]  It doesn't favor the consent, please raise your hand.
[191.08s -> 192.68s]  It goes opposed, unanimous on the dyes.
[192.68s -> 194.20s]  We've taken care of those.
[194.20s -> 196.68s]  64 remains open.
[196.68s -> 200.30s]  We can't deal with 57 and 58 and 59 until four o'clock.
