Zoning Case: C14H-1999-0018
Meeting Date: 2011-01-13T00:00:00.000
Agenda Item: 64
Source URL: http://austintx.swagit.com/play/45433/0/
================================================================================

[0.00s -> 4.00s]  Item number 64.
[4.00s -> 11.00s]  Good evening, Mr. Mayor and Mayor Pro Tem, members of Council. I'm Steve Sedaski of the Historic Reservation Office Planning and Development Review Department.
[11.00s -> 15.00s]  Our first case up tonight is the Brown Dimas Blacksmith Shop on West 2nd Street.
[15.00s -> 20.00s]  This building has been incorporated into the Estonian condominium building.
[20.00s -> 27.00s]  This is an item that was recommended by staff, the Landmark Commission, and the Planning Commission
[27.00s -> 32.00s]  under architectural significance, historical significance, and community value.
[32.00s -> 34.00s]  I'll show you why in just a second.
[34.00s -> 38.00s]  Here's a photograph of the building that was taken around 1999.
[38.00s -> 41.00s]  This building had been vacant since the 1970s.
[41.00s -> 48.00s]  The most distinguishing feature on the building was the painted sign on the alley side of the building.
[48.00s -> 52.00s]  Sun tint used to be at the corner of 2nd Congress when it burned.
[52.00s -> 57.00s]  This building and the building directly to the east of it were severely damaged by the fire.
[57.00s -> 62.00s]  The roof collapsed, the back walls of the building were severely damaged.
[62.00s -> 68.00s]  In November 2006, we had a very severe windstorm in downtown Austin and the building collapsed.
[68.00s -> 78.00s]  The applicant salvaged all of the brick from the original building, saved it, and reconstructed the building into what you see today.
[78.00s -> 81.00s]  This is all the original bricks in the building.
[81.00s -> 86.00s]  The storefront has been recreated in the wooden storefront that originally existed.
[86.00s -> 92.00s]  The sign has been refurbished and recreated on the side of the building.
[92.00s -> 100.00s]  And it is a testament to preservation work that can blend the old and the new in downtown Austin.
[100.00s -> 102.00s]  This building was built in 1905.
[103.00s -> 113.00s]  It was a blacksmith shop until around 1923 and then had many other uses including a feed store for a lot of its life and a radiator shop.
[113.00s -> 119.00s]  It is one of the very few buildings that harkens back to this section of downtown,
[119.00s -> 125.00s]  which is located two blocks south of the railroad tracks and was filled with meat markets, blacksmith shops.
[125.00s -> 127.00s]  All kinds of very small businesses.
[127.00s -> 129.00s]  Very utilitarian structure.
[129.00s -> 133.00s]  It has been faithfully restored and recreated.
[133.00s -> 140.00s]  The storefront is based, everything was based on historic photographs.
[140.00s -> 147.00s]  And the entire process was governed by the granting of certificates of appropriateness by the historic landmark commission.
[147.00s -> 153.00s]  So staff recommends designation of this building as a historic landmark.
[153.00s -> 164.00s]  It is a 15 by 40 section of the Estonian condominiums and the owners have testified at previous hearings that they are not seeking a property tax exemption for this.
[164.00s -> 171.00s]  They're just very proud to have been able to be a part of this reconstruction of a very important part of our history.
[171.00s -> 182.00s]  This is the front of the reconstructed building and as you can see they have installed a new concrete pad in the front entrance
[182.00s -> 186.00s]  that commemorates the Brown Dennis Blacksmith's shop.
[186.00s -> 190.00s]  It's a state of construction and horseshoes and horseshoe nails.
[190.00s -> 197.00s]  So as far as preservation in Austin and community value to save a very plain Jane building,
[197.00s -> 202.00s]  but one that has a real history as to the development of downtown Austin,
[202.00s -> 204.00s]  this building really serves the purpose.
[204.00s -> 206.00s]  It's in a very public location.
[206.00s -> 214.00s]  A lot of people will get a lot of enjoyment and educational value from its preservation and landmark designation.
[214.00s -> 215.00s]  Thank you.
[217.00s -> 218.00s]  Questions of staff?
[218.00s -> 220.00s]  Council member Shade?
[220.00s -> 228.00s]  I know that there are some who don't know why I bring these things come for discussion,
[228.00s -> 234.00s]  but I'm clearly, I would guess, is going to pass and it could have stayed on a consent agenda probably.
[234.00s -> 241.00s]  But I wanted it to be discussed because I think it's such a great example of old and new and just terrific work.
[241.00s -> 248.00s]  And I think it's important for the public who watches these to see the kind of creativity and excellent work that can occur in the preservation world.
[248.00s -> 250.00s]  And I just really wanted to highlight it.
[250.00s -> 253.00s]  And so I really appreciate your work, staff's work on this.
[253.00s -> 257.00s]  I'm very excited and enthusiastic about voting and support.
[257.00s -> 261.00s]  And I think it is noteworthy that there, yeah, I think you mentioned this,
[261.00s -> 264.00s]  and there's no tax abatement associated with this.
[264.00s -> 267.00s]  And I think that's also noteworthy.
[267.00s -> 271.00s]  So again, that might be historic as well.
[271.00s -> 280.00s]  But anyway, I really wanted to say thank you and I think it was a really interesting story and I look forward to really going by and seeing it up close.
[280.00s -> 281.00s]  Thanks.
[281.00s -> 282.00s]  Thank you.
[282.00s -> 289.00s]  I'm just belated to know that we're not considering a tax exemption for the Austinian.
[290.00s -> 292.00s]  Very relieved.
[292.00s -> 293.00s]  Mayor Pro Tem.
[293.00s -> 295.00s]  Just along those lines, Terry Mitchell is here.
[295.00s -> 299.00s]  I do want to acknowledge and recognize Terry and develop really Austinian.
[299.00s -> 308.00s]  For going through the trouble of saving all the brick and restoring the facade of the store and doing the work that you all did, we really do appreciate it, Terry.
[314.00s -> 315.00s]  Okay.
[315.00s -> 317.00s]  Any more questions?
[318.00s -> 328.00s]  We do have, as a matter of fact, Terry Mitchell is signed up to speak in the public hearing of the radio go that part of it.
[329.00s -> 348.00s]  Mayor and City Council, thank you for having us and thank you for considering this request to zone this portion of the building is historic.
[348.00s -> 355.00s]  I just wanted my purpose here was to give you a little background and thank the staff at all levels for working with us.
[356.00s -> 360.00s]  I appreciate council member shades comments.
[360.00s -> 367.00s]  Preserving our history is something that we oftentimes forget and it's important to us that this was a very much of a team effort.
[367.00s -> 371.00s]  The developer of the project did not hesitate when this issue came up.
[371.00s -> 382.00s]  And before we ever submitted an application to the city, we had meetings with the historical landmark commission and actually laid out six different plans.
[382.00s -> 385.00s]  You start with the site plan before you go up.
[385.00s -> 389.00s]  So, you know, where parking is going to go, where the entrances are, all those things there.
[389.00s -> 391.00s]  And we had six different options.
[391.00s -> 394.00s]  The best option for vehicular traffic was right through the middle of this facade.
[394.00s -> 400.00s]  And the historical, because it was not on Congress, it was not too close to the intersection, it was off the alley.
[400.00s -> 405.00s]  It was, it was, for vehicles, it was the best.
[405.00s -> 411.00s]  The historical landmark commission and the second street folks said, you know, we would hate to have another opening like this.
[411.00s -> 414.00s]  And we went back to work to see what can be done.
[414.00s -> 420.00s]  And a great staff, you know, we came up with putting it on the alley, which required us to set our building four feet back.
[420.00s -> 423.00s]  Lots of big decisions to make that process happen.
[423.00s -> 427.00s]  And it was not about anything other than preserving our heritage.
[427.00s -> 434.00s]  I still remember as a child, my grandfather telling me stories about growing up with guns on their hips because they were living in Indian land.
[434.00s -> 437.00s]  You know, those things you can't duplicate.
[437.00s -> 443.00s]  So at one time, what really caught us is in 1905, this was the tallest building on the second street.
[443.00s -> 445.00s]  Guess what, it still is.
[445.00s -> 448.00s]  So it's just a thank you for working with us.
[448.00s -> 452.00s]  I want to thank Emily a little who worked tirelessly.
[452.00s -> 456.00s]  We started this project in December of 2005 in terms of working on it.
[456.00s -> 458.00s]  And it's been a very long process.
[458.00s -> 463.00s]  And in a few weeks you'll be able to enjoy Barry Austin, a yogurt shop there.
[463.00s -> 464.00s]  Thank you very much.
[464.00s -> 466.00s]  And we are not seeking a tax abatement.
[466.00s -> 467.00s]  Confirm that.
[467.00s -> 468.00s]  It's not about that.
[468.00s -> 469.00s]  Thank you.
[469.00s -> 471.00s]  We happy to comply with that request.
[471.00s -> 472.00s]  Thank you.
[472.00s -> 481.00s]  Uh, though Emily little is signed up also for, but only speaking of their questions.
[481.00s -> 484.00s]  So those are all the folks that we have signed up.
[484.00s -> 491.00s]  Entertain a motion council member shade moves to, um, close the public hearing and approve.
[491.00s -> 495.00s]  The historic designation for the Brown famous blacksmiths shop.
[495.00s -> 497.00s]  On all three readings.
[497.00s -> 499.00s]  Is it ready for all three?
[499.00s -> 500.00s]  It is.
[500.00s -> 504.00s]  Uh, motion by council member shade.
[504.00s -> 505.00s]  I'll second.
[505.00s -> 506.00s]  Discussion.
[506.00s -> 509.00s]  All in favor say aye.
[509.00s -> 510.00s]  Aye.
[510.00s -> 511.00s]  Those say no.
[511.00s -> 513.00s]  Passes on a vote of seven zero.
[513.00s -> 514.00s]  Great.
[514.00s -> 515.00s]  Thank you very much.
