Zoning Case: C14-2012-0097
Meeting Date: 2012-12-13T00:00:00.000
Agenda Item: 90
Source URL: http://austintx.swagit.com/play/45553/0/
================================================================================

[0.00s -> 5.02s]  The next item we have is item number 90 little Woodroads bar and
[5.90s -> 8.20s]  Restaurant mr. Guernsey you want to give us an overview?
[10.36s -> 14.46s]  You remember pro tem council Greg Guernsey playing development review department
[15.74s -> 17.82s]  Our last zoning case is case c14
[18.66s -> 22.18s]  2012 0 0 97. This is for the property located
[22.90s -> 24.90s]  54 25 burnout road
[25.80s -> 27.80s]  the area being rezoned is
[28.76s -> 30.76s]  0.1 acres
[30.76s -> 32.24s]  point
[32.24s -> 36.76s]  Excuse me point one eight acres of land about 8,000 square feet
[37.40s -> 44.28s]  The request is to rezone the property to commercial liquor sales mixed use vertical mixed-use building conditional overlay
[44.48s -> 50.32s]  Never plan and the intention of the owner is to take the existing
[51.04s -> 52.64s]  building which is
[52.64s -> 58.36s]  Classified as retail currently previously uses a real estate office and converted into a
[59.84s -> 65.20s]  Cocktail lunch on part of it and a restaurant general on the other
[66.08s -> 68.08s]  It was recommended to you
[68.60s -> 74.96s]  By the planning commission on a vote of nine to zero they recommended the staff's recommendation that
[75.84s -> 81.28s]  Basically provide that there would be a conditional overlay that would make certain uses agricultural
[81.68s -> 90.00s]  Sales and service commercial blood plasma center equipment sales vehicle storage campground equipment rental repair services and kennels
[91.00s -> 93.00s]  conditional uses on this property
[93.84s -> 97.96s]  As I mentioned before and as you can see in the exhibit that's right now a
[99.08s -> 108.08s]  one-story building the use is primarily to the east of the property or office and then as you transition across clay there's
[108.72s -> 114.16s]  office and single-family residences to the south as a fast food restaurant and you have a
[115.04s -> 117.04s]  Basically a recent retail
[117.40s -> 120.44s]  resale shop to the north and and various
[121.20s -> 125.08s]  Retail uses along the western side of the roadway
[127.16s -> 132.04s]  It is in the neighborhood plan, but does not require a change to the future lane use map
[132.96s -> 134.96s]  This is a mixed-use area
[135.84s -> 137.84s]  We did receive a petition
[138.20s -> 141.92s]  And it stands at approximately I think 17.1
[142.76s -> 146.50s]  Percent at this time against the rezoning of the property
[147.68s -> 152.56s]  There are some property owners that were in favor and there were property owners that were
[153.60s -> 156.52s]  Objection the Brentwood neighborhood steering committee
[158.20s -> 160.20s]  Pointing out that there was a concern
[160.60s -> 166.92s]  About the rezoning that they would object to the zoning because of concerns about in adequate parking
[167.32s -> 171.16s]  proximity to a single family homes that are further to the
[171.88s -> 178.88s]  east of the project the concern about late hours noises in the middle of night and traffic I
[182.44s -> 184.76s]  Think I'll pause at this time I
[185.80s -> 187.80s]  knew that the
[188.36s -> 189.80s]  owners representative
[189.80s -> 195.96s]  Alice Glasgow is here and I think she has a presentation that may address some additional questions that you might have and
[196.36s -> 198.36s]  I'll be available questions
[198.72s -> 200.72s]  Should they arise
[201.00s -> 203.00s]  Okay, let's go
[211.24s -> 213.24s]  You'll have up to five minutes
[217.80s -> 219.80s]  You
[234.12s -> 236.12s]  Good evening council members
[236.12s -> 241.24s]  I'm Alice Glasgow representing the applicant and as Mr. Gozen indicated to you
[241.24s -> 244.60s]  This case was heard by the Planning Commission and the Planning Commission
[245.00s -> 250.72s]  Recommendation to you was to grant the CS one zoning with the additional the other
[251.52s -> 253.92s]  MU V CO NP and
[254.44s -> 263.16s]  The vote was 9-0 the Planning Commission understood that this was a two-step process and this two-step process requires that you get the zoning first
[263.16s -> 267.84s]  And then the set next step is a conditional use permit for cocktail lounge
[267.84s -> 274.12s]  Which goes back to the Commission and they believe that our issues relating to the operation of the use
[274.60s -> 277.80s]  would then be addressed through that process which
[278.28s -> 282.60s]  Goes through staff review staff will provide technical assessment and then
[283.60s -> 286.40s]  Inform them off what complies with the code
[288.28s -> 289.80s]  Be
[289.80s -> 292.04s]  This next slide shows you
[293.40s -> 302.52s]  Aspects related to the differences between CS and CS one both CS and CS one zoning allow restaurant use that serves alcohol
[303.00s -> 304.52s]  Under CS zoning
[304.52s -> 311.16s]  51% of the restaurants gross income must be derived from the sale of food and 49% from alcohol
[311.92s -> 320.40s]  Under CS zoning alcohol can be served until midnight every day and until 1 a.m. Into Saturday through Sunday morning
[320.88s -> 328.88s]  A Planning Commission approved site plan and TBC approval are required to serve alcohol until 2 a.m. Under CS one
[329.36s -> 335.44s]  Alcohol can be served until 2 a.m. With the Planning Commission approved site plan and TBC approval
[338.44s -> 346.20s]  The building that mr. Guernsey mentioned that is on the site the site has three buildings to two story buildings that are
[347.36s -> 350.72s]  oriented towards clay Avenue one building that faces
[351.56s -> 355.52s]  Burn it road and also has it at the intersection of Houston
[355.68s -> 361.16s]  We plan on having a restaurant and a bar the restaurant will be a standalone restaurant within the building
[361.16s -> 367.76s]  So the space is going to be broken out into a restaurant with patio little Woodrow's bar with the patio
[368.32s -> 370.32s]  corporate office and storage
[370.52s -> 373.44s]  So the parking comes to at least with this
[374.22s -> 375.74s]  A
[375.74s -> 383.12s]  assortment of space within the building the required parking would be 37 spaces the site currently has
[384.08s -> 386.04s]  52 spaces and
[386.04s -> 390.00s]  That could go down to 49 spaces if we have reverse angle parking
[390.00s -> 395.16s]  those are aspects that are going to be looked at by staff at the time of the site plan and
[396.36s -> 399.56s]  So that's what will be demonstrated through that process
[400.92s -> 402.92s]  we are in talking to
[403.60s -> 407.96s]  The neighborhood one of the things they did not want it was out to do
[411.12s -> 417.00s]  Entertainment and we have agreed that there will not be any amplified sound we'll not exceed 70 decibels
[417.00s -> 419.00s]  This is in the code under your
[419.92s -> 423.32s]  Code requirements for restaurant estates that are you are allowed to have?
[424.32s -> 429.08s]  Amplified sound as long as does not exceed 70 decibels, but we're stating that for the record
[429.20s -> 436.08s]  There will be no out-to-door amplified live entertainment and as far as number three goes no parking in the city right-of-way
[436.08s -> 437.76s]  I think when we are
[437.76s -> 444.28s]  Someone pointed out that some of the striping of the parking someone got carried away with the striping and stripe the stripes
[444.28s -> 449.20s]  Go into the right-of-way, so we will amend that so that's not really to say that there will be no parking
[449.40s -> 452.46s]  Along the street other than that we will correct
[452.78s -> 459.02s]  The that parking that is that has the striping extending into the right-of-way. It will no longer be there
[459.02s -> 461.02s]  That was the intent
[461.02s -> 466.94s]  Sidewalks will be provided were applicable and or feasible because obviously the site is all developed
[466.94s -> 471.58s]  We're not redeveloping the site so we can add a sidewalk, especially along Houston
[471.58s -> 475.14s]  There's no sidewalk. So we will add a sidewalk along Houston Street
[475.14s -> 479.22s]  There's a sidewalk on Burnet Road and on clay Avenue where feasible will
[479.98s -> 487.26s]  Work through that. We've also the the owner currently own several businesses that are close to the Zilka neighborhood
[487.26s -> 494.98s]  and in that neighborhood he agreed to continue working with the city's music department and that's what number five speaks to that we're
[495.54s -> 501.86s]  Using that model that is working with the Zilka neighborhood to continue to work with the city music department
[501.86s -> 504.70s]  Should there be any issues regarding noise?
[504.90s -> 511.34s]  This is the existing building this is what it looks like it used to be a real estate office
[511.34s -> 515.06s]  And as you can see there a couple of vehicles parked in the front of it
[515.42s -> 522.48s]  We intend to preserve that tree and wrap around the tree will be a deck that is going to be a facing
[523.30s -> 525.14s]  Burnet Road
[525.14s -> 529.62s]  This is the rendering that was prepared by the clock architects and our architect is here tonight
[529.62s -> 536.06s]  He can you'll speak briefly and he can explain what his vision is for this building interior and exterior. I
