Zoning Case: C14-2009-0151
Meeting Date: 2010-04-22T00:00:00.000
Agenda Item: 53
Source URL: http://austintx.swagit.com/play/45414/0/
================================================================================

[0.00s -> 9.12s]  And now we'll take up item number 53 for discussion, which has been pulled from the consent agenda.
[9.12s -> 22.12s]  Thank you, Mayor and Council. Item number 53 is KC 14, 2009, 0, 151. This is known as the East Block property located at 835 West 6th Street.
[22.52s -> 26.36s]  The property is about 2.7 acres in size.
[26.36s -> 34.32s]  The request is to zone the property from downtown mixed use or DMU district zoning to downtown mixed use cure zoning,
[34.32s -> 37.28s]  which stands for Central Ordinary Development District.
[37.28s -> 48.28s]  The modification to the property would allow for a proposed increase in height on the property from 120 feet to 350 feet.
[48.28s -> 55.72s]  There would be no change to the floor to error ratio of 5 to 1 on the property.
[55.72s -> 64.72s]  It is recommended to you unanimously by the Planning Commission and a vote of 8 to 0 of the staff recommendation.
[64.72s -> 70.68s]  As part of the approval of the applicant agrees to participate in our Greet Streets program.
[71.40s -> 82.28s]  It is partially located in the capital view corridor, which does limited buildings heights for a portion of the site to 55 to 70 feet.
[82.28s -> 94.68s]  Which is the reason why that they're asking for the cure zoning so that on the balance of the property they can make up some of the FAR that they have lost due to the decrease in height to the capital view corridor.
[94.68s -> 106.00s]  The property is located in the 25 year and 100 year floodplain and the council did grant a variance for construction in these areas in 2007, which was updated in 2009.
[106.00s -> 111.80s]  The properties to the north of the site, there's a parking lot, it's on DMU.
[111.80s -> 115.20s]  In fact, to the north, southeast and west of this property, it's all zoned DMU.
[116.72s -> 124.64s]  The site is used as a parking lot to the north or offices, to the south is kind of minimums, to the east is office and cocktail lounge.
[124.64s -> 127.68s]  And to the west is a grocery store type of use.
[127.68s -> 136.80s]  The applicant has also agreed to a two star green building for the structure green roof building techniques.
[136.80s -> 147.56s]  Also agreed to make some improvements to the Shoal Creek hike and bike trail and channelization improvements to Shoal Creek to reduce the place of flooding in this area.
[147.56s -> 150.40s]  There are two other boards that did review this application.
[150.40s -> 155.92s]  They were the design commission and the downtown commission and both recommended this request.
[158.20s -> 165.08s]  At this time, I'll pause if you have any questions like Ms. Galasco is here to present on behalf of the applicant.
[165.08s -> 169.20s]  I think she has a short presentation that might answer some additional questions that you may have.
[169.92s -> 170.92s]  There.
[170.92s -> 174.40s]  That's where we're really just one real quick question, Greg.
[174.40s -> 180.40s]  And you mentioned there's no, they're not seeking any increase in the FAR for the property.
[180.40s -> 181.00s]  That's correct.
[181.00s -> 182.84s]  It would remain as it is today.
[182.84s -> 186.32s]  FER is five to one and they're seeking no change in that.
[186.32s -> 186.96s]  That's correct.
[186.96s -> 191.48s]  So what additional entitlements are they?
[191.48s -> 198.44s]  It's primarily height because as the capital view corridor impacted portion of site and limits their height,
[198.44s -> 204.24s]  they've asked for additional height on the remain of the property to recapture the available FAR.
[204.24s -> 206.72s]  Okay, but no change in the FER.
[206.72s -> 213.92s]  And in terms of the applicable provisions, there's been some talk about the affordable housing.
[213.92s -> 217.96s]  And I know the planning commission devoted some attention to that.
[217.96s -> 223.88s]  We currently have an interim ordinance in place that addresses affordable housing.
[223.88s -> 227.24s]  And as I understand it, that's not triggered in this case.
[227.24s -> 230.84s]  Sorry, I don't believe it is because of there's no increase in the FAR.
[230.84s -> 239.20s]  However, I think the applicant may share some information with you about affordable housing that they would like to offer as part of their request.
[239.20s -> 242.52s]  Okay, and then actually I do have one other short question.
[245.88s -> 253.40s]  To what extent are there design requirements built into this, into the cure?
[253.40s -> 258.92s]  Does the cure that's before us today include any provisions that would govern,
[258.92s -> 266.44s]  for instance, the location of parking or the treatment of parking at any level?
[266.44s -> 272.84s]  There is a requirements that are in the CBD and DMU districts that speak to design.
[274.12s -> 277.12s]  Those particular things are unique to that district.
[277.12s -> 280.52s]  I think there is something that speaks to the parking, although I'm not exactly sure how it's handled.
[280.52s -> 286.00s]  Sure, so just the general provisions that say that if you're going to have parking at the ground level,
[286.00s -> 288.88s]  then it needs to be separated from the street by the pedestrian oriented use.
[288.88s -> 290.12s]  Just those general provisions.
[290.12s -> 291.36s]  There's a general provision.
[291.36s -> 295.12s]  That are unique to CBD and DMU, but they're not found outside of it.
[295.12s -> 301.84s]  That there's nothing in particular within the cure rezoning on the table.
[301.84s -> 304.60s]  And before us today, that would change any of the general.
[304.60s -> 305.72s]  Not that I'm aware of.
[305.72s -> 306.48s]  Okay, thanks.
[306.48s -> 312.20s]  Now, there are still great streets that would have some improvements along the rights of way that they have agreed to do.
[312.20s -> 315.12s]  If and when they construct this new building.
[315.12s -> 316.12s]  Okay, thanks.
[319.76s -> 322.76s]  Can I follow up question to Councillor Rallies?
