Zoning Case: NPA-2012-0025.01
Meeting Date: 2012-06-07T00:00:00.000
Agenda Item: 43
Source URL: http://austintx.swagit.com/play/45519/0/
================================================================================

[0.00s -> 1.00s]  Thank you, Mayor Council.
[1.00s -> 3.80s]  Item number 43 and 44 are related.
[3.80s -> 4.88s]  One's a never plan amendment.
[4.88s -> 6.24s]  One's a zoning change.
[6.24s -> 11.72s]  Item number 43 is MPA 2012, 0, 0, 25, 0, 1.
[11.72s -> 14.12s]  This is a never plan amendment in the Oak Hill
[14.12s -> 16.64s]  combined, neighbor planning area for the property
[16.64s -> 20.00s]  located at 4806 and 1 half trail west drive.
[20.00s -> 25.40s]  Item number 44 is KC 14, 2012, 0, 0, 0, 16.
[25.40s -> 28.16s]  Again, for the property located at 4806 and 1 half
[28.16s -> 29.80s]  trail west drive.
[29.80s -> 32.60s]  We have a request, I believe, from the Travis Country
[32.60s -> 35.88s]  Community Service Association.
[35.88s -> 39.28s]  And the request is to August 2nd.
[39.28s -> 42.24s]  And the reason is that there's been some fluctuation
[42.24s -> 45.72s]  on the boundaries of the property and some changes
[45.72s -> 49.72s]  and how it would affect the petition.
[49.72s -> 54.12s]  That also is for number 44 as well, both 44 and 43,
[54.12s -> 57.76s]  as I understand that the applicant would agree
[57.76s -> 61.96s]  to a postponement, but not to August 2nd as requested,
[61.96s -> 66.64s]  but to either June 14th and June 28th.
[66.64s -> 70.16s]  And I think both parties are here to speak
[70.16s -> 73.32s]  to the discussion postponement.
[73.32s -> 76.44s]  OK, well, we'll hear from one person on each side
[76.44s -> 78.56s]  to speak on the postponement.
[78.56s -> 82.16s]  Those will take the one from the neighborhood first.
[82.16s -> 87.92s]  And we're just talking about the postponement,
[87.92s -> 89.52s]  not about the merits of the case.
[89.52s -> 92.68s]  Great.
[92.68s -> 93.76s]  Hi, thank you.
[93.76s -> 95.76s]  My name is Laura Dunn, and I speak
[95.76s -> 98.00s]  for the citizens of Travis Country who propose
[98.00s -> 100.16s]  to maintain the current zoning and neighborhood plan
[100.16s -> 102.08s]  in order to pursue collaborative
[102.08s -> 105.00s]  and financially viable open space preservation.
[105.00s -> 107.44s]  I want to ask everyone who's here with us to please stand
[107.44s -> 109.44s]  at this time so you can see how many people are here
[109.44s -> 111.48s]  and concerned about this.
[111.56s -> 115.08s]  We also have 114 forms here to represent those people
[115.08s -> 116.88s]  who are at work today who couldn't be here,
[116.88s -> 118.84s]  who wanted you to know that they wanted to be here
[118.84s -> 120.96s]  and they're concerned.
[120.96s -> 122.36s]  Thanks, y'all.
[122.36s -> 125.20s]  We ask that you postpone this hearing until August 2nd,
[125.20s -> 128.96s]  and I just want to briefly state some of our reasons.
[128.96s -> 131.52s]  We were informed just yesterday that the bidder has now
[131.52s -> 134.36s]  gerrymandered the boundaries of the zoning request.
[134.36s -> 136.68s]  This is the fourth time we have received a new petition
[136.68s -> 139.60s]  percentage from staff, and there are many questions
[139.64s -> 142.12s]  outstanding as to its accuracy.
[142.12s -> 144.56s]  We were notified that this last-minute gerrymandering
[144.56s -> 146.44s]  of the proposed development boundaries
[146.44s -> 148.68s]  specifically eliminates the surrounding
[148.68s -> 151.00s]  neighbor's valid petition.
[151.00s -> 153.36s]  We had presented a valid petition with signatures
[153.36s -> 156.64s]  of 86% of the residents within 200 feet
[156.64s -> 159.68s]  of this land opposed to rezoning.
[159.68s -> 161.64s]  Now the plan that the bidder has presented
[161.64s -> 164.60s]  to all decision-making bodies, boards,
[164.60s -> 166.40s]  and commissions during this process
[166.40s -> 168.20s]  has been dramatically altered.
[168.20s -> 170.24s]  So the neighborhood needs time to evaluate
[170.24s -> 172.44s]  and understand what this means.
[172.44s -> 176.36s]  This is public land owned by a public entity, AISD,
[176.36s -> 179.64s]  and the bidder now appears to be exploiting a public process
[179.64s -> 181.76s]  in a way to avoid the input of the citizens
[181.76s -> 184.52s]  who live adjacent to the property in question.
[184.52s -> 186.84s]  It seems reasonable to request an opportunity
[186.84s -> 189.80s]  to address this with AISD, and to communicate
[189.80s -> 192.48s]  that there are alternatives for achieving a true win-win
[192.48s -> 195.96s]  rather than to force a rezoning upon an organized neighborhood
[196.00s -> 197.84s]  who is diligently and respectfully
[197.84s -> 200.16s]  been following the proper procedure.
[200.16s -> 202.28s]  If there is an alternative to development
[202.28s -> 205.44s]  of equal or higher value for AISD
[205.44s -> 208.08s]  that can fulfill the comprehensive plans directive
[208.08s -> 210.48s]  to move density off the recharge zone
[210.48s -> 213.68s]  and serve as yet another example of how Austin distinguishes
[213.68s -> 216.40s]  itself as a place where neighborhoods work together
[216.40s -> 218.96s]  with governmental bodies to shape a landscape
[218.96s -> 222.04s]  that reflects innovation and forward thinking,
[222.04s -> 224.60s]  then we are arguing that there should be
[224.64s -> 226.60s]  a chance to fully explore that.
[226.60s -> 228.00s]  Thank you.
[228.00s -> 229.60s]  Councilor Morrison.
[229.60s -> 230.96s]  Thank you, Ms. Dunne.
[230.96s -> 233.04s]  So we're basically talking about what the date
[233.04s -> 235.68s]  of post-boa month's gonna be either June 14th,
[235.68s -> 238.96s]  which is next week, June 28th or August 2nd.
[238.96s -> 241.96s]  And so I wanted to ask you what kind of endeavors
[241.96s -> 245.88s]  you think you will be undertaking.
[245.88s -> 247.92s]  You're mentioning other financially.
[247.92s -> 249.76s]  You hope our feet and you're exploring
[249.76s -> 252.84s]  other financial opportunities and things like that.
[252.84s -> 257.84s]  Yes, just briefly, there has been an ongoing effort
[257.84s -> 262.16s]  within the neighborhood to find a way to meet AISD's needs
[262.16s -> 264.56s]  and yet preserve the integrity of the neighborhood
[264.56s -> 266.12s]  and preserve the land.
[266.12s -> 270.68s]  And now that the boundaries have completely changed,
[270.68s -> 273.52s]  there's a lot of questions with that.
[273.52s -> 275.72s]  Many, many questions I don't need to go into all of that
[275.72s -> 276.56s]  at this moment.
[276.56s -> 278.44s]  We can stipulate them if you need us to,
[278.44s -> 280.68s]  but what this means for the neighborhood.
[280.68s -> 283.36s]  So we think that there should be an opportunity
[283.36s -> 286.48s]  to fully investigate what this means for the neighborhood
[286.48s -> 291.00s]  and in parallel, just be able to have discussions with AISD
[291.00s -> 293.44s]  to let them know that there are alternatives
[295.16s -> 297.88s]  that could be very viable and could be a win-win
[297.88s -> 301.28s]  rather than this kind of, you know, arguably,
[302.84s -> 304.52s]  I am careful with my words,
[304.52s -> 307.56s]  but a process that really avoids any public,
[307.56s -> 309.08s]  any citizen input.
[309.08s -> 314.00s]  And so you would be exploring and interacting with AISD
[314.00s -> 315.68s]  if you found some options and all that.
[315.68s -> 318.52s]  Ideally, if we were, if we were, if we could, if you could.
[318.52s -> 319.92s]  Okay, thank you very much.
[319.92s -> 323.40s]  So you would be exploring ways to make sure that AISD
[323.40s -> 325.64s]  received the same financial benefit
[325.64s -> 329.08s]  that they would receive if the property were upgraded.
[329.08s -> 331.12s]  Of course, that's the number one priority.
[331.12s -> 332.12s]  Okay, thanks.
[333.52s -> 335.00s]  Thank you.
