Zoning Case: C14-2019-0007
Meeting Date: 2019-06-20T00:00:00.000
Agenda Item: 146
Source URL: http://austintx.swagit.com/play/45788/0/
================================================================================

[0.00s -> 4.26s]  Last one is case 146 item 146 KC 14 2019
[5.08s -> 12.00s]  007 the comfort mobile home park for the property located 7307 73 11 7401 and 7403 East Riverside Drive
[12.24s -> 18.16s]  The existing zoning is East Riverside corridor erc zoning the proposed zoning is mobile home zoning
[18.16s -> 25.04s]  This is a city initiated case the staff is recommending approval and the Planning Commission forwarded without a recommendation
[25.60s -> 30.96s]  The applicant on this case is also requesting as postponement of this case as is the
[31.36s -> 36.96s]  Montopolis neighborhood plan contact team to your August 8th or 22nd agenda
[37.12s -> 41.40s]  They have both both the owners agent and the Montopolis plan contact team
[41.80s -> 45.56s]  Have both said the 8th or the 22nd is their preferred postponement date
[50.00s -> 52.00s]  Okay
[53.00s -> 58.80s]  Let's have a discussion on the postponement issue everyone want to address the postponement come on up
[60.36s -> 67.52s]  Good evening mayor and council amanda swore with drenner group here this evening on behalf of our tija the owner of the comfort mobile home park
[67.84s -> 75.28s]  We are respectfully requesting a postponement to August 8th to allow for additional time to continue working with the residents
[75.28s -> 81.80s]  At this point we have met with and achieved support of over 80% of the residents to create a new
[82.28s -> 89.16s]  mobile home which would allow for relocation of the existing residents either their existing homes or
[90.52s -> 96.96s]  Purchasing new homes if the homes are not able to transfer so we would again respectfully request additional time
[96.96s -> 103.20s]  We do have property under contract that's within two miles of the existing mobile home park and
[103.88s -> 104.92s]  have
[104.92s -> 108.72s]  support of the Montopolis neighborhood plan contact team to
[109.20s -> 113.92s]  Have these additional conversations as well as the tenants that we've been working with I
[114.72s -> 119.04s]  Happy to answer any questions on the post-home member discuss more if it's a benefit
[122.12s -> 127.28s]  You've also submitted a letter from the owners saying that you're gonna do anything to change the status quo materially in any way
[127.28s -> 127.92s]  Yes, sir
[127.92s -> 134.18s]  We have submitted a letter the owner is here and can speak to that that we would not submit any applications on the property
[134.76s -> 137.92s]  additional applications of the property until after the
[138.80s -> 144.80s]  Hearing at City Council nor would we make any material changes to what's on the ground today?
[145.56s -> 149.36s]  Okay, so in this case like the other one everybody wants it so
[150.80s -> 152.80s]  appears no no I
[155.04s -> 157.52s]  Think this is the same situation as the last situation
[157.52s -> 162.56s]  So if you want to hear the merits I have great respect for you and mr. Hunter and for mr. Anderson and miss Bojo
[163.40s -> 166.96s]  But I think we're in the same situation and I can explain why but well
[166.96s -> 168.96s]  You just go through this
[168.96s -> 175.10s]  I mean there was represented to us that unlike the last one the neighborhood association the contact team are supporting the post-phonement
[175.24s -> 178.24s]  My understanding is the contact team members don't live here
[178.56s -> 184.40s]  Now there were people that were listed that said they were for it my office contacted some of those individuals and they
[184.40s -> 188.32s]  We asked them what the conversation was like and what they relayed back to my office
[188.32s -> 194.92s]  Which may be different what they really do miss or is that they were told you're gonna leave you're gonna have to leave and so would you like to leave
[194.92s -> 197.88s]  With some sort of negotiated package and again
[197.88s -> 204.16s]  I think that if that's what the understanding from some of those people was that doesn't seem to me to be the kind of
[204.40s -> 209.68s]  Negotiation that I think possibly could happen if this was mobile home-zoned and then the negotiation could continue
[209.68s -> 214.60s]  I'm not I didn't talk to every single person there. So I'm just representing back to you
[214.60s -> 218.64s]  What was represented to my office from multiple people that may have been a misunderstanding
[219.16s -> 224.20s]  but what or what have you but in the end I think the same principle applies that the
[225.24s -> 231.08s]  That there's still can be negotiations and I hope that your clients still will negotiate with the residents and us voting this mobile home
[231.16s -> 233.68s]  Doesn't take away any of that negotiating ability. I
[234.52s -> 239.24s]  Understand you might disagree with that but my hope is that you still engage in those negotiations in good faith
[239.24s -> 246.12s]  But now without anybody being worried about whether they have to take a deal because they might have to leave we do have several
[246.76s -> 252.60s]  Members of the community that are here that you'll see they're signed up against this rezoning that are requesting the post-phonement tonight
[252.68s -> 259.60s]  As well as the property management that can speak more towards that post-phonement request on behalf of several of the community members
[259.60s -> 267.28s]  So let's ask that question is there anybody here from the other than the applicant that would like to speak on the issue of whether or not a postponement should be granted
[267.28s -> 269.28s]  I
[278.60s -> 284.16s]  Good evening, my name is Olga Revas, and I along with my husband Angel are the
[284.80s -> 287.28s]  Onside managers at Comfort Mobile Park
[288.04s -> 289.32s]  and
[289.32s -> 295.16s]  we have had I can say two meetings with attendance there at the park and
[295.16s -> 296.60s]  and
[296.60s -> 300.14s]  have presented to them a proposal of the
[300.44s -> 302.44s]  oppositions up of the
[305.80s -> 314.20s]  Of what the owner has proposed to them to relocate comfort mobile home park
[315.32s -> 318.52s]  they are wanting to relocate to
[319.16s -> 323.96s]  Shaw Lane, which is off of Burleson Road, and
[325.52s -> 329.26s]  the tenant said I have spoken to and like
[330.20s -> 332.68s]  Amanda said it's about 80% of them
[333.36s -> 339.16s]  They have said that they would like to see comfort park moved to Shaw Lane
