Zoning Case: C14-2010-0111
Meeting Date: 2010-11-04T00:00:00.000
Agenda Item: 41
Source URL: http://austintx.swagit.com/play/45428/0/
================================================================================

[0.00s -> 14.00s]  So now folks we stand for our 2 p.m. zoning matters is mr. Guernsey in the house
[30.00s -> 51.06s]  Council Greg Guernsey director planning and development review department and
[51.06s -> 58.00s]  like to walk through the items I can offer for consent at this time on your 2 o'clock agenda.
[58.00s -> 65.00s]  These are the zoning and paper plan amendment items.
[65.00s -> 68.00s]  The first item I can offer for consent.
[68.00s -> 77.00s]  I'm going to skip 31 and 32 and come back briefly and speak to those because there's a last minute change in item 1 31 32.
[77.00s -> 82.00s]  Item 33 is case MPA 2010 0 0 16.01.
[82.00s -> 87.00s]  This is the property located at 59 12 and 59 16 ball road.
[87.00s -> 98.00s]  This is an amendment to the go Valley Johnson Terrace neighbor plan to change the future land use map to designate this property as an office land use.
[98.00s -> 104.00s]  The planning commission's recommendation was to grant the office warehouse use designation.
[104.00s -> 115.00s]  This is ready for consent approval in all three readings item number 34 is case 14 2010 0 1 1 7 for the property located at 59 12 and 59 16 ball road.
[115.00s -> 123.00s]  This is to rezone the property in general office mixed use conditional overlay neighbor plan or geo MUCO and P combined district zoning.
[123.00s -> 133.00s]  The planning commission's recommendation was to grant the geo MUCO and P combined district zoning and this is ready for consent approval on all three readings.
[133.00s -> 136.00s]  Items number 35 and number 36.
[136.00s -> 141.00s]  I believe our discussion mayor I believe you have at least one or two people signed up in opposition.
[141.00s -> 149.00s]  Item number 37 is case 14 2010 0 1 46 for the property located at 11.
[149.00s -> 159.00s]  794 Jellyville Road staff is requesting a postponement of this item to your November 18th agenda and that's item number 37.
[159.00s -> 164.00s]  Item number 38 and 39 our discussion items.
[165.00s -> 170.00s]  We now have a vowel petition just so you know of 21.
[170.00s -> 175.00s]  Just over 21% which occurred this afternoon.
[175.00s -> 179.00s]  It was actually went away this morning and came back this afternoon.
[179.00s -> 182.00s]  Item number 40 as case 14.
[182.00s -> 183.00s]  Oh, hang on.
[183.00s -> 186.00s]  I have a last minute.
[186.00s -> 187.00s]  Oh, okay.
[187.00s -> 188.00s]  That's on something else.
[188.00s -> 191.00s]  Item number 40 is case 14 2010 0 38.
[192.00s -> 195.00s]  This is property located at 11 4 10 Manchak Road.
[195.00s -> 202.00s]  The proposed zoning changes to community commercial conditional overlay or GRCO combined district zoning.
[202.00s -> 207.00s]  The zoning planning commission's recommendation was to grant the GRCO combined district zoning.
[207.00s -> 210.00s]  This is ready for consent approval on all three readings.
[210.00s -> 216.00s]  The applicant in the neighborhood have agreed to a private restrict covenant.
[216.00s -> 225.00s]  And the agent for Nakele Meade has just handed me just some highlights of that private agreement that the owner will provide bike racks.
[225.00s -> 233.00s]  If the service station is developed on this property, the owner will agree to have more than four pumps,
[233.00s -> 234.00s]  no more than four pumps.
[234.00s -> 242.00s]  If a gas station is developed and the owner will provide free air for bikes and cars if a gas station is developed.
[242.00s -> 248.00s]  That's part of the private agreement, it's not part of the public agreement, but one means it free that into the record.
[248.00s -> 251.00s]  Okay.
[251.00s -> 259.00s]  Item number 41 case C 14 2010 0 1 1 1 for the property located 10 3 0 1 old San Antonio Road.
[259.00s -> 266.00s]  Staff is requesting a postponement of this item to your November 18th agenda.
[266.00s -> 268.00s]  Item number 42.
[268.00s -> 275.00s]  This is case C 14 2008 0 2 2 0 for the property located 10 200 and
[275.00s -> 280.00s]  2 10 6 14 south ice 35 service road.
[280.00s -> 286.00s]  Staff is requesting a postponement of this item to your 11 18 agenda.
[286.00s -> 295.00s]  And I believe we have a council member that would like to speak to item number 43 44 and 45.
[299.00s -> 301.00s]  Well, all right.
