Zoning Case: NPA-2018-0021.01
Meeting Date: 2019-06-06T00:00:00.000
Agenda Item: 94
Source URL: http://austintx.swagit.com/play/45787/0/
================================================================================

[0.64s -> 2.56s]  All right, consent zoning.
[2.56s -> 3.40s]  Thank you, Mayor and Council.
[3.40s -> 5.12s]  Greg Ramsey playing zoning department.
[5.12s -> 6.60s]  These are our two o'clock items,
[6.60s -> 8.64s]  regarding zoning ordinance and restricted covenants.
[8.64s -> 10.64s]  Hearings are closed.
[10.64s -> 12.28s]  Item number 70 is not on your agenda.
[12.28s -> 13.92s]  It's been replaced by item number 105.
[13.92s -> 16.36s]  I'll get to that in a moment.
[16.36s -> 21.36s]  Item number 71 is case NPA 2017 0021.01.
[22.04s -> 24.60s]  This is a staff post-ponement to June 20th.
[25.60s -> 30.36s]  Item number 72 is case NPA 2017 0018.01.
[30.36s -> 34.72s]  This is staff post-ponement to June 20th.
[34.72s -> 39.08s]  Item number 73 is case C14 2019 0053.
[39.08s -> 43.12s]  This is a staff requested post-ponement to June 20th.
[43.12s -> 48.12s]  Item number 74, this case C14 2018 0141.
[48.64s -> 50.00s]  I'm gonna introduce Jerry Rusto,
[50.00s -> 53.28s]  the Assistant Director, he's gonna make a brief statement.
[53.28s -> 56.12s]  Customers on this case, we're ready only for first reading
[56.12s -> 58.24s]  and I have been in discussions with the applicant
[58.24s -> 60.12s]  and they are in agreement that they will not request
[60.12s -> 61.44s]  to move forward on second and third reading
[61.44s -> 64.08s]  until they have cleared the pending code violations
[64.08s -> 65.48s]  on the property.
[65.48s -> 66.40s]  Okay, thank you.
[68.16s -> 71.84s]  Let me continue item number 75 and 76.
[71.84s -> 75.40s]  We have a speaker on both of item 75 and 76.
[75.40s -> 79.52s]  So those will be discussion as well as 77 and 78.
[80.40s -> 83.24s]  Item number 79 is case C14.
[83.24s -> 86.56s]  Our 87, 087 RCT.
[86.56s -> 89.56s]  This is staff requested post-ponement to 620.
[89.56s -> 94.04s]  Item number 80, this case C14 2019 0072.
[94.04s -> 97.60s]  It's ready for consent approval on all three readings.
[97.60s -> 102.24s]  Item number 81, this is case C14 2019 0060.
[102.24s -> 105.60s]  This is ready for consent approval on all three readings.
[105.64s -> 110.40s]  Item number 82, this case C14 2019 0054.
[110.40s -> 114.72s]  This is a staff requested post-ponement to June 20th,
[114.72s -> 117.36s]  to June 20th and item number 82.
[117.36s -> 121.60s]  Item number 83, case C14 2019 0041.
[121.60s -> 124.76s]  This is staff post-ponement request to June 20th.
[124.76s -> 127.60s]  Excuse me, Mayor, if I could.
[127.60s -> 132.04s]  Mr. Gernsney, I'm looking at this shade here on item 82.
[132.04s -> 134.56s]  It says post-ponement by staff to August eight.
[134.56s -> 137.56s]  Yes, on August 8th, we'll be coming back and asking for post-ponement on
[137.56s -> 139.64s]  the 32 and 83.
[139.64s -> 144.48s]  If we do, there's a code requirement that we'd have to provide full re-notification.
[144.48s -> 147.84s]  We could save the record re-notification costs if we post-ponemented the 20th and
[147.84s -> 150.76s]  then continue down to the A.
[150.76s -> 153.88s]  Item number 84, we have several speakers.
[153.88s -> 156.72s]  That'll be a discussion item.
[156.72s -> 160.72s]  Item number 85, case C14 2019 0020.
[160.72s -> 164.08s]  Mayor, I understand that the individual that has spoken or
[164.08s -> 168.88s]  signed up to speak to this item is no longer speaking to this item and
[168.88s -> 172.56s]  would be okay with going ahead with three readings today.
[172.56s -> 178.48s]  But I understand last week council member Cassar may make a comment regarding this case.
[178.48s -> 182.32s]  This is item number 85, case C14 2019 0020.
[182.32s -> 185.16s]  As we're going to keep it on consent then keep going.
[185.16s -> 189.24s]  Okay, item number 86, case C14 2019 0014.
[189.24s -> 192.20s]  This is ready for consent, approval, and all three readings.
[192.20s -> 196.40s]  Item number 87, this is case C14 2019 0016.
[196.40s -> 199.08s]  This is ready for consent, approval, and all three readings.
[199.08s -> 203.48s]  Item number 88, this case C14 2019 0008.
[203.48s -> 206.16s]  This is ready for consent, approval, and all three readings.
[206.16s -> 210.12s]  Item number 89 is case C14 2019 0013.
[210.12s -> 213.44s]  This is ready for consent, approval, and all three readings.
[213.44s -> 218.00s]  Item number 90 is case C14 2019 0056.
[218.00s -> 223.44s]  We have an applicant's request for postponement of this item to your June 20th agenda
[224.28s -> 229.64s]  item number 91 this case c14 2019 0 0 50
[231.60s -> 234.92s]  Understand this is this is ready for all three readings. I understand there might be a question
[235.96s -> 240.16s]  By councilmember tovo regarding this case may be doing for first reading only
[241.40s -> 242.96s]  correct
[242.96s -> 246.12s]  Okay, so the consent I could keep it on consent
[246.44s -> 250.36s]  With on first reading with a brief request to staff
[250.36s -> 255.56s]  Anybody have any applicant or person here to speak on it that has an issue with that first reading only I
[257.80s -> 261.00s]  Do have some specific direction for staff though that I would like to read at the right
[261.00s -> 266.40s]  We'll do that the consent that we'll have first reading only on this item. Okay. Okay. I'm moving on item number
[266.88s -> 270.40s]  92 this case c14 2018 0 1 46
[270.60s -> 272.96s]  It's ready for consent approval on all three readings
[273.64s -> 278.64s]  Item number 93 case c14 2015 0 0 62 0 1
[278.72s -> 285.52s]  This is a staff requested for indefinite postponement re-notification will be required before we bring item number 93 back
[287.64s -> 296.20s]  I don't number 94 is case NPA 2018 0 0 21 0 1 we have an applicant request for postponement to 6 20
[296.52s -> 304.88s]  And item number 95 this is case c14 2018 0 0 80 again an applicant request for postponement to 620
[305.44s -> 308.92s]  Item number 96 we have a speaker signed up
[308.92s -> 314.84s]  So that'll be a discussion item as well as item number 97 and then on the addendum
[314.84s -> 316.84s]  This is item number 105
[317.28s -> 322.48s]  Which replaced item number 70? This is ready for consent approval on second and third readings
[322.68s -> 324.68s]  It's item number 105 on the addendum
[325.32s -> 328.76s]  Okay, so the consent agenda is item 70 through
[330.92s -> 332.28s]  97
[332.28s -> 334.28s]  also item 105
[336.12s -> 338.04s]  the
[338.04s -> 343.52s]  items that I show is being pulled are 84 96 and 97 and
[344.92s -> 346.92s]  75
[347.44s -> 348.96s]  76
[348.96s -> 353.48s]  And maybe you did say 77 78. I did not I miss those so 75
[354.48s -> 360.64s]  76 77 and 78 so the ones items I have pulled are 75 76 77 78
[361.24s -> 362.60s]  8
[362.60s -> 365.68s]  also 84 96 and 97
[366.84s -> 368.84s]  Are the pulled items?
[369.16s -> 376.20s]  Okay, so anyone here to speak on any of those consent items that wishes to speak
[376.20s -> 384.36s]  Okay, yes
[388.20s -> 392.72s]  97 has been pulled so you don't need to speak yet. We're gonna do that in a moment
[396.48s -> 399.32s]  Okay, so 77 78
[401.12s -> 403.56s]  84 has been pulled 85
[407.20s -> 410.96s]  96 97 so
