Zoning Case: C14-2019-0014
Meeting Date: 2019-06-06T00:00:00.000
Agenda Item: 86
Source URL: http://austintx.swagit.com/play/45787/0/
================================================================================

[0.64s -> 2.56s]  All right, consent zoning.
[2.56s -> 3.40s]  Thank you, Mayor and Council.
[3.40s -> 5.12s]  Greg Ramsey playing zoning department.
[5.12s -> 6.60s]  These are our two o'clock items,
[6.60s -> 8.64s]  regarding zoning ordinance and restricted covenants.
[8.64s -> 10.64s]  Hearings are closed.
[10.64s -> 12.28s]  Item number 70 is not on your agenda.
[12.28s -> 13.92s]  It's been replaced by item number 105.
[13.92s -> 16.36s]  I'll get to that in a moment.
[16.36s -> 21.36s]  Item number 71 is case NPA 2017 0021.01.
[22.04s -> 24.60s]  This is a staff post-ponement to June 20th.
[25.60s -> 30.36s]  Item number 72 is case NPA 2017 0018.01.
[30.36s -> 34.72s]  This is staff post-ponement to June 20th.
[34.72s -> 39.08s]  Item number 73 is case C14 2019 0053.
[39.08s -> 43.12s]  This is a staff requested post-ponement to June 20th.
[43.12s -> 48.12s]  Item number 74, this case C14 2018 0141.
[48.64s -> 50.00s]  I'm gonna introduce Jerry Rusto,
[50.00s -> 53.28s]  the Assistant Director, he's gonna make a brief statement.
[53.28s -> 56.12s]  Customers on this case, we're ready only for first reading,
[56.12s -> 58.24s]  and I have been in discussions with the applicant,
[58.24s -> 60.12s]  and they are in agreement that they will not request
[60.12s -> 61.44s]  to move forward on second and third reading
[61.44s -> 64.08s]  until they have cleared the pending code violations
[64.08s -> 65.64s]  on the property.
[65.64s -> 66.48s]  Okay, thank you.
[68.16s -> 69.00s]  Let me continue.
[69.00s -> 72.84s]  Item number 75 and 76, we have a speaker
[72.84s -> 75.40s]  on both of item 75 and 76.
[75.40s -> 79.52s]  So those will be discussion as well as 77 and 78.
[80.36s -> 83.20s]  Item number 79 is case C14.
[83.20s -> 86.52s]  Our 87, 087 RCT.
[86.52s -> 89.52s]  This is staff requested post-ponement to 620.
[89.52s -> 94.00s]  Item number 80, this case C14 2019 0072.
[94.00s -> 97.56s]  It's ready for consent approval on all three readings.
[97.56s -> 102.20s]  Item number 81, this is case C14 2019 0060.
[102.20s -> 105.60s]  This is ready for consent approval on all three readings.
[105.64s -> 110.40s]  Item number 82, this case C14 2019 0054.
[110.40s -> 114.72s]  This is a staff requested post-ponement to June 20th,
[114.72s -> 117.36s]  to June 20th, and item number 82.
[117.36s -> 121.60s]  Item number 83, case C14 2019 0041.
[121.60s -> 124.76s]  This is staff post-ponement request to June 20th.
[124.76s -> 126.84s]  Excuse me, Mayor.
[126.84s -> 130.72s]  If I could, Mr. Guernsey, I'm looking at this shade here
[130.72s -> 134.56s]  on item 82, it says post-ponement by staff to August 8th.
[134.56s -> 136.84s]  Yes, on August 8th, we'll be coming back and asking
[136.84s -> 139.56s]  for post-ponement on August 32 and 83.
[139.56s -> 141.92s]  If we do, there's a code requirement
[141.92s -> 144.40s]  that we'd have to provide full re-notification.
[144.40s -> 146.44s]  We can save the record re-notification costs
[146.44s -> 149.68s]  if we post-ponded to 20th and then continue down to the A.
[150.72s -> 153.84s]  Item number 84, we have several speakers.
[153.84s -> 156.72s]  That'll be a discussion item.
[156.72s -> 160.68s]  Item number 85, case C14 2019 0020.
[160.68s -> 163.84s]  Mayor, I understand that the individual that has spoken
[163.88s -> 167.88s]  or signed up to speak to this item is no longer speaking
[167.88s -> 171.24s]  to this item and would be okay with going ahead
[171.24s -> 173.84s]  with three readings today, but I understand
[173.84s -> 176.80s]  I speak council member Kasar may make a comment
[176.80s -> 178.40s]  regarding this case.
[178.40s -> 182.28s]  This is item number 85, case C14 2019 0020.
[182.28s -> 185.08s]  Okay, so we're gonna keep it on consent then, keep going.
[185.08s -> 189.20s]  Okay, item number 86, case C14 2019 0014.
[189.20s -> 192.08s]  This is ready for consent approval in all three readings.
[192.08s -> 196.36s]  Item number 87, this is case C14 2019 0016,
[196.36s -> 198.96s]  this is ready for consent approval in all three readings.
[198.96s -> 203.36s]  Item number 88, this case C14 2019 0008.
[203.36s -> 206.08s]  This is ready for consent approval in all three readings.
[206.08s -> 210.04s]  Item Number 89 is case C14 2019 0013.
[210.04s -> 213.32s]  This is ready for consent and approval in all three readings.
[213.32s -> 218.00s]  Item number 90, this case C 14 2019 0056.
[218.00s -> 220.58s]  We have an applicant's request for post-ponement
[220.58s -> 224.58s]  of this item to your June 20th agenda.
[224.58s -> 229.58s]  Item number 91, this case C14 2019 0050.
[231.74s -> 233.74s]  I understand this is ready for all three readings.
[233.74s -> 236.34s]  I understand there might be a question
[236.34s -> 238.86s]  by council member Tovo regarding this case
[238.86s -> 240.70s]  may be doing for first reading only.
[241.74s -> 242.58s]  Correct.
[243.34s -> 245.18s]  Okay, so the consent.
[245.18s -> 248.26s]  I could keep it on consent on first reading
[248.26s -> 250.50s]  with a brief request to staff.
[250.50s -> 252.58s]  Anybody have any applicant or person here
[252.58s -> 254.58s]  to speak on it that has an issue with that?
[254.58s -> 255.66s]  First reading only.
[258.18s -> 259.98s]  I do have some specific direction for staff
[259.98s -> 261.18s]  though that I would like to read at the right.
[261.18s -> 262.02s]  We'll do that.
[262.02s -> 263.54s]  The consent that we'll have first reading only
[263.54s -> 264.54s]  on this item.
[264.54s -> 268.06s]  Okay, moving on item number 92.
[268.06s -> 271.14s]  This case C14 2018 0146.
[271.14s -> 273.90s]  It's ready for consent approval on all three readings.
[273.90s -> 278.18s]  Item number 93 case C14 2015 0062.
[279.18s -> 282.54s]  This is a staff requested for indefinite post-pulment
[282.54s -> 283.78s]  re-notification will be required
[283.78s -> 285.94s]  before we bring item number 93 back.
[288.06s -> 292.70s]  Item number 94 is case NPA 2018 0021.01.
[292.70s -> 296.94s]  We have an applicant request for post-pulment to 620.
[296.94s -> 301.42s]  And item number 95, this is case C14 2018 0080.
[301.42s -> 305.78s]  Again, an applicant request for post-pulment to 620.
[305.82s -> 309.02s]  Item number 96, we have a speaker signed up
[309.02s -> 310.94s]  so that'll be a discussion item
[310.94s -> 313.26s]  as well as item number 97.
[313.26s -> 317.70s]  And then on the addendum, this is item number 105
[317.70s -> 319.18s]  which replaced item number 70.
[319.18s -> 321.26s]  This is ready for consent approval
[321.26s -> 323.14s]  on second and third readings.
[323.14s -> 325.74s]  It's item number 105 on the addendum.
[325.74s -> 330.74s]  Okay, so the consent agenda is item 70 through 97.
[331.74s -> 335.74s]  Also item 105, the items that I show is being pulled
[340.74s -> 343.50s]  are 84, 96, and 97.
[344.38s -> 349.38s]  And right, 75, 76, and maybe you did say 77, 78?
