Zoning Case: C14H-2015-0007
Meeting Date: 2015-12-10T00:00:00.000
Agenda Item: 73
Source URL: http://austintx.swagit.com/play/45696/0/
================================================================================

[0.00s -> 4.96s]  Okay, so next we're going to take up the zoning consent items
[8.28s -> 13.84s]  So colleagues I thought we would move to the zoning consent so that a lot of these folks can go on and about their day
[13.84s -> 20.20s]  And then we'll come to the committee the items referred to by referred to us by committees about which there appears to be
[21.48s -> 28.62s]  Lots of agreement so we probably won't require a lot of discussion so we can dispense with a lot of a lot of the issues here this morning
[29.46s -> 33.40s]  Mr. Grincy Mayor of our time and Council Greg Grincy planning and zoning apartment
[33.94s -> 40.48s]  These are 10 o'clock where the hearings have been closed on zoning ordinances and related restrict covenant items
[40.48s -> 44.64s]  I had number 36 the case MPA 2015 0 0 15.01
[44.94s -> 49.60s]  This is for a property located in the east MLK combining district number plan
[50.10s -> 54.80s]  Area is for a property look at 50 17 one half health and 50
[55.68s -> 58.20s]  109 and one half at Wilcox Avenue
[58.32s -> 66.46s]  This is a change the future line use map to utilities land use and this is ready for consent on second and turn readings item number 37
[66.56s -> 73.64s]  This is a related zoning case case c14 2015 0 1 0 1 for the property look located at 50 17 1 half
[73.64s -> 76.68s]  Health Avenue and 51 0 9 and a half
[77.36s -> 84.40s]  Wilcox this is on the property to public neighbor plan or P&P combined district zoning and this is ready for consent
[84.80s -> 86.80s]  Approval on second and third readings
[87.52s -> 92.56s]  Item number 38 this case MPA 2015 0 0 0 5 0 2
[92.86s -> 99.12s]  It's for property located in the tapless neighbor planning area the property located at 7200 east been my boulevard
[99.36s -> 108.12s]  This changed the future land use map to designate it for higher density single family land use since it's ready for consent approval on second and third readings
[109.00s -> 113.72s]  Excuse me item number 39. It's case c14 2015 0 0 73
[113.92s -> 119.80s]  For the property located at 7200 east been my boulevard. This is own the property
[120.80s -> 128.66s]  To community commercial mixed use conditional overlay neighbor plan or GRM you CEO and P combined district zoning for tracked one
[129.48s -> 131.00s]  and
[131.00s -> 133.00s]  the sea and
[134.12s -> 140.28s]  To zone townhouse kind of medium residents conditional overlay neighbor plan or SS 6 CMP combined
[140.28s -> 148.48s]  District zoning for track 2. This is ready for consent approval on second and third readings item number 40 as case MPA 2015 0 0
[149.16s -> 154.46s]  15.02 on this is in the east MLK combined neighbor planning area
[155.16s -> 159.84s]  This is for the property located 5700 and 57 to 2 record drive
[159.84s -> 165.98s]  This is to designate the property to office land use this ready for consent approval on second and third reading the related zoning case
[166.18s -> 169.24s]  It's case c14 2015 0 1 0 8
[169.94s -> 172.46s]  57 and 57 0 2 on record drive
[172.58s -> 174.58s]  This is on the property and neighborhood office
[174.90s -> 180.82s]  Neighbor plan or NO and NP combined district zoning. This is ready for consent approval on second and third readings
[181.62s -> 186.50s]  I don't number 42 case MPA 2015 0 0 28.01
[186.50s -> 191.26s]  And this is for property located in the heritage hills Windsor Hills combined neighbor planning area
[191.82s -> 198.26s]  This is property located at 83 24 Cameron Road to zen designate the property as an office land use
[198.26s -> 205.58s]  This is ready for consent approval on all three readings. I don't number 43 case c14 2015 0 100
[205.58s -> 211.24s]  The property located 83 24 Cameron Road. This is the zone the property general office conditional overlay
[211.86s -> 218.30s]  Neighbor plan or geo CEO and P combined this zoning. It's ready for sent approval on all three readings
[218.82s -> 220.82s]  item number 44
[221.54s -> 223.54s]  Oh, I'm not item number
[223.90s -> 225.26s]  43
[225.26s -> 229.54s]  I believe there's a council member wanted to add a comment on this
[230.18s -> 235.18s]  Is the Cameron skilled nursing facility? Yeah, I think
[236.74s -> 239.38s]  So this one's ready to go on consent as well
[239.38s -> 246.62s]  But I wanted to read in the developers agreed to a 12-foot vegetative buffer along the western side of the
[247.26s -> 252.06s]  Trax and so I'd like that to be included as we pass on second and third reading
[252.06s -> 259.98s]  I'd really like to thank the developer for for working with us on this in the neighbors essentially as y'all had heard on some prior zoning cases
[260.66s -> 268.62s]  Cameron Road is the heavily industrially zoned area that's transitioning into having different kinds of residential uses and so for this facility
[268.86s -> 272.98s]  Being able to have that that vegetative buffer. I think will be helpful in case
[273.86s -> 278.26s]  The nearby tract which is just a call center right now ever turns into a more intense use
[280.86s -> 282.86s]  Thank you item number 44
[283.34s -> 290.78s]  KC 14 2014 0 1 60 8 this will be a discussion item
