Zoning Case: C14-2013-0146
Meeting Date: 2014-01-30T00:00:00.000
Agenda Item: 30
Source URL: http://austintx.swagit.com/play/45606/0/
================================================================================

[0.00s -> 3.40s]  Okay, so Mr. Guernsey.
[3.40s -> 4.36s]  Thank you, Mayor and Council.
[4.36s -> 7.86s]  Our 2PM zoning ordinance and restricted covenants.
[7.86s -> 9.76s]  These are where their hearings are closed.
[9.76s -> 14.76s]  I'd offer item number 26, KC 14, 2013, 0057.
[15.48s -> 18.00s]  This is for second and third ordinance readings
[18.00s -> 22.52s]  for the property located at 3,500 West 35th Street
[22.52s -> 25.88s]  to zone the public to P public district zoning.
[25.88s -> 28.12s]  And this is ready again for consent approval
[28.12s -> 29.96s]  on second and third readings.
[29.96s -> 34.96s]  Item number 27, KC 14, 2013, 0110.
[36.28s -> 41.12s]  For the property located at 6507, 60603, 6505.
[41.12s -> 44.88s]  East Riverside, drive in 2108.
[44.88s -> 48.88s]  Authorational Lane, this is an item that deals
[48.88s -> 52.62s]  with the East Riverside corridor regulating plan.
[52.62s -> 55.68s]  The applicant has requested a post-ponement of this item
[55.68s -> 58.60s]  to your May 15th agenda.
[60.80s -> 65.80s]  Item number 28 is KC 14, 2013, 0144.
[66.76s -> 70.48s]  For the property located at 812 and 1 half.
[70.48s -> 74.00s]  West 2nd Street, this is to zone the property
[74.00s -> 76.52s]  to P public district zoning.
[76.52s -> 79.56s]  The plan commission's recommendation was to grant
[79.56s -> 82.20s]  the P district zoning and this is ready
[82.20s -> 84.48s]  for consent approval on all three readings.
[85.44s -> 90.44s]  Item number 29 is KC 14H 2013, 0140.
[91.92s -> 95.88s]  For the property located at 2507, Ken Moore Court.
[95.88s -> 98.12s]  This is to zone the property to family, residents,
[98.12s -> 100.92s]  historic landmark, neighbor plan.
[100.92s -> 105.04s]  Also known as SF3HMP combined district zoning.
[105.04s -> 107.36s]  The plan commission's recommendation was to grant
[107.36s -> 110.92s]  the SF3HMP combined district zoning
[110.92s -> 112.72s]  and this is ready for consent and approval
[112.72s -> 114.16s]  on all three readings.
[115.00s -> 119.80s]  Item number 30 is KC 14, 2013, 0146.
[119.80s -> 124.80s]  For the property located at 11901 Anderson Mill Road.
[125.52s -> 129.32s]  Staff is requesting a post-ponement of this case
[129.32s -> 133.60s]  to your February 13th agenda.
[133.60s -> 135.04s]  Staff is answering some questions
[135.04s -> 139.52s]  for the applicant that has arisen in reference to this case.
[139.52s -> 143.60s]  Item number 31, Mayor, I believe you probably have
[143.60s -> 145.52s]  at least a few people that have signed up
[145.52s -> 147.84s]  to speak in regards to this item.
[147.84s -> 149.52s]  We've got eight people actually.
[149.52s -> 151.20s]  Okay, so that'll be a discussion item.
[151.20s -> 152.84s]  That's item number 31.
[154.76s -> 156.44s]  Item number 32.
[158.00s -> 161.64s]  Staff would postpone this item to the 13th,
[162.64s -> 167.64s]  also to correct the posting related to this particular item.
[168.80s -> 172.28s]  It would change to reflect clarity
[172.28s -> 175.92s]  on the restrictive covenant amendment
[176.80s -> 181.12s]  and staff apologize those that are present this afternoon
[181.12s -> 184.88s]  that came down in this posting,
[184.88s -> 186.72s]  I believe because of the weather,
[186.72s -> 188.80s]  we didn't get it posted right on Friday.
[188.80s -> 191.68s]  Item 33 would be a discussion item.
[191.68s -> 194.88s]  This is a zoning case that's related to that same property.
[195.80s -> 200.80s]  Item number 34 is case MPA 2013.
[202.44s -> 207.44s]  0019.01, this is for the central Austin combined neighbor plan
[209.76s -> 213.20s]  to change the land use designation on the future land use map
[214.04s -> 218.04s]  for the property located at 710 East at 41st Street
[218.04s -> 221.88s]  from Civic to mixed use land use,
[221.88s -> 223.88s]  and this is ready for consent approval
[223.88s -> 225.28s]  on all three readings.
[226.56s -> 228.92s]  The related item, item number 35,
[228.92s -> 233.92s]  case C14 2013, 0040 for the same property
[236.16s -> 239.76s]  located at 710 East 41st Street.
[239.76s -> 243.52s]  Staff would actually ask you to pause in this item.
[243.52s -> 245.88s]  I just send there's a little tweak to the ordinance
[245.88s -> 248.08s]  that's being worked on,
[248.08s -> 250.20s]  and it'll be back in just a little bit.
[250.20s -> 254.68s]  So I'll not offer 35 for consent at this time,
[254.68s -> 257.36s]  but I think it will be when the little changes
[257.36s -> 259.88s]  is made to clarify something in that ordinance.
[262.80s -> 264.96s]  Question, go ahead, Councillor Morrison.
[264.96s -> 268.68s]  Greg, did you say, did you list item 28 as a consent?
[268.68s -> 270.12s]  Because we have two speakers and also I have.
[270.12s -> 272.20s]  I just been told there are two speakers.
[272.20s -> 274.48s]  Right, and also I have one at 28.
[274.48s -> 276.48s]  So that'll be a discussion item.
[276.48s -> 277.32s]  Got it.
[287.36s -> 288.20s]  Okay.
[318.08s -> 323.08s]  Mayor and Council on item number 32,
[324.00s -> 327.96s]  the attorney representing the adjacent property owners
[327.96s -> 331.72s]  is raised in an objection regarding the item.
[333.00s -> 334.70s]  Although it's not properly posted,
[336.08s -> 340.84s]  would like you to consider a post-home one of 32 and 33
[342.60s -> 345.64s]  because of the posting error on 32.
[346.64s -> 349.16s]  So I'll make that new at this time.
[349.16s -> 351.32s]  Well, just for now, we'll consider this,
[351.32s -> 352.80s]  these to be discussion items,
[352.80s -> 355.76s]  and we'll get back and discuss possible post-moment.
[355.76s -> 356.60s]  Very good, Mayor.
[360.20s -> 362.00s]  So we're on 36, I believe.
[367.80s -> 370.00s]  Mayor, I don't believe I have the ordinance back
[371.00s -> 375.20s]  from my staff to offer 36 as a consent item.
[375.20s -> 378.76s]  So I ask that we not offer that as consent this time
[378.76s -> 381.24s]  and wait when the ordinance arrives in the room
[381.24s -> 382.88s]  and you have the opportunity to look at it
[382.88s -> 384.96s]  and we can explain what that minor changes
[384.96s -> 388.68s]  so everyone's aware then we can offer that as a consent item.
[388.68s -> 390.76s]  So you're saying for 37?
[390.76s -> 394.16s]  That's item number 35, I believe.
[394.16s -> 397.48s]  35, those are four o'clock items anyway.
[397.48s -> 399.28s]  Right, 36 is a four o'clock item.
[401.00s -> 401.84s]  Yeah.
[401.84s -> 405.76s]  So let me read the consent agenda
[408.56s -> 412.60s]  for zoning cases to approve item number 26
[412.60s -> 414.68s]  on second and third reading,
[414.68s -> 417.16s]  postpone item 27 until May 15th
[421.12s -> 424.68s]  to close the public hearing and approve item 29
[424.68s -> 425.84s]  on all three readings
[426.84s -> 430.84s]  to postpone item 30 until February 13th
[437.40s -> 441.76s]  to approve item number close the public hearing
[441.76s -> 446.76s]  and approve item 34 on all three readings.
[448.32s -> 451.76s]  And I've got 35 of the discussion item.
[452.04s -> 455.32s]  And Mayor actually, Mr. Rust-Oven is passing out
[456.76s -> 460.24s]  the revised ordinance for 35.
[460.24s -> 462.60s]  So once you receive this,
[462.60s -> 464.44s]  and I might ask actually Mr. Rust-Oven
[464.44s -> 468.48s]  just very quickly highlight what those changes are.
[468.48s -> 471.24s]  And I think we can offer item number 35
[471.24s -> 475.14s]  for consent approval on third reading as well.
[476.64s -> 479.12s]  I see you're speaking very slowly.
[480.08s -> 480.92s]  All right.
[480.92s -> 481.76s]  Yes.
[483.92s -> 487.00s]  Mayor Council, on item 35,
[487.00s -> 489.76s]  we made one change on page three,
[489.76s -> 493.44s]  line 16 was the typo that paragraph applies to track two.
[493.44s -> 496.92s]  So we just changed track two, checked one to track two.
[496.92s -> 499.84s]  And we added on the next page,
[499.84s -> 503.68s]  on the top of the next page on the top four paragraph B,
[503.68s -> 506.40s]  we added the words save and accept
[506.40s -> 508.24s]  underground parking is permitted no closer
[508.32s -> 510.88s]  than 75 feet to the northern zoning boundary line.
[510.88s -> 512.24s]  That reflects what was agreed to
[512.24s -> 513.68s]  in the private restricted covenant.
[513.68s -> 516.60s]  And with those two changes, we're ready for all three.
[516.60s -> 518.08s]  I'm sorry, second and third.
[519.56s -> 523.68s]  With the changes adding number 35 to the consent agenda
[523.68s -> 525.40s]  to close the public hearing
[525.40s -> 527.48s]  and approve on all three readings.
[527.48s -> 530.32s]  Approve on third reading.
[530.32s -> 531.16s]  Third reading.
[538.48s -> 540.80s]  And that's the same for 34 and 35.
[540.80s -> 541.64s]  That's correct.
[541.64s -> 543.12s]  Okay.
[543.12s -> 545.04s]  So I'll entertain a motion.
[545.04s -> 548.36s]  Councilor Martinez moves to approve the consent agenda.
[548.36s -> 551.28s]  Second by the Mayor Pro Tem, Councilor Tovo.
[551.28s -> 552.24s]  Very quick question.
[552.24s -> 554.48s]  I just want to confirm that the restrictive covenant
[554.48s -> 555.84s]  that the private restrictive covenant
[555.84s -> 558.36s]  associated with the period state has been executed.
[559.84s -> 560.92s]  Back to this, thank you.
[561.92s -> 563.48s]  All in favor say aye.
[563.48s -> 564.32s]  Aye.
[564.32s -> 565.16s]  Opposed say no.
[565.16s -> 566.68s]  Pass it on to vote seven to zero.
[568.24s -> 569.92s]  Okay.
