Zoning Case: C14-2010-0077
Meeting Date: 2010-08-26T00:00:00.000
Agenda Item: 76
Source URL: http://austintx.swagit.com/play/45423/0/
================================================================================

[0.00s -> 6.00s]  There are 76.
[6.00s -> 16.00s]  Yes. Mayor and Council, Item number 76, our last zoning case this evening, as a rezoning
[16.00s -> 26.00s]  of a property, case number C14-2010-0077 for the property located at 4600 Manchak Road.
[26.00s -> 37.00s]  This is a zoning change request on a 4.8 acre tract of land approximately from SF-3 to LOMU-CO,
[37.00s -> 41.00s]  which stands for Limit Office Mixed Use Conditional Overlay.
[41.00s -> 45.00s]  The property is currently developed with a religious assembly use,
[45.00s -> 53.00s]  and the proposal is to rezone the property to allow for greater development
[53.00s -> 59.00s]  of the religious assembly use on their own property, basically for additions onto an existing church.
[59.00s -> 68.00s]  They have agreed to limit the zoning uses on this property to the religious assembly use
[68.00s -> 74.00s]  and all other uses that would be allowed in the Single Family Residence or SF-2 district.
[74.00s -> 86.00s]  So, actually, the effect would be on the SF-3 property would actually be allowed only SF-2 uses on this property
[86.00s -> 88.00s]  with a religious assembly use.
[88.00s -> 94.00s]  It was recommended to you by the Zoning and Planning Commission on a 6-0 vote.
[94.00s -> 98.00s]  There are representatives from the Western Trails Neighborhood Association,
[98.00s -> 106.00s]  the Southwood Neighborhood Association that have provided letters of non-opposition that you have in your possession.
[106.00s -> 112.00s]  However, there are individual property owners that are opposed and have raised issues regarding traffic.
[112.00s -> 116.00s]  The site is currently zoned SF-3. It's an entirety.
[116.00s -> 122.00s]  To the north is a property zoned SF-3 and the elementary school and park.
[122.00s -> 126.00s]  To the south is zoned SF-3 and Single Family Residences.
[126.00s -> 133.00s]  To the east is LO zoning and is currently used for offices, religious assembly and Single Family Residences.
[133.00s -> 138.00s]  And to the west is SF-3 zoning and Single Family Residences.
[138.00s -> 140.00s]  At this time, I'll pause.
[140.00s -> 146.00s]  If you have any questions, I think you have a couple speakers in favor and opposed to this request.
[146.00s -> 152.00s]  And Mr. Jim Bennett is here on behalf of Woodlawn Baptist Church as their agent.
[155.00s -> 157.00s]  Okay, Mr. Bennett.
[160.00s -> 162.00s]  I believe you're allowed five minutes.
[162.00s -> 165.00s]  Thank you, Mr. Mayor. I probably won't take that long.
[165.00s -> 168.00s]  Mr. Grins is pretty well given your rundown on this property.
[168.00s -> 173.00s]  However, Woodlawn Baptist Church has been at this location since 1951.
[173.00s -> 178.00s]  It is in need of some improvements and additions.
[178.00s -> 186.00s]  We are proposing to make an addition to the church on the northeast portion of the track toward the Manchac Roadside of the property.
[186.00s -> 195.00s]  This project's been going on for about two years now with the Western Trails Neighborhood Association.
[196.00s -> 210.00s]  Their board's committees and the neighbors that were in attendance as well as the Southwood Neighborhood Association has been in contact about the project as well.
