Zoning Case: C14-2010-0118
Meeting Date: 2010-10-28T00:00:00.000
Agenda Item: 61
Source URL: http://austintx.swagit.com/play/45427/0/
================================================================================

[0.00s -> 12.36s]  Thank you, Mayor and Council, that brings us to item number 61, this is case C-14-2010-0118.
[12.36s -> 19.32s]  This is for a property located at 1901, South Lamar Boulevard, it's a rezoning to a commercial
[19.32s -> 27.56s]  law liquor sales district or CS1 district zoning for attractive land that's about 11,500 square
[27.56s -> 29.04s]  feet.
[29.04s -> 36.24s]  The property was previously used as an auto prepare or auto inspection facility and the
[36.24s -> 42.76s]  applicant would like to use the property in the future for post cocktail lounge.
[42.76s -> 47.36s]  Cocktail lounge would require what's called a conditional use permit and that would require
[47.36s -> 53.92s]  site plan approval by the zoning planning commission or planning commission before this
[53.92s -> 59.00s]  could be considered for a cocktail lounge use.
[59.00s -> 65.92s]  If an agree party, either the applicant or interest of party in the surrounding area objects
[65.92s -> 70.76s]  to the decision made by the commission, it could be appealed to this body, the City Council.
[72.92s -> 78.84s]  The Zocal Neighborhood has taken a position not to support the rezoning request, however
[78.84s -> 84.52s]  it is recommended by staff and was only recommended by the planning commission for CS1 zoning and
[84.52s -> 90.00s]  about to 9 to 0, with the instruction the applicant should pursue a restricted covenant
[90.00s -> 96.76s]  or provision of a commission's permit not to seek an outdoor music menu permit for the site.
[96.76s -> 102.76s]  The site is on CS, the properties to the north, our restaurant auto repair and retail and
[102.76s -> 104.16s]  zone CS.
[104.16s -> 106.84s]  To the south is office and retail zone CS.
[106.84s -> 112.84s]  To the east is also CS and SF6 which there are some warehousing and apartments into the
[112.84s -> 115.16s]  west, you see us in auto repair.
[117.44s -> 124.68s]  The property as developed has about 1,425 square feet of building.
[124.68s -> 132.40s]  If it were to be converted to a cocktail lounge use, it would require 11 to 12 parking spaces,
[132.40s -> 135.52s]  depending on how the building is finally redeveloped.
[136.52s -> 142.80s]  The applicant does have a presentation and there are members here from the neighborhood association that are in opposition
[142.80s -> 144.32s]  to this request.
[144.32s -> 146.40s]  If you have any questions, I'll be happy to answer them at this time.
[148.16s -> 149.16s]  Questions for staff?
[151.16s -> 154.56s]  In that case, we'll go to the applicant, I assume that's Kareem.
[154.56s -> 155.68s]  Kareem ajar?
[155.68s -> 157.12s]  Kareem ajar.
[157.12s -> 163.04s]  And you have several people donating time to use William Tamenga in the chamber.
[164.48s -> 166.64s]  William, okay.
[166.64s -> 167.56s]  Natalie Stone.
[169.56s -> 171.96s]  Natalie Stone is not in the chamber.
[173.68s -> 175.80s]  John Flynn.
[175.80s -> 177.32s]  John Flynn is here.
[177.32s -> 178.88s]  Tatum Smith.
[178.88s -> 180.16s]  Tatum Smith, okay.
[180.16s -> 187.12s]  So you will have 14 minutes should you need them.
[189.04s -> 191.04s]  Let's hope that I don't.
[194.68s -> 198.40s]  Welcome to the 1-9-0-1 South Amar.
[198.40s -> 203.96s]  Thank you for this opportunity to try to transform this partial property to this.
[205.96s -> 212.88s]  The city of Austin has long been a proponent for
[212.88s -> 217.48s]  pedestrian and bicycle transportation.
[217.48s -> 226.32s]  And as we approach that tipping point, and we are seeing businesses adopt the neighborhood centric model of operation.
[227.28s -> 234.64s]  It's essential for the city to also adopt it and allow those businesses who do want to operate a business plan.
[234.64s -> 238.96s]  Responsibly within the balance of a residential neighborhood to do so.
[238.96s -> 245.92s]  So that we can have the social hubs that we have been listening to.
[247.84s -> 251.44s]  Listening or hearing about in the past.
[251.44s -> 255.32s]  Crossroads is one of those venues.
[255.32s -> 261.84s]  It is a traditional neighborhood bar at the corner of Mary Street and Lamar.
[263.36s -> 264.44s]  It would have bike racks.
[265.72s -> 272.80s]  It would encourage pedestrians from the east as opposed to the west to walk without having to cross Lamar.
[273.96s -> 280.92s]  As we heard, it is zoned CS currently and is surrounded by CS in all directions with an apartment.
[281.80s -> 286.76s]  Immediately to the south and 1S of 6 also to the south and east.
[290.76s -> 298.16s]  The objections to this particular zoning case are puzzling because of the similarities between CS and CS1.
[298.16s -> 302.20s]  The parking requirements are the same, the hours of operation are the same.
[302.20s -> 308.28s]  Both allow live outdoor music, both allow an outdoor patio, both allow the sale of mixed beverages.
[309.24s -> 313.60s]  So why do we request CS1 if we could just stay with CS?
[313.60s -> 317.56s]  And the answer is that we have six different restaurants within a block of us.
[317.56s -> 320.92s]  Though, Pyslice has closed, unfortunately.
[320.92s -> 326.56s]  We do have Austin's pizza zone and other Austin establishments around Mafaria.
[328.32s -> 331.36s]  It's more cost effective to outsource the food.
[331.36s -> 336.44s]  Austin patrons have become much more demanding than patrons of old.
[336.44s -> 341.20s]  And food is now almost a necessary component of a cocktail lounge.
[341.20s -> 348.92s]  So the anticipation is that food will be provided, it just wouldn't have to be 51% of food sales.
[351.92s -> 357.20s]  Our firm represents in excess of 140 other bars and restaurants around the city.
[357.20s -> 363.08s]  And every time we discuss a new project with a client, we look at the big five.
[363.08s -> 367.84s]  Boys, live outdoor music, parking, lighting, security, all.
[369.20s -> 374.84s]  All are issues that can cause heartache with the residents and other neighborhoods around you.
[376.72s -> 381.36s]  So it pertains to noise, the orientation of this property faces east.
[381.36s -> 386.04s]  The multifamily and single family are, I'm sorry, this property faces west.
[386.04s -> 391.92s]  And the multifamily and single family are to the east, having done the rezoning for Gibson Street.
[391.92s -> 399.16s]  Panel six with the city of Austin's cooperation pumped 120 decibels inside what is now the Gibson Street bar.
[399.16s -> 409.76s]  And other than rattle out a few windows, everything on the property line was still crickets and quiet and didn't affect the recording studio that was immediately on the other side of the property line.
[411.32s -> 417.52s]  So having a cinder block wall in this particular case seems to be a very adequate buffer.
[418.52s -> 425.08s]  Not because of any demands, and it's something that we have said from the get go, there will be no live outdoor music, period.
[426.48s -> 434.32s]  The intention upon approval is to file a public restrictive covenant to allow anyone to enforce it.
[434.32s -> 442.20s]  Not just city staff, not just a noise ordinance, but anyone should live out to a music be played there.
[442.20s -> 450.72s]  This particular location is also about 50 yards away from the infamous freight rail that runs right through the middle of the city.
[451.92s -> 460.92s]  The Federal Railroad Administration requires that the conductors blow their horns three times between 96 and 110 decibels.
