Zoning Case: C14-2014-0112
Meeting Date: 2014-11-20T00:00:00.000
Agenda Item: 151
Source URL: http://austintx.swagit.com/play/45649/0/
================================================================================

[0.00s -> 7.00s]  I think we take those together.
[7.00s -> 8.00s]  Item 150.
[8.00s -> 15.00s]  Item 150 is a neighbourhood plan amendment to the Oak Hill combined neighbourhood plan.
[15.00s -> 22.00s]  It is NPK's NPA 2014 0025.02 known as the Lantana track 28.
[22.00s -> 26.00s]  Track 1 is located 5436 Vega Avenue.
[26.00s -> 29.00s]  Track 2 is located at 6601.5.
[30.00s -> 37.00s]  Please hold your conversations until you get out of the chamber so we can go on with the meeting.
[37.00s -> 39.00s]  It's 105 in the morning.
[39.00s -> 42.00s]  Thank you very much.
[42.00s -> 44.00s]  It is a 27.8 acre tract.
[44.00s -> 51.00s]  The change in the flum is for track 1 and track 2 from office to track 1 multifamily and track 2 mixed use.
[51.00s -> 57.00s]  The related zoning case item 151 is KC14 2014 00, sorry 0112.
[57.00s -> 60.00s]  Lantana track 28 in a portion of track 23.
[60.00s -> 65.00s]  Located at 5436 Vega Avenue in 6601.5 Realte Boulevard.
[65.00s -> 66.00s]  Also 27.8 acres.
[66.00s -> 70.00s]  The requested zoning is on track 1.
[70.00s -> 72.00s]  The existing zoning is LONP.
[72.00s -> 74.00s]  Track 2 is GONP.
[74.00s -> 80.00s]  The requested zoning is MF4, CONP for track 1, and GONU, CONP for track 2.
[80.00s -> 87.00s]  The staff recommendations to grant MF4, CONP and GONU, CONP for track 1 and 2 respectively with the following conditions.
[87.00s -> 89.00s]  Applicable for 1 for the MF1 track.
[89.00s -> 92.00s]  The property shall be limited in maximum 17 years per acre.
[92.00s -> 94.00s]  The property shall be limited in maximum number 300 years.
[94.00s -> 96.00s]  The minimum lot size shall be 8,000 square feet.
[96.00s -> 98.00s]  The minimum lot width shall be 50 feet.
[98.00s -> 100.00s]  The minimum front yard step actually will be 25 feet.
[100.00s -> 102.00s]  The minimum street yard step actually will be 15 feet.
[102.00s -> 104.00s]  The minimum interior yard step actually will be 5 feet.
[104.00s -> 106.00s]  The minimum rear yard step actually will be 10 feet.
[106.00s -> 108.30s]  The minimum side area for the residential units will be 25
[108.30s -> 110.00s]  square feet for each efficiency.
[110.00s -> 114.00s]  3,000 for each 1 bedroom unit and 35 square feet for each 2 or more bedroom unit.
[114.00s -> 116.00s]  The maximum height shall be limited to 60 feet.
[116.00s -> 125.00s]  Conditions for both track 1 and track 2 include a limitation of 2,000 trips, development of the track shall comply to heritage tree ordinance, and development of the property shall be in compliance with commercial landscape ordinance.
[125.00s -> 131.00s]  The planning commission recommendation was to approve the staff recommendation for both the plan amendment and the zoning case, and I'm available for any questions.
[136.00s -> 140.00s]  We have a staff or applicant presentation.
[153.00s -> 156.00s]  I'm kind of excited to be back to back and the last item.
[156.00s -> 158.00s]  I don't know how that happened, but thank you mayor.
[158.00s -> 166.00s]  This is this actually is a project that is a near another project that you did sort of here last year because it went on consent.
[166.00s -> 175.00s]  So we're we're dealing with this one as it's come along with some discussion, but quite frankly, it's actually more restrictive than the one you voted on last year on consent.
[175.00s -> 180.00s]  This property is located near Southwest Parkway, Rialto and Vega as to AMD campus.
[180.00s -> 182.00s]  You can see there at the top of the screen.
[182.00s -> 186.00s]  Here you can see closely.
[187.00s -> 188.00s]  There's three applications.
[188.00s -> 191.00s]  I believe the rest of the covenant is postponed for the evening.
[191.00s -> 201.00s]  The neighborhood plan amendment is specifically to change track 28 from office to multifamily and then office to mixed use with the what we call the flag lot out to the Rialto driveway.
[201.00s -> 207.00s]  The zoning application mirrors that with an MF4 and a GOMU change.
[207.00s -> 214.00s]  The rest of the covenant is one of those old old Oak Hill restricted covenants you've seen from the 80s that gives you a certain amount of FAR and a lot of impervious cover.
[214.00s -> 219.00s]  And we are seeking to amend that and add some additional restrictions to it.
[219.00s -> 223.00s]  This is when we talk about track 28 that is in the yellow.
[223.00s -> 226.00s]  The flag that you see going to Rialto cross is cracked 33.
[226.00s -> 231.00s]  So when we're talking about the difference in 28 and 33 there you see that.
[231.00s -> 237.00s]  That's just a point somewhere.
[237.00s -> 240.00s]  This is the future land use map for Oak Hill.
[240.00s -> 243.00s]  You can see there that this site is purple in office.
[243.00s -> 250.00s]  Largely because this area is under a 1985 preliminary plan that shows office for this area.
[250.00s -> 254.00s]  Sorry I'm having trouble with this.
[254.00s -> 262.00s]  This breaks down again what we're requesting on the 26.754 acres with a proposed 300 unit multifamily project.
[262.00s -> 266.00s]  As I mentioned earlier the restricted covenant does garner a lot more impervious cover.
[266.00s -> 275.00s]  It's 65% gross for the portion of the property in the Williamson Creek ordinance and 35% gross impervious cover for that portion in the Barton Creek ordinance.
[275.00s -> 279.00s]  Our proposal is to reduce that overall to 28% gross.
[279.00s -> 285.00s]  There's a 2001 settlement agreement that covers this property and basically gives you grandfathering to 1985.
[285.00s -> 293.00s]  We are waiving the majority of that pretty much 99.9% of it and providing current code and SOS water quality.
[293.00s -> 296.00s]  Here's a conceptual plan of the project.
[296.00s -> 299.00s]  As you can see we have the flaglot going out to Rialto.
[299.00s -> 302.00s]  We do have an emergency access drive going to Eiger Road.
[302.00s -> 304.00s]  That portion does not yet exist.
[304.00s -> 307.00s]  We would have to build Eiger Road unless the city allowed us to vacate it.
[307.00s -> 309.00s]  You see the two detention ponds on either end.
[309.00s -> 315.00s]  That's because the water shed split and those are SOS ponds.
[315.00s -> 320.00s]  The zoning change specifically would have an overlay that would limit us to 300 multifamily units.
[320.00s -> 322.00s]  That's 11 units per acre.
[322.00s -> 328.00s]  We would be doing all MF1 regulations with the exception of height which would be 60 feet for MF4.
[328.00s -> 335.00s]  We're limited to 2000 vehicle trips per day and the flaglot is just a driveway so there are no conditions on that.
[335.00s -> 341.00s]  The neighborhood plan amendment is simply to change to allow for office sorry to allow for multifamily and mixed use.
[341.00s -> 345.00s]  I mentioned about the old preliminary plans and that's where it came from.
[345.00s -> 349.00s]  This does promote the neighborhood plan goals in this area.
[349.00s -> 355.00s]  The existing initiative covenant I've told you has the larger amounts of impervious cover as you can see there.
[355.00s -> 361.00s]  The amendment specifically would be to remove that FAR restriction which does not normally apply to multifamily uses
[361.00s -> 369.00s]  and then lower the impervious cover to 28% and then allow for all of the things that were restricting in the 2001 agreement to be removed
[369.00s -> 375.00s]  except for a specific area that would allow for additional cut and fill and construction on slopes which you see here.
[375.00s -> 380.00s]  We worked very long and hard for several months with the city's environmental officer on this project
[380.00s -> 385.00s]  and have agreed to some buffers and other things where we will not be putting impervious cover.
[385.00s -> 389.00s]  We did meet with the Oak Hill neighborhood plan contact team and they are supportive of the project.
[389.00s -> 394.00s]  They came up with a number of conditions and we have added those conditions either to the restrictive covenant amendment
[394.00s -> 400.00s]  or to the zoning ordinance or to a private covenant with one of the neighborhoods in the area which is Oak Park.
[400.00s -> 408.00s]  Specifically we are limiting vehicular access to emergency only until certain traffic improvements are in place onto Eiger Lane.
[408.00s -> 415.00s]  We are also agreeing to make a contribution to increase the capture volume and attention in one of our ponds
[415.00s -> 419.00s]  that's sort of a many regional pond that serves a couple of different tracks.
[419.00s -> 424.00s]  You'll hear a lot tonight from some individuals in the neighborhood area who are very concerned about flooding
