Zoning Case: C14-2010-0087
Meeting Date: 2012-06-28T00:00:00.000
Agenda Item: 128
Source URL: http://austintx.swagit.com/play/45523/0/
================================================================================

[0.00s -> 2.00s]  127
[3.36s -> 9.44s]  Thank You mare and council item number 127 and 128 are related mare if I
[10.28s -> 16.12s]  May I like to present both of them, and then you can take them. I'm sorry you're mumbling here
[16.12s -> 19.72s]  Yeah, I'm sorry mare 127 128 are related items
[20.48s -> 23.28s]  And if I may I could like present both of them
[23.28s -> 25.28s]  Then you can take action individually
[25.48s -> 30.44s]  Item number 127 is case c14 2012 0 0 0 2
[31.08s -> 38.80s]  This is for the the domain property at 10,000 728 to 11,000 3 0 6 and 11,500 to 11,000
[39.32s -> 41.32s]  900 burnout road 3300
[42.12s -> 51.22s]  Westbreaker lane 11,000 105 and 11,400 1 2 11,000 125 domain drive and 2900
[51.76s -> 53.76s]  to 32 10 Esperanza
[54.72s -> 61.20s]  Crossing this is a zoning change request to major industrial plan development or my PDA
[62.04s -> 64.04s]  District zoning to change a condition of zoning
[64.76s -> 71.52s]  It was recommended to you by the planning commission to grant the my PDA zoning with that
[71.92s -> 77.60s]  Change to the condition of zoning item number 128 case c14 2010 0 0 87
[78.32s -> 83.36s]  It has those same addresses and speaks to amending
[83.76s -> 85.76s]  a restricted covenant
[86.56s -> 88.56s]  This covenant would move
[89.20s -> 96.48s]  Basically an acre of zero impervious cover for one portion of a nine-hour nine acre park area
[96.88s -> 99.44s]  To another it was recommended to you by the commission
[101.64s -> 108.32s]  The property itself that we're talking about is approximately a hundred and sixty eight acres of land
[109.04s -> 114.96s]  It is currently developed with a furious mixture of residential office and commercial uses
[119.60s -> 125.04s]  And the park area regarding in the restricted covenant as I said would move
[126.36s -> 128.36s]  the location of a
[129.68s -> 132.32s]  Zero impervious cover area there would be
[133.36s -> 135.36s]  no increase
[135.68s -> 140.32s]  In that amount of impervious cover, but it would be used to
[140.96s -> 143.84s]  Basically offset other areas that they would like to develop
[145.12s -> 147.36s]  I think I'll pause at this time. I know the applicant
[148.72s -> 155.08s]  Agents here and has a presentation and I believe you have at least one person here that would like to
[155.68s -> 157.68s]  Speak to these items as well
[158.32s -> 160.32s]  We'll hear from the applicant
[160.32s -> 162.32s]  I
[163.36s -> 167.20s]  Discussing 127 128 together and you have five minutes
[168.08s -> 174.80s]  Good evening mayor mayor pro tem and council members. I'm michelle housemen representing endeavor real estate group on these two items
[176.32s -> 178.32s]  And as you see here on the
[178.64s -> 186.16s]  Screen the area shaded in blue is the area owned by endeavor real estate group as part of the domain and is the subject of these two cases
[190.32s -> 192.32s]  Thank you
[194.80s -> 196.80s]  The next thank you
[197.20s -> 202.48s]  And this here is the master plan for the domain and it will be developed over time but
[203.28s -> 209.76s]  As the domain develops and phases office multifamily retail, this basically shows their concept
[211.44s -> 215.20s]  And this here is an aerial photograph and as you can see there are labels
[215.84s -> 221.68s]  On the different areas to be developed and you can also see the areas that are currently developed in the domain
[223.68s -> 229.20s]  As mr. Guernsey expressed there are two purposes of the zoning change and the covenant amendment one is a
[229.92s -> 236.48s]  2200 square foot parcel to be used as a cocktail lounge and the second is to relocate the one acre of impervious cover
[238.88s -> 244.72s]  So the relocation of the impervious cover on the next slide you will see the location of it
[246.00s -> 252.96s]  Where um back in 2010 we had a zoning case where there was a chase bank on the simon track which is shaded in yellow
[253.44s -> 255.44s]  that endeavor
[255.44s -> 262.40s]  allocated one acre of impervious cover to that tract and within their park area they left one acre of pervious
[262.80s -> 270.32s]  Area to where um it would not be used for any impervious cover so simon could use that particular piece of impervious cover
[270.96s -> 278.56s]  Next one and you'll see here the existing location of the one acre of impervious cover in the nine acre park area shaded in white
[279.04s -> 284.00s]  The new location is shaded in yellow. So basically it is simply moving this
[284.64s -> 290.00s]  It's exchanging exhibit a in the zoning case in the covenant to move it from the white area to the yellow
[292.48s -> 297.20s]  And here you will see the 2200 square foot location for the cocktail lounge
[297.60s -> 300.96s]  Is actually within the aloft hotel that's an existing structure
[302.48s -> 304.24s]  I can go to the next one
[304.24s -> 310.72s]  Throughout this process we worked very hard with capital metro to come up with an agreement to have access into the domain
[311.36s -> 315.76s]  And that is the route 466 Kramer station the rail connector
[317.36s -> 323.76s]  As you'll see here the dotted lines to the domain is the agreement where the the rail the bus
[324.40s -> 326.40s]  Will be able to go from the rail station
[327.04s -> 331.28s]  Throughout the whole north bernet gateway area and there's one stop on esperanza
[333.44s -> 338.88s]  The route serves the whole north bernet gateway area with the next exhibit you can see shaded
[339.68s -> 343.92s]  That's the neighborhood plan so this 466 connector serves that entire area
[345.76s -> 348.24s]  And the route from the rail station to the domain
[349.12s -> 354.08s]  You'll see here you can see the station a little bit closer up on the
[355.20s -> 360.72s]  Aerial here esperanza is already a constructed street. It has both sidewalks and bus access
[362.32s -> 364.96s]  And that route is to start in august of 2012
[365.76s -> 368.48s]  So that's my presentation. I'm happy to answer questions
[369.28s -> 371.28s]  I
[376.16s -> 380.96s]  Jeff boit. I haven't seen jib sero wackens
[383.28s -> 385.28s]  Jennifer McVeal
[388.08s -> 392.64s]  I am here in opposition representing adaptive texas in opposition to
[393.28s -> 398.16s]  Designing change because I think it's a very bad idea to
[399.84s -> 402.40s]  Give them permission to build a cocktail lounge
[403.36s -> 411.84s]  When currently there is no sidewalk network on the property connecting you from the bus stops to all the shops
[412.88s -> 417.28s]  The last thing that you want to do is mix pedestrians with oncoming traffic
[418.24s -> 422.56s]  Uh, where people could have potentially been drinking on either side of the equation
[423.12s -> 428.72s]  It's right now in broad daylight. It's a risk to your life to go from breaker and bernet to
[429.44s -> 430.80s]  um
[430.80s -> 433.84s]  The property itself because there's shrubs
[434.48s -> 437.60s]  As you enter the property as a pedestrian from the bus stop
[438.08s -> 441.60s]  And I really do appreciate the the plan to put the bus
[442.24s -> 448.00s]  Route in that's something that we wanted and we advocated for it and we appreciate that hard work
[448.56s -> 452.64s]  But that sidewalk network currently doesn't exist those shrubs
[453.44s -> 460.16s]  Block the view of oncoming traffic so they have no idea that a pedestrian and a wheelchair may be coming down that roadway
[460.64s -> 461.44s]  and
[461.44s -> 466.64s]  Several times i've met with officials over at the domain and and had to show them
[467.20s -> 471.20s]  How dangerous it was and had to put my body into oncoming traffic
[471.52s -> 475.04s]  And that's a lot to ask a person to do to go to a mall
[475.44s -> 480.48s]  That's basically what it is a mall with some hotels on it and some fancy stuff
[481.20s -> 483.20s]  Well, I have just as much right
[484.08s -> 487.68s]  To that fancy stuff without having to risk my life as anyone else
[488.80s -> 493.76s]  A lot of times equality in my experience comes down to very simple things
[494.48s -> 496.80s]  This all started about two or three years ago
[498.16s -> 506.72s]  Sarah and I wanted to go to the cupcake festival that they were having to raise donations for child abuse prevention
[507.84s -> 514.72s]  We tried to get to the cup cupcake festival, but were unsuccessful because I was stranded at a bus stop
[515.12s -> 520.88s]  There was no bus stop in that and it was inaccessible the driver who came after the driver who
[521.52s -> 524.32s]  delivered me to the stop
[525.36s -> 527.36s]  refused to pick me up and
[527.36s -> 530.32s]  Put me in the driveway so that I could access the domain
[530.88s -> 532.96s]  Instead she took us
[532.96s -> 540.16s]  Past the freeway and we had to come back on burn that road in oncoming traffic because there's not really a sidewalk network
[541.44s -> 542.96s]  so
[542.96s -> 544.96s]  Once we get there after all that time
[545.44s -> 547.44s]  Most of the festival was done
[547.44s -> 552.24s]  Which meant that we missed a chance to be a part of creating the world's biggest cupcake
[552.96s -> 555.28s]  And being in the Guinness book of world records
[556.00s -> 558.56s]  It meant that most of the festivities were done
[559.44s -> 564.16s]  We got on to the property and we realized that even when we were on the property we had to risk our lives
[565.76s -> 570.08s]  We were like well, let's go to the sleeping room, but we couldn't get there in a safe manner
