Zoning Case: C14-2014-0157
Meeting Date: 2015-04-23T00:00:00.000
Agenda Item: 40
Source URL: http://austintx.swagit.com/play/45675/0/
================================================================================

[0.00s -> 9.00s]  We're on a non-consent agenda. It gets us to item number 40.
[15.00s -> 19.40s]  Mayor Council, I'm Jerry Restover at the Planning and Zoning Department. Item 40 is
[19.40s -> 26.84s]  KC-14, 2014-0157 for the property located at 8528 Bryant Road. This is to
[26.84s -> 30.96s]  approve the ordinance on third reading. On second reading, the Council approved
[30.96s -> 36.76s]  MF6 CO zoning with the following conditional overlays. Limiting the height to 60 feet,
[36.76s -> 41.88s]  limiting the units to 225, limiting the development intensity of no one in
[41.88s -> 48.36s]  two thousand trips a day, and limiting the FAR to 2.1. The case is ready for your
[48.36s -> 53.56s]  approval on third reading. With that, I'm available for any questions.
[54.56s -> 58.56s]  Is there a motion? Mr. Mayor? Mr. Star?
[58.56s -> 67.76s]  We've received some information about a possible project with MF6 CO zoning with a
[67.76s -> 73.00s]  conditional overlay of maximum 300 units and a 2.7 to one floor area ratio with
[73.00s -> 78.04s]  still a maximum of 60 feet high and a 2,000 trips per day limit. So I'd like to
[78.04s -> 81.76s]  move approval of that zoning on third reading.
[82.76s -> 87.56s]  There's been a motion to approve MF6 CO zoning, the conditional overlay of
[87.56s -> 94.08s]  maximum 300 units, 2.7 to one floor area ratio, 60 foot and height, 2,000 day
[94.08s -> 100.72s]  trip limit, and seconded by Mr. Zimmerman. Is there a discussion? Mr.
[100.72s -> 109.12s]  Kasar? Mr. Mayor, I've chewed on this case quite a bit and it's almost humorous
[109.12s -> 113.00s]  to say that it's no secret that our council is still trying to figure out our
[113.00s -> 117.12s]  policy on how it is we manage our growth and where we fit new housing and new
[117.12s -> 122.76s]  people in the city, especially as new residents come in with higher incomes, they
[122.76s -> 127.04s]  tend to push up housing prices and also bring their cars, and I don't think that
[127.04s -> 131.84s]  this zoning case is going to solve those issues, but I'm trying to address this
[131.84s -> 137.44s]  case with those very pressing issues in mind. So I think that this project,
[137.44s -> 143.28s]  especially at the 300 units, but still within 60 feet, first creates
[143.28s -> 147.36s]  multi-family housing in an area that has not had new multi-family housing in
[147.36s -> 152.60s]  quite some time and creates a place for professionals with some income to live so
[152.60s -> 157.44s]  that they don't put demand on existing apartment stock, which I believe increases
[157.44s -> 161.76s]  prices when there's dozens of offers going into older apartments. I don't think
[161.76s -> 166.88s]  that the construction of this project in my view raises prices by its existence.
[166.88s -> 172.28s]  I think having some of the competition amongst landlords will stabilize our prices.
[172.28s -> 181.40s]  And then also, I'm happy to see that there has been a letter about some of the affordable units that would be included in this project.
[181.40s -> 187.32s]  At 15% of the units, that's over 40 units and also at a mix.
[187.32s -> 194.24s]  At the mix committed, it seems that it's almost a $2 million investment over the 10 year period in affordable units.
[194.24s -> 197.56s]  Furthermore, I know that there's real concerns about traffic.
[197.56s -> 205.08s]  I think that it's not realistic necessarily that at the CS zoning we would have the max out level of traffic.
[205.08s -> 213.92s]  But even at a moderate development at CS zoning, it would generate more trips per day than at MF6 with the overlays and the height limit that I've described.
[215.28s -> 220.28s]  I think importantly, I take the neighborhood's concerns very seriously about cut through traffic.
[220.28s -> 223.52s]  It affects my district quite a bit and that's the city's responsibility.
[223.52s -> 228.44s]  I've had a workshop with my constituents about traffic mitigation inside neighborhoods.
[228.44s -> 233.80s]  Our funds for this year have already been fully depleted and I think that's something we need to work on and look at.
[233.80s -> 240.08s]  So I do take the cut through traffic issues seriously, but I also take the traffic issues that are clogging up our major arterial seriously.
[240.08s -> 243.04s]  And Burnet Road does have our bus lines.
[243.04s -> 249.36s]  And so I think that if we're going to be fitting new people somewhere that Burnet Road is one of the better place to do it.
[249.36s -> 252.16s]  This proposal still caps the project that's 60 feet.
[253.16s -> 260.44s]  I think that's an important statement that the neighborhood has made that we want to make sure that as they build out their neighborhood plan.
[260.44s -> 268.28s]  And their plan for this corridor that we not try to set any precedent with buildings higher than 60 feet without having a conversation with them.
[268.28s -> 273.32s]  I have a lot of respect for the active members of the North Shore Creek Neighborhood Association.
[273.32s -> 276.40s]  I've had several conversations with them by phone.
[276.80s -> 280.00s]  I appreciate your commitment to working on the issue.
[280.00s -> 287.80s]  And as you develop your neighborhood plan in this corridor plan, regardless of how the zoning case goes, I'm really committed to working with you all.
[287.80s -> 293.32s]  And I don't think that this one particular case will set that corridor up on its own.
[293.32s -> 296.92s]  I think that whatever we decide together as a community as a council will set that up.
[296.92s -> 303.00s]  So I think that this is the best of the projects that's been presented to me.
[303.00s -> 306.24s]  I have to vote my conscience and my district.
[306.24s -> 313.44s]  And when I've heard from so many people, hundreds and hundreds of people after knocking on thousands of doors personally.
[313.44s -> 322.16s]  That affordability especially in terms of the rent and good transit and good city planning is what I was sent here to work on.
[322.16s -> 325.72s]  And I don't know where I think we're all still figuring this out as we go.
[325.72s -> 329.08s]  But this is my best attempt on this zoning case to meet those values.
[329.08s -> 332.96s]  Ms. Houston.
