Zoning Case: C14-2013-0136
Meeting Date: 2014-04-17T00:00:00.000
Agenda Item: 71
Source URL: http://austintx.swagit.com/play/45620/0/
================================================================================

[0.00s -> 7.56s]  And I'll call back to order the meeting of the Austin City Council and I believe
[9.04s -> 12.64s]  We are now at item number 71
[20.72s -> 24.36s]  Thank you, Marin Council Greg Guernsey with the playing development re-department
[24.72s -> 32.88s]  I don't number 71 is a zoning case case c14 2013 is there a 136 for the property located at
[33.52s -> 35.52s]  32 15 exposition boulevard
[36.00s -> 38.00s]  This is a rezoning request
[38.60s -> 46.08s]  From unzoned and family residents or SF3 district zoning to multi-family residents low density or MF2 district zoning
[46.52s -> 51.60s]  The Planning Commission's recommendation on this particular case was to adopt the staff recommendation
[52.44s -> 54.44s]  which was SF6 CO
[55.52s -> 62.36s]  Combined district zoning for townhouse kind of minimum residents with a conditional overlay that would limit the property to 20 dwelling units
[62.88s -> 64.72s]  that beginning
[64.72s -> 67.48s]  within the 75 feet of the front property line of
[67.92s -> 72.44s]  Exposition boulevard that building heights would be limited to two stories or
[73.72s -> 77.52s]  32 feet in height and development should comply with sub chapter F
[77.92s -> 84.28s]  The sidewall articulation along the western facade of the building and that kind of minimum residential uses are prohibited
[85.52s -> 88.56s]  Third that the construction of a fence is prohibited along
[89.48s -> 95.44s]  the property line adjacent exposition boulevard and that there's a 25 foot wide vegetative buffer
[95.64s -> 105.20s]  be provided maintain along the eastern edge of the sidewalk along exposition boulevard on the property itself is just over two acres in size and
[105.68s -> 107.68s]  and
[107.68s -> 111.80s]  It's surrounded basically by the state Austin State School
[112.36s -> 118.78s]  Originally this property was owned by the state of Texas Austin State School and was auctioned off by them
[119.24s -> 120.64s]  for development
[120.64s -> 122.64s]  the properties that are further to the
[123.56s -> 127.12s]  Would be the west of this property or single-family residences. There's also a
[127.80s -> 133.60s]  religious assembly use the majority of the property and the area is currently zoned
[134.56s -> 136.68s]  SF 2 or SF 3 I
[139.52s -> 146.20s]  Think there are a lot of concerns over the density as this case comes forward as the commission recommended
[146.72s -> 151.04s]  The density comes out to be about nine point one seven units per acre
[151.76s -> 154.32s]  The MF 2 zoning that is sought
[155.12s -> 161.72s]  would allow up to 59 efficiency units to be constructed if you're dealing with only one
[162.72s -> 165.88s]  Bedroom units. It would be approximately 47
[166.76s -> 172.20s]  Units if you had a 5050 mix of one bedroom and two bedroom units it would be about 43
[172.76s -> 181.36s]  Units that could be constructed on on the property just based also only on the limitation that the zoning district has for density
[182.04s -> 184.68s]  If you were to look at it and SF 6 density
[186.36s -> 189.28s]  Disregularly it would be approximately about 27 units
[191.72s -> 196.28s]  I believe you have several speakers this night tonight or this afternoon that would like to
[196.88s -> 200.74s]  Address you and I can pause if you have questions later on
[201.20s -> 205.20s]  There is no petition that has been filed on the property like I said
[205.20s -> 208.56s]  There's only a very small portion of the property
[209.32s -> 211.08s]  That is zoned
[211.08s -> 214.84s]  SF 3 majority the property is still left unzoned
[215.44s -> 217.68s]  From the time that it was owned by the state of Texas
[218.64s -> 220.64s]  All right, any questions of staff?
[220.64s -> 222.64s]  Councilor Morrison
[223.04s -> 225.04s]  Greg could you speak to a
