CASE_NUMBER,Meeting_Date,Agenda_Item,Body,Description,Source,Item_URL
NPA-2019-0027.02,2019-11-14T00:00:00.000,81,Austin City Council,"NPA-2019-0027.02- 2410 Winsted Lane - Conduct a public hearing and approve an ordinance amending Ordinance No. 20100923-102, the Central West Austin Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 2401 Winsted Lane (Johnson Creek Watershed) from Single Family to Neighborhood Mixed land use. Staff recommendation and Planning Commission recommendation: To grant Neighborhood Mixed Use land use. Owner/Applicant: David Kanne, Lincoln Ventures LLC. Agent: Drenner Group (Amanda Swor). City Staff: Kathleen Fox, (512) 974-7877). District(s) Affected: District 10.",akgy-tbxy,http://austintexas.gov/department/city-council/2019/20191114-REG.htm#081
NPA-2019-0027.02,2019-10-17T00:00:00.000,61,Austin City Council,"NPA-2019-0027.02- 2410 Winsted Lane - Conduct a public hearing and approve an ordinance amending Ordinance No. 20100923-102 the Central West Austin Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 2401 Winsted Lane (Johnson Creek Watershed) from Single Family to Neighborhood Mixed land use. Staff recommendation: To grant Neighborhood Mixed Use land use. Planning Commission recommendation: To be reviewed on October 8, 2019. Owner/Applicant: David Kanne, Lincoln Ventures LLC. Agent: Drenner Group (Amanda Swor). City Staff: Kathleen Fox, (512) 974-7877).",akgy-tbxy,http://austintexas.gov/department/city-council/2019/20191017-REG.htm#061
NPA-2019-0027.02,2019-09-19T00:00:00.000,129,Austin City Council,"NPA-2019-0027.02- 2410 Winsted Lane - Conduct a public hearing and approve an ordinance amending Ordinance No. 20100923-102 the Central West Austin Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 2401 Winsted Lane (Johnson Creek Watershed) from Single Family to Neighborhood Mixed land use. Staff recommendation: To grant Neighborhood Mixed Use land use. Planning Commission recommendation: To be reviewed on September 24, 2019. Owner/Applicant: David Kanne, Lincoln Ventures LLC. Agent: Drenner Group (Amanda Swor). City Staff: Kathleen Fox, (512) 974-7877). District(s) Affected: District 10.",akgy-tbxy,http://austintexas.gov/department/city-council/2019/20190919-REG.htm#129
NPA-2019-0027.02,2019-12-05T00:00:00.000,87,Austin City Council,"NPA-2019-0027.02- 2410 Winsted Lane - Conduct a public hearing and approve an ordinance amending Ordinance No. 20100923-102, the Central West Austin Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 2401 Winsted Lane (Johnson Creek Watershed) from Single Family to Neighborhood Mixed land use. Staff recommendation and Planning Commission recommendation: To grant Neighborhood Mixed Use land use. Owner/Applicant: David Kanne, Lincoln Ventures LLC. Agent: Drenner Group (Amanda Swor). City Staff: Kathleen Fox, (512) 974-7877). District(s) Affected: District 10.",akgy-tbxy,http://austintexas.gov/department/city-council/2019/20191205-REG.htm#087
NPA-2018-0007.01,2018-06-14T00:00:00.000,101,Austin City Council,"NPA-2018-0007.01 - Mechanic Shop - District 4 - Conduct a public hearing and approve an ordinance amending Ordinance No. 000629-106, the North Austin Civic Association Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known 10809 Newmont Road (Little Walnut Creek Watershed) from Single Family to Mixed Use land use. Staff recommendation: To grant Mixed Use land use. Planning Commission recommendation: To grant Mixed Use land use. Owner/Applicant: Tuan Huynh. Agent: Bang Huynh. City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 4.",akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180614-REG.htm#101
NPA-2018-0023.01,2018-11-15T00:00:00.000,58,Austin City Council,"NPA-2018-0023.01 -Berkman Terraces -Conduct a public hearing and approve an ordinance amending Ordinance No. 20070809-55, the University Hills/Windsor Park Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 6203, 6205, 6207 Berkman Drive & 6210 Hickman Avenue (Fort Branch Watershed) from Higher Density Single Family to Mixed Use land use. Staff recommendation: To approve an alternative recommendation of Neighborhood Mixed Use land use. Planning Commission Recommendation: To grant Mixed Use land use. Owner/Applicant: Berkman Terraces, LLC (Pierre Fay, Manager). Agent: Keepers Consulting (Ricca Keepers). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2018/20181115-REG.htm#058
NPA-2018-0023.01,2018-12-13T00:00:00.000,61,Austin City Council,"NPA-2018-0023.01 -Berkman Terraces - Approve second and third readings of an ordinance amending Ordinance No. 20070809-055, the University Hills/Windsor Park Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 6203, 6205, 6207 Berkman Drive & 6210 Hickman Avenue (Fort Branch Watershed) from Higher Density Single Family to Mixed Use land use. First reading approved on November 15, 2018. Vote: 11-0. Owner/Applicant: Berkman Terraces, LLC (Pierre Fay). Agents: McLean & Howard, LLP (Jeffrey S. Howard) and Keepers Consulting (Ricca Keepers). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2018/20181213-REG.htm#061
NPA-2018-0023.01,2018-11-29T00:00:00.000,51,Austin City Council,"NPA-2018-0023.01 -Berkman Terraces - Approve second and third readings of an ordinance amending Ordinance No. 20070809-055, the University Hills/Windsor Park Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 6203, 6205, 6207 Berkman Drive & 6210 Hickman Avenue (Fort Branch Watershed) from Higher Density Single Family to Mixed Use land use. First reading approved on November 15, 2018. Vote: 11-0. Owner/Applicant: Berkman Terraces, LLC (Pierre Fay). Agents: McLean & Howard, LLP (Jeffrey S. Howard) and Keepers Consulting (Ricca Keepers). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2018/20181129-REG.htm#051
NPA-2018-0016.02,2018-10-18T00:00:00.000,52,Austin City Council,"NPA-2018-0016.02 -PAZ Veterinary - District 3 -Conduct a public hearing and approve an ordinance amending Ordinance No. 030327-12, the Govalle/Johnston Terrace Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 3300 East 7th Street (Boggy Creek Watershed) from Office to Commercial land use. Staff recommendation: To grant Commercial land use. Planning Commission recommendation: To be reviewed on October 9, 2018. Owner/Applicant: 3301 Gonzales, LLC (Thomas Joseph). Agent: Alice Glasco Consulting (Alice Glasco). City Staff: Maureen Meredith, (512) 974-2695 NPA-2018-0016.02 -PAZ Veterinary - District 3 -Conduct a public hearing and approve an ordinance amending Ordinance No. 030327-12, the Govalle/Johnston Terrace Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 3300 East 7th Street (Boggy Creek Watershed) from Office to Commercial land use. Staff recommendation: To grant Commercial land use. Planning Commission recommendation: To be reviewed on October 9, 2018. Owner/Applicant: 3301 Gonzales, LLC (Thomas Joseph). Agent: Alice Glasco Consulting (Alice Glasco). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 3.",akgy-tbxy,http://austintexas.gov/department/city-council/2018/20181018-REG.htm#052
NPA-2018-0016.02,2018-11-01T00:00:00.000,53,Austin City Council,"NPA-2018-0016.02 -PAZ Veterinary-Conduct a public hearing and approve an ordinance amending Ordinance No. 030327-12, the Govalle/Johnston Terrace Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 3300 East 7th Street and 3311 Gonzalez Street (Boggy Creek Watershed) from Office to Commercial land use. Staff recommendation: To grant Commercial land use. Planning Commission recommendation: To grant Commercial land use. Owner/Applicant: 3301 Gonzales, LLC (Thomas Joseph). Agent: Alice Glasco Consulting (Alice Glasco). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 3.",akgy-tbxy,http://austintexas.gov/department/city-council/2018/20181101-REG.htm#053
