Zoning Case: C14-2012-0023
Meeting Date: 2012-06-28T00:00:00.000
Agenda Item: 119
Source URL: http://austintx.swagit.com/play/45523/0/
================================================================================

[0.00s -> 6.84s]  Let's go to item 118.
[6.84s -> 9.04s]  Thank you, Mayor and Council.
[9.04s -> 12.60s]  Item 118 and 119 are related items.
[12.60s -> 16.60s]  I can present both of them again in a matter of.
[16.60s -> 17.60s]  Was in the.
[17.60s -> 18.60s]  Okay.
[18.60s -> 19.60s]  Thank you, Mayor.
[19.60s -> 28.12s]  Item 118 is case MPA 2012, 0026.01 for the property located at 601 West Applegate Drive.
[28.12s -> 38.12s]  This is a change to the North Lamar combined neighbor plan, the future land use map to designate the property to mixed use.
[38.12s -> 44.04s]  The plan concern recommendation was to deny the mixed use designation on this property.
[44.04s -> 50.60s]  The related zoning case is item 119, case C14 2012, 0023.
[50.60s -> 54.80s]  Again for the property located at 601 West Applegate Drive.
[54.80s -> 62.64s]  This is a request to zone the property community commercial mixed use neighbor plan or GRMU MP.
[62.64s -> 71.32s]  Combined district zoning, the planning commission's recommendation was to deny the request for GRMU MP combined district zoning.
[71.32s -> 79.04s]  The property itself is about .78 acres of land.
[79.04s -> 86.24s]  It's located along West Applegate Drive, the properties to the North and to the East are sink family residential.
[86.24s -> 91.56s]  Further to the South, it's multifamily and to the West are more commercial uses in nature.
[92.96s -> 99.04s]  The area was subject to a neighbor plan that was adopted around June 2010.
[99.04s -> 105.12s]  That gave the current designation of mixed use office to this property.
[105.12s -> 115.24s]  That designation was looked as a transition from the more intensive commercial uses to the West to the more restricted uses or
[115.24s -> 120.12s]  less intense uses of single family to the North and to the East.
[121.32s -> 127.08s]  The property is used right now as an automobile repair business and
[127.08s -> 133.88s]  the property owner is seeking the zoning change to bring the property into conformance with zoning regulations and
[133.88s -> 143.52s]  also to change the the flume to make sure that the mixed use designation would provide for that zoning change.
[147.76s -> 149.56s]  I think I can pause right there.
[150.80s -> 158.44s]  If you have any questions, I know I think it's Mr. Landrum is here to hear from the agent five minutes.
[159.52s -> 162.40s]  And he can speak to the more particulars about his property.
[164.12s -> 168.52s]  Brett, you have up to five minutes.
[173.12s -> 174.36s]  I'm Catas Landrum.
[176.92s -> 184.48s]  And I apologize for interrupting while ago when I had asked for a postponement and
[184.48s -> 192.20s]  then the change from my reason I'd asked for a postponement we had been told by the Maureen Mary is that the
[193.16s -> 195.24s]  city that we could canvas the neighborhood.
[197.28s -> 206.96s]  This area is a heavy Hispanic, heavy percentage of Hispanics and many people in the area can't speak English,
[206.96s -> 208.16s]  not can speak in Spanish.
[208.76s -> 219.88s]  So I have a young lady named Gia Vanna who was a bilingual and I asked her to go out on Sunday and canvas area because most of the people are home on Sunday.
[220.88s -> 229.04s]  However, when she attempted to contact the people, she was confronted by Mona and old who lives at 600 West
[229.04s -> 233.60s]  congregate and she told Gia Vanna that she's going to call the police on her.
[234.44s -> 236.72s]  Well, and she did call the police.
[238.64s -> 242.96s]  Gia Vanna's young and Hispanic and was very intimidating.
[242.96s -> 248.28s]  So she just called me and said, I don't want to do this.
[248.32s -> 253.04s]  And I said, what we're doing is legal and we're allowed to canvas area and she said, you have it.
[253.92s -> 258.24s]  They're going, she's calling police and she said, I'm, I'm scared and I just don't want to do that.
[261.56s -> 266.72s]  Ray and I asked for the postponement was so that we could have a little more time to contact people there.
[266.72s -> 273.36s]  So we just got busy on Monday and Tuesday and Wednesday and we were able to contact.
[273.36s -> 283.96s]  We got 82 signatures here for zoning change.
[285.12s -> 290.08s]  There's a probably a couple here who would submit this to you.
[290.08s -> 310.68s]  At the time I met with the commission, we did not have those signatures and if it would be a benefit,
[310.68s -> 314.80s]  I'd get a lot more because the people in the area are okay with this.
[315.32s -> 325.96s]  I purchased this property in 1992 and at that time it was being used for an automotive body shop and repair shop.
[325.96s -> 335.32s]  And had been since 1981 and probably before that, I don't know, don't know any history before 1981.
[336.32s -> 352.24s]  After the people that I was renting it to at that time left, I rented to George Milhahn who had big a towing service for several years and when he left I rented to Alex
[352.24s -> 368.84s]  hertato who is a Hispanic and it had been used for that purpose ever since.
[368.84s -> 378.48s]  There was seven Hispanic guys working back there when I was forced to close this down with Lee, all lost their job.
[383.24s -> 400.24s]  Last year, due to a weak economy and I have a use call out here on North Lamar, this is North Lamar and this is West Albuquerque and I'll show you some of this to be.
[400.24s -> 412.20s]  It was necessary for me to take out a size of a loan in my bank where I live in Goathway, Texas and I was hoping for the income of this property to help pay off that.
[412.24s -> 420.24s]  I was getting $2,600 a month rent out of this property.
[420.24s -> 429.24s]  Of course, the people who are opposing this resounding request have no investment whatsoever.
[430.24s -> 441.24s]  The loss of the income is nothing, no problem for them and I have a size of investment.
[441.24s -> 449.24s]  The last four months that I've not reflected in rent out, it cost me $10,400 which is about $31,000 a year.
[449.24s -> 458.24s]  The problem with the resounding request is that people that this part are not going to come to this meeting, they're not going to send in those questionnaires.
[458.24s -> 460.24s]  Are you four or not?
[460.24s -> 466.24s]  So the only people you hear from is the one that's in opposition to it.
[466.24s -> 474.24s]  In 2006, the City Council granted the CRCO zoning on this property.
[474.24s -> 480.24s]  Now these numbers don't mean a heck of a lot to be because we don't have zoning in Goathway.
[480.24s -> 481.24s]  Okay, that's your time.
[481.24s -> 482.24s]  Sorry?
[482.24s -> 483.24s]  Your time is expired.
[483.24s -> 484.24s]  It's expired?
[484.24s -> 487.24s]  It's expired, yes, sir.
[487.24s -> 492.24s]  Giovanni Sisneros could donate three minutes to you.
[492.24s -> 494.24s]  She had to leave.
[494.24s -> 495.24s]  She could stay any longer.
[495.24s -> 496.24s]  She can't donate.
[496.24s -> 498.24s]  That's all the time you have.
[498.24s -> 501.24s]  I'm sure we'd like to continue over here.
[501.24s -> 505.24s]  You'll have an opportunity for a battle.
[505.24s -> 508.24s]  Lynn Galbraith.
[508.24s -> 510.24s]  All right.
[511.24s -> 513.24s]  Mona Knoll here.
[513.24s -> 516.24s]  And Lisa Garner.
[516.24s -> 520.24s]  So you have up to nine minutes.
[520.24s -> 522.24s]  Thank you.
[522.24s -> 525.24s]  I'm representing the position of the contact team for the neighborhood.
[525.24s -> 528.24s]  They asked me to come speak to you.
