Zoning Case: C14-2014-0036
Meeting Date: 2014-10-16T00:00:00.000
Agenda Item: 52
Source URL: http://austintx.swagit.com/play/45643/0/
================================================================================

[0.00s -> 5.62s]  So that brings us to items. We'll consider 51 and 52 together
[8.88s -> 10.88s]  There council jury rest over again
[13.04s -> 20.44s]  Say Clark will emerge those lists please or make sure I'll work from 51 and make sure they're all included
[21.32s -> 25.24s]  51 is case NPA 2014 0 0 1 17 0 1
[25.44s -> 27.80s]  The Korean United Presbyterian Church Flem
[28.80s -> 29.92s]  Located at
[29.92s -> 32.20s]  2000 Justin Lane in 2009 Colin Lane
[32.20s -> 39.94s]  It is a request to change the future land use map from civic land use and multi-family land use to mixed use and office land use
[40.16s -> 46.78s]  The Planning Commission recommendation was to grant mixed use office land use the related zoning case item 52 is case
[46.78s -> 51.96s]  C14 2014 0 0 36 also the Korean United Presbyterian Church
[52.60s -> 58.20s]  Resoning also located 2000 Justin Lane 2009 Colin Lane. This is about a 2.3 acre tract
[58.90s -> 65.40s]  The agents were on thrower the existing zoning is SF 3 and P L O N P and M F 3 and P
[66.04s -> 71.56s]  Requested zoning is G O M U N P the staff recommendation was to grant L O
[72.12s -> 78.44s]  M U N P with a conditional overlay limiting the trips to no more than 2,000 day with a public restricted covenant
[78.44s -> 84.08s]  Limiting it to the conditions that we're in the neighborhood traffic analysis and with the requirement for the dedication of right away
[84.08s -> 85.60s]  along Justin Lane
[85.60s -> 88.08s]  There is a valve petition of 28.74%
[89.00s -> 95.36s]  Against this case the Planning Commission recommendation was to grant the L O M U N
[95.64s -> 104.32s]  P as recommended by the staff as opposed to the applicants request the applicant has amended his request from the original
[105.08s -> 107.72s]  flat out G O M U C O
[108.68s -> 110.68s]  Now the applicant is requesting
[111.52s -> 118.12s]  Still G O M U C O but with the following conditions that the site would be L O site development
[118.28s -> 122.80s]  regulations and uses with the exception of building coverage and impervious cover
[123.40s -> 127.20s]  Would limit trips to 1,110 trips per day
[127.68s -> 132.96s]  We'll limit the height to 30 feet for the entire site except an area of about 10,000 square feet
[133.16s -> 135.16s]  Which would be limited to 40 feet in height
[135.24s -> 142.92s]  But the height for habitable buildings would be limited to two stories except for that 10,000 square foot area of 40 feet
[143.24s -> 151.00s]  The medical offices would be prohibited and that there be residential uses facing Cullen and half a Hardy Lane
[151.76s -> 154.44s]  The reason for the staff recommendation to recommend the
[155.64s -> 161.08s]  The increase in zoning but not all the way up to L O was because we feel that between
[161.08s -> 167.80s]  Up to Hardy Lane, basically if you if you look at the map, I can put up
[168.96s -> 170.96s]  an area that I gave to the
[172.04s -> 177.88s]  Personally, okay, I'm sorry the things not working but within the backup and I believe you'll see in mr. Throwers
[178.48s -> 180.48s]  PowerPoint presentation that
[181.00s -> 183.00s]  Basically the commercial zoning
[183.96s -> 192.08s]  It was confined to an area and appears to the staff that Hardy Lane would be a dividing line between the residential and other areas of commercial
[192.08s -> 194.16s]  Multi-family zoning
[194.16s -> 200.28s]  This property was zone SF3 because it was a church and multi-family we feel that an up zoning is appropriate
[200.28s -> 204.72s]  We just connect it to to G.O. So with that I'm available for any questions
[209.00s -> 212.04s]  Apparently noon we're here from the applicant
[213.00s -> 222.24s]  So you you have five minutes if you need additional time you have
[223.08s -> 225.08s]  Someone donating three minutes to you
[225.72s -> 227.72s]  Okay
[228.12s -> 230.12s]  So set for eight minutes
[231.96s -> 238.32s]  I'm sorry am I up for five or three eight eight okay. Thank you. I don't think I'll need eight, but here we go
[239.48s -> 241.32s]  Ron Thrower
[241.36s -> 247.08s]  Representing the agent for the applicant in this case again as Jerry pointed out the property is owned
[247.60s -> 254.24s]  Hello for about 1.03 1.003 acres SF3 for the same size
[254.24s -> 256.92s]  And then there's a small track that zone MF3
[257.44s -> 259.88s]  This is a diagram of the existing zoning map
[259.88s -> 264.84s]  There's the property that's outlined and the commercial properties are all shown in red the
[265.48s -> 271.20s]  Blue shows the office properties and the multi-family what is owned multi-family today is shown
[271.32s -> 278.24s]  Orange and then single family on our property is the small corner the 1 acre at the corner and we were asking for that to go to
[279.00s -> 281.00s]  L office mixed use with L.O. Zone
[282.16s -> 287.04s]  So with this let's look at the parameters for for the development L.O. allows for 40 feet
[287.04s -> 290.96s]  We've a G.O. Does allow for 60. We've never said we're gonna do 60
[291.08s -> 296.40s]  We're only doing a 40-foot building maximum and that's only for the small piece on the far western side
[296.60s -> 301.16s]  The setbacks along the front we're gonna abide by the L.O. Setbacks the building coverage
[301.24s -> 305.60s]  We're asking for a little bit more building coverage equal to the G.O. impervious coverage
[305.60s -> 311.72s]  We're asking for increase and impervious coverage to the G.O. standards and the F.A.R. the point seven to one
[312.40s -> 314.40s]  Versus one to one F.A.R.
[314.72s -> 324.00s]  We're we're asking for the L.O. F.A.R. on this property and so again the only two parameters under G.O. That we're asking for is building coverage and impervious coverage
[324.64s -> 328.20s]  The development potential of the property under the existing zoning
[329.20s -> 334.76s]  You're looking at a property that could generate thirteen hundred and eighty eight vehicle trips today and
[335.04s -> 341.44s]  With that comes eight driveways out to Cullen and Hardy and the height can be 40 feet on the L.O. Property today
[341.96s -> 348.28s]  32 feet on the SF 3 property and 40 feet on the MF property under what we're proposing with the G.O. Zoney
[348.28s -> 351.16s]  We're reducing the number of trips that could be potentially
[351.80s -> 357.80s]  Placed onto the property to eleven hundred and ten we're only asking for two driveways instead of eight on to Cullen and Hardy
[358.20s -> 364.92s]  And then there's the parameters that we're going to talk about for the conditions about the two-story office building with a small area of three story
[364.92s -> 369.44s]  And so what that looks like on this plan here here is what's allowed 40 feet today
[369.68s -> 374.90s]  Here's 40 feet. That's allowed by zoning today, and here's what's allowed 32 feet today
[375.40s -> 383.20s]  That's the SF 3 portion and so what we are asking for and again the eight driveways and the thirteen hundred and eighty eight trips
[383.32s -> 387.92s]  What we're asking for is that much of the property to be zoned to allow 40 feet
[388.20s -> 390.72s]  That much to be down to 30 feet
[390.72s -> 398.04s]  Which is less than what's allowed under the existing zone and with that two driveways and limiting the trips to eleven hundred and ten vehicle trips
[399.36s -> 403.76s]  The conditions Jerry has gone through I'm not going to go through them in detail again
[403.76s -> 407.68s]  But I do think it's important under item E that we are prohibiting medical office use
[408.00s -> 410.52s]  Medical office use is a huge traffic generator
[410.68s -> 416.92s]  this building is only going to be professional office or administrative and business office and the
[418.68s -> 423.72s]  The last diagram shows the proposed plan of what we're seeking at this time and
[424.80s -> 431.92s]  We have an office building that is oriented towards the the other office zoning located at the Justin Hardy corner
[431.92s -> 435.64s]  And we have multi-family hiding the garage
[436.32s -> 442.44s]  The garage is going to be a three-level structure and the multi-family completely would hide the garage at that intersection
[442.44s -> 449.72s]  And we have multi-family across from multi-family zoning and again, we would support our requests your support for our requests
[451.08s -> 453.08s]  Available if you have any questions
[453.44s -> 455.44s]  Mayor I just have one question
[455.44s -> 460.04s]  That's from Mr. Thrower. This appears as though this proposal is
[460.44s -> 464.80s]  Significantly different from a proposal that you showed me in my office a few weeks ago and
[465.24s -> 471.76s]  Significantly different from what the planning Commission saw what if you could point out the important differences between this and what the planning Commission looked at
[472.44s -> 479.60s]  The primary difference is the adding of the multi-family to soften up the edge of the parking structure and and putting light uses
[480.00s -> 482.92s]  Across the street from lights uses or light zoning
[483.60s -> 485.00s]  and
[485.00s -> 486.52s]  With that we've also
[486.52s -> 493.20s]  Reduced the size of the building the office building and reduce the size of the third-story component of the office building
[494.84s -> 499.72s]  That third that third story in the office building hasn't been set well back from the street
[499.96s -> 504.00s]  So that it is furthest away from the street about how many feet from the street is that?
[505.72s -> 511.60s]  I'm gonna guess it to be about 120 feet away. That'd be about right. Thank you
[515.08s -> 518.28s]  Okay, good speakers in favor David con
[522.40s -> 527.72s]  Is Andrea couple of wits here Andrea
