Zoning Case: C14H-2018-0014
Meeting Date: 2018-04-12T00:00:00.000
Agenda Item: 50
Source URL: http://austintx.swagit.com/play/45760/0/
================================================================================

[0.00s -> 1.80s]  Zoning consent agenda, please.
[3.72s -> 4.72s]  Thank you.
[4.72s -> 6.56s]  Greg Ramsey planning and zoning.
[6.56s -> 9.16s]  The first time I'd like to offer for consent
[9.16s -> 10.96s]  is under two o'clock agenda.
[10.96s -> 15.96s]  Item number 33, this is the case, NPA 2016, 0016.01.
[18.24s -> 20.80s]  Council member Arunteria actually had mentioned
[20.80s -> 21.80s]  possibly a postponement.
[21.80s -> 24.64s]  We received one from the applicant
[24.64s -> 27.28s]  for a postponement request to May 10th.
[27.28s -> 29.44s]  So it's a postponement applicant.
[29.44s -> 32.52s]  On item number 33 to May 10th, the related item,
[32.52s -> 37.52s]  zoning item, item number 34, case C14 2016, 0079,
[37.80s -> 41.08s]  be an applicant request for postponement to May 10th.
[42.68s -> 47.68s]  Item number 35, this case C14 2017 0116,
[48.76s -> 51.68s]  the applicant has requested indefinite postponement
[51.68s -> 53.36s]  of this case.
[53.36s -> 55.04s]  If this case were to come back,
[55.04s -> 57.36s]  the applicant would have to repay notification fees
[57.36s -> 59.56s]  and we would reschedule it at a later day.
[60.68s -> 65.68s]  Item number 36, this is case C14 2017 0141.
[66.16s -> 68.76s]  This is for consent approval in all three readings.
[68.76s -> 70.68s]  I'll note there's a revised ordinance
[70.68s -> 74.64s]  denoting the MF4CO zoning on this property.
[75.72s -> 80.72s]  Item number 37, this is case C14 2017 0051.
[81.00s -> 83.60s]  This case has been withdrawn by the applicant.
[83.60s -> 86.68s]  No action is required on item number 37.
[87.68s -> 92.68s]  Item number 38, this is case C14 2016 0136.
[93.28s -> 96.28s]  This is ready for consent approval on first reading only.
[96.28s -> 98.92s]  We noted at the work session that
[98.92s -> 101.20s]  and the applicant's agent was present
[101.20s -> 103.68s]  that they would like to leave the public hearing open
[103.68s -> 104.52s]  for this case.
[104.52s -> 107.32s]  So item number 38 is for consent approval
[107.32s -> 110.04s]  on first reading only, but noting that the public hearing
[110.04s -> 112.20s]  will remain open for second and third readings.
[113.56s -> 116.60s]  Item number 39, we have three speakers
[116.64s -> 118.36s]  that have signed up and I was told
[118.36s -> 120.84s]  that there's a possibility they have agreed
[120.84s -> 125.84s]  to a postponement to April 26th,
[126.32s -> 127.64s]  which is our next meeting.
[129.56s -> 134.64s]  So we could offer 39 for a postponement request
[134.64s -> 139.64s]  by I assume adjacent neighbors on item 39
[140.48s -> 142.88s]  to postponement to 426 and we could still offer
[142.88s -> 143.88s]  that for consent.
[144.88s -> 146.16s]  Item number 40.
[148.32s -> 153.00s]  Item 39 was case C14 2017 0123.
[153.00s -> 157.04s]  Item number 40 is case C14 2018 006.
[158.20s -> 161.60s]  This is council member Houston had mentioned
[161.60s -> 165.12s]  that she liked to have a council postponement on this item
[165.12s -> 168.36s]  as well as all the related restrictive item
[168.36s -> 169.88s]  restricted covenant items,
[169.88s -> 172.80s]  both amendments and termination that are related to 40
[172.80s -> 176.00s]  to a postponement to your next meeting at 426.
[176.00s -> 179.32s]  Item number 41 is related to that item.
[179.32s -> 182.32s]  And this case C14 75 042,
[182.32s -> 185.64s]  so it's a postponement by council to 426.
[185.64s -> 189.12s]  Item number 42, case C14 75 042.
