Zoning Case: C14-2014-0027
Meeting Date: 2014-11-20T00:00:00.000
Agenda Item: 161
Source URL: http://austintx.swagit.com/play/45649/0/
================================================================================

[0.00s -> 5.38s]  All right, 161.
[5.38s -> 7.78s]  Greg Grenzi, Planning and Development and Read Department.
[7.78s -> 14.52s]  Item 161 is KC14, 2014, 0027, for the property located at 6308.
[14.52s -> 20.00s]  Spicewood Springs Road, it's the property known as ACE discount glass.
[20.00s -> 26.00s]  This is a zoning change request to two different districts from its current interim RR designation.
[26.00s -> 33.12s]  The first tract is to CSMU, and that would be for approximately 2.5 acres of land.
[33.12s -> 38.64s]  And the second is for CR zoning for about five acres of land.
[38.64s -> 44.60s]  The property currently is developed with a auto recycling business and a glass business.
[44.60s -> 53.88s]  They also recycle a glass on the property prior to annexation into the city of Austin.
[53.88s -> 59.04s]  They did receive approval for a site plan, for a kennel, and
[59.04s -> 63.92s]  a multi-story convenience storage use.
[63.92s -> 70.20s]  And even without the zoning change, they do have the right under state law,
[70.20s -> 74.00s]  state annexation law to go forward with the construction of that project.
[75.56s -> 81.52s]  The staff did not recommend the rezoning request because of the proximity of
[81.84s -> 87.48s]  residential zoning and uses that are in the immediate area to the north and to the east.
[87.48s -> 95.36s]  And the proximity of the creeks and lesser residential zoning further to the west.
[95.36s -> 100.92s]  The staff came back, recommended the townhouse kind of minimum residence or SF6CO
[100.92s -> 104.76s]  combined district zoning with a triple imitation of 2000.
[105.72s -> 114.00s]  The zoning and planning commission unanimously recommended the staff recommendation on the property.
[114.00s -> 121.16s]  I would note that there are adjacent property owners that didn't come to the hearing and
[121.16s -> 126.80s]  voice concern over the commercial zoning that was proposed by the applicant.
[129.44s -> 134.00s]  Given the lateness out of this tower, I'll think I'll pause if you have any questions.
[134.00s -> 139.44s]  I know that there's at least one individual here, I think, from the neighborhood that would like to speak to this item.
[141.16s -> 144.80s]  We have a presentation by the applicant.
[144.80s -> 150.32s]  I'm not quite sure if the applicant, Mr. Stephen Inan, is here.
[154.92s -> 158.76s]  I don't see the applicant in the audience, but I know that's only from the neighborhood someone's here.
[159.76s -> 169.08s]  Okay, so there's no presentation from the applicant and no one signed up in favor, so we'll go to those signed up against.
[169.08s -> 171.68s]  And that is one person, Peter Targumson.
[175.84s -> 178.56s]  And I believe this is ready for first reading only.
[180.16s -> 182.32s]  That's correct, Mayor. This is only ready for first reading.
[182.32s -> 183.32s]  Okay.
[183.32s -> 185.76s]  Hello, my name is Peter Targumson.
[185.84s -> 191.68s]  I live in the general neighborhood of this property, and I'm very familiar with the property, I've been driven past it many times.
[194.36s -> 197.84s]  I'm speaking in support of residential zoning for this property.
[197.84s -> 202.48s]  The staff recommendation is for SF-60, most dense residential zoning.
[202.48s -> 210.92s]  The surrounding properties are all zoned SF-2, and the lower level of residential zoning than SF-6 would be desirable in my mind and appropriate.
[210.92s -> 215.24s]  But the staff is recommended SF-6, and I'm fine with that.
[216.44s -> 223.08s]  I view it as a real gift to the property owner to have this much more dense residential zoning, but it is residential zoning.
[224.28s -> 228.72s]  CS zoning, which is what first attracted my attention to this property,
[228.72s -> 235.16s]  is completely inappropriate to this property, as is any residential or retail type zoning.
[235.16s -> 239.72s]  It's completely surrounded by SF-2 or less dense properties, some of which are in the county.
[240.44s -> 246.04s]  There's basically an industrial kind of use on the property at the current time.
[246.04s -> 249.44s]  It's really an unfortunate situation.
[249.44s -> 257.32s]  This property is immediately adjacent to Bull Creek, and the long dimension of the property is along Bull Creek.
[257.32s -> 261.32s]  Terrible environmental situation.
[261.32s -> 268.52s]  Bull Creek is one of the few relatively on damaged creeks we have in the territory.
[269.00s -> 272.40s]  It's a particular jewel for those of us living in Northwest Austin.
[272.40s -> 282.20s]  I would really hate to see anything happen to that, and we're sitting on a continual liability with the current use of the property.
[285.04s -> 290.52s]  This is the county property which was built out in the middle of nowhere in the beginning, and when you're out in the middle of nowhere,
[290.52s -> 292.76s]  nobody really cares what you do with your property.
[293.64s -> 299.28s]  When you come into the city, though, you have rules, and you have neighbors, and you still have the right to do things with your property,
[299.28s -> 304.48s]  but not to the extent that it infringes on the neighbor's rights to do things with their property.
[307.72s -> 317.96s]  The owner has some real resistance to this idea, but my observation is that a situation like that that we have seen in this part of town elsewhere
[318.00s -> 326.00s]  is that there's a lot more restrictions, but the property is typically worth a lot more than it was when it was out in the county,
[326.00s -> 328.20s]  and I believe that's a situation here.
[328.20s -> 336.88s]  This is the property the owner is not currently oriented toward residential use, but it is a property that has a large creek frontage.
[336.88s -> 342.96s]  It's got a lot of special situations I recommended for a pretty nice development, in my opinion,
[342.96s -> 348.48s]  and I see no reason why there should be any more intense development than SF-6,
[348.48s -> 354.12s]  so I urge you to vote for the staff recommendation and the staff recommendation for SF-6.
[354.12s -> 354.68s]  Thank you.
[354.68s -> 356.12s]  Thank you.
[356.12s -> 361.12s]  Those are all the speakers that we have, and there's no one here from the applicant's site for rebuttal.
[362.76s -> 365.60s]  So I'll just ask one question.
[365.60s -> 372.44s]  I think I remember this property is the use that if the property is resold,
[372.44s -> 375.76s]  the existing use would continue, is that correct?
[375.76s -> 388.52s]  Mayor, that is correct, under our regulations that we have, after a period of 10 years,
[388.52s -> 394.40s]  that we might have to cease because of our non-conforming use regulation because of the single family zoning on the property.
[394.40s -> 402.40s]  But as I said before, they do have a valid site plan that was approved in the county to build a kennel
[402.40s -> 411.96s]  and a convenient storage facility where you would see on the property of the existing auto salvage yard.
[411.96s -> 419.12s]  So regardless of our non-conforming use regulations and regardless of your actions tonight,
[419.12s -> 423.56s]  they would still have the ability to construct that use.
[423.56s -> 427.32s]  Okay, but your recommendation is SF-6CO.
[427.32s -> 428.40s]  That's correct.
[428.40s -> 431.40s]  Okay.
[431.40s -> 433.32s]  Councillor Spubble.
[433.32s -> 437.88s]  Greg, is there any difference between your recommendation and the zoning and planning commission's recommendation?
[437.88s -> 443.96s]  No, the zoning and planning commission recommendation, they actually adopt the staff recommendation.
[443.96s -> 446.40s]  Mayor, move staff recommendation.
[446.40s -> 452.40s]  A motion by Councillor Spubble to close the public hearing and approve on first reading only.
[452.40s -> 456.60s]  Staff recommendation, seconded by Councillor Morrison.
[456.60s -> 458.16s]  All those in favor say aye.
[458.16s -> 458.80s]  Aye.
[458.80s -> 459.80s]  Opposed say no.
[459.80s -> 461.16s]  That passed on vote is 7-0.
