Zoning Case: C14-2010-0015
Meeting Date: 2010-10-14T00:00:00.000
Agenda Item: 47
Source URL: http://austintx.swagit.com/play/45426/0/
================================================================================

[0.00s -> 4.00s]  I believe it's time to take up our 2 p.m. zoning cases.
[4.00s -> 6.00s]  Mr. Guernsey.
[6.00s -> 8.00s]  Thank you, Mayor and Council.
[8.00s -> 11.00s]  My name is Greg Guernsey, Director of Planning and Development Review.
[11.00s -> 18.00s]  I'll walk through our 2 p.m. zoning ordinance and restrict code items where the public hearing has been closed.
[18.00s -> 26.00s]  The item that I can offer for consent is item number 45, KC 14 2010 0132 for the property located.
[26.00s -> 29.00s]  4500 and a half triangle avenue.
[29.00s -> 37.00s]  This is to zone the property to general commercial services conditional overlay or CSCO combined district zoning.
[37.00s -> 39.00s]  And this is ready for third reading approval.
[39.00s -> 41.00s]  That's item number 45.
[41.00s -> 46.00s]  Is there a motion to approve item number 45 on third reading?
[46.00s -> 49.00s]  Council Member Morrison makes the motion.
[49.00s -> 51.00s]  Second by Council Member Spelman.
[51.00s -> 52.00s]  Discussion?
[52.00s -> 53.00s]  All in favor say aye.
[53.00s -> 54.00s]  Aye.
[54.00s -> 56.00s]  Opposed say no.
[56.00s -> 58.00s]  Passes on a vote of 7-0.
[58.00s -> 60.00s]  Thank you, Mayor and Council.
[60.00s -> 62.00s]  Then I'll move on to the 2 o'clock items.
[62.00s -> 68.00s]  These are the zoning and Hebrew Plan Amendment items where the public hearings are open and there's possible action.
[68.00s -> 74.00s]  Item number 46, 47, and 48 all deal with the domain and there'll be a discussion items.
[74.00s -> 81.00s]  Item number 49 and 50, these are two properties located right next door to each other.
[81.00s -> 88.00s]  Item number 49 is case C14 2010 0112 for the property located at 1503 Enfield.
[88.00s -> 96.00s]  And item number 50, C14 2010 0113 for the property located at 1501 Enfield Road.
[96.00s -> 110.00s]  The neighbors, Awana, the neighborhood group and the applicant have all agreed to oppose moment of these two items to your November 4th agenda.
[110.00s -> 122.00s]  So again, that's item number 49 and 50 and the neighbors and the neighborhood association Awana and the applicant have all agreed to oppose moment of 49 and 50 to your November 4th meeting.
[122.00s -> 128.00s]  Item number 51 I can offer for consent is case C14 2010 0129.
[128.00s -> 132.00s]  This is for the property located at 1705 Century Street.
[132.00s -> 138.00s]  This is to zone the property general commercial services, conditional overlay, or CSCO combined district zoning.
[138.00s -> 146.00s]  The zoning and planning commission recommended the CSCO zoning, and this is ready for consent approval on all three readings.
[146.00s -> 157.00s]  Item number 52 is case C14 2010 0130 for the property located at 15 527 North Interstate Highway IH 35 Service Road.
[157.00s -> 163.00s]  This is to zone the property general commercial services, conditional overlay, or CSCO combined district zoning.
[163.00s -> 171.00s]  And planning commission's recommendation was to grant the CSCO combined district zoning, and this is ready for consent approval on all three readings.
[171.00s -> 177.00s]  Item number 53 is case C14 2010 0141 for the property located at 7919.
[177.00s -> 184.00s]  Thomas Springs Road, this is to zone the property to family residents, neighbor plan, SF3 MP,
[184.00s -> 188.00s]  and limited office, neighbor plan, or LO MP combined district zoning.
[188.00s -> 195.00s]  The planning commission's recommendation was to grant the SF3 MP and the LO MP combined district zoning,
[195.00s -> 198.00s]  and this is ready for consent approval on all three readings.
[198.00s -> 206.00s]  Item number 54 is case C14 2010 0144 for the property located at 8011 B Cameron Road.
[206.00s -> 211.00s]  This is to zone the property to general commercial services or CS district zoning.
[211.00s -> 218.00s]  The zoning planning commission's recommendation was to grant the CS district zoning, and this is ready for consent approval on all three readings.
[218.00s -> 227.00s]  Item number 55, this is case C14H 2010 009,
[227.00s -> 232.00s]  known as the Voss House located at 1501 Northwood Road.
[232.00s -> 240.00s]  This is on the property to family residents, historic, landmark, or SF3H combined district zoning planning commission recommendation.
[240.00s -> 247.00s]  This is to grant the SF3H combined district zoning, and I could offer this for consent approval on first reading only.
[247.00s -> 256.00s]  Item number 56, this is case C14H 2010 0010 for the property located at 2419,
[256.00s -> 262.00s]  Oldridge Drive, the applicant has requested an indefinite postponement of this case.
[262.00s -> 269.00s]  If this case were to come back to you, staff would need to re-notify this case
[269.00s -> 277.00s]  to the public, re-advertising newspaper before this item would come back, and it's item number 56.
[277.00s -> 288.00s]  Item number 57, this is case C14H 2010 0014, known as the Adams House at 4300 Avenue G.
[288.00s -> 293.00s]  This is on the property to family residents, historic, landmark, neighborhood conservation.
[293.00s -> 301.00s]  Combined district zoning, and that's SF3H NCCD zoning, planning commission recommendation was to grant the SF3H NCCD zoning.
[301.00s -> 305.00s]  This is ready for consent approval on first reading only.
[305.00s -> 314.00s]  That concludes the items I could offer for consent.
[315.00s -> 329.00s]  Okay, so the consent agenda for those items where we have yet to hold the public hearing is to postpone until November 4th items,
[329.00s -> 343.00s]  number 49 and 50, to approve, close the public hearing and approve on all three readings, items 51, 52, 53, and 54,
[343.00s -> 356.00s]  to close the public hearing and approve on first reading only, item 55, and to postpone item 56 indefinitely, request by applicant,
[356.00s -> 362.00s]  and to close the public hearing and approve on first reading only, item 57.
[362.00s -> 369.00s]  That's the consent agenda, entertain a motion by Council Member Spelman to approve, second by Council Member Morrison.
[369.00s -> 372.00s]  Any discussion? All in favor say aye.
[372.00s -> 373.00s]  Aye.
[373.00s -> 374.00s]  Opposed say no.
[374.00s -> 376.00s]  Passes on a vote of 7-0.
[376.00s -> 383.00s]  Thank you, Mayor Council. This time I'll introduce Mr. Jerry Rust-Oven, the manager of the Zoning Division,
[383.00s -> 388.00s]  my department, and he's going to go through the three domain related cases.
[388.00s -> 394.00s]  Mr. Rust-Oven, I think we can real quickly take up the Austin Housing Finance Corporation.
[394.00s -> 398.00s]  I think it's all consent and come back to you.
[398.00s -> 400.00s]  So...
