Zoning Case: C14-2017-0042
Meeting Date: 2017-12-14T00:00:00.000
Agenda Item: 102
Source URL: http://austintx.swagit.com/play/45753/0/
================================================================================

[0.00s -> 3.30s]  One zero two, blackfoot.
[3.30s -> 7.54s]  Everybody wants to do these before you leave.
[7.54s -> 8.84s]  Let's do one zero two real fast.
[10.84s -> 11.36s]  I can.
[11.36s -> 12.32s]  This is me.
[12.32s -> 13.32s]  Mr. Mayor, I can't do this.
[13.32s -> 13.82s]  We're working.
[13.82s -> 14.72s]  You said we're going to do five.
[14.72s -> 15.22s]  We're going to go.
[15.22s -> 15.76s]  We're going to go.
[15.76s -> 16.02s]  We're going to go five.
[16.02s -> 16.68s]  We'll do five next.
[16.68s -> 17.84s]  We're going to go get there.
[17.84s -> 18.34s]  Mayor.
[18.34s -> 19.18s]  One zero two.
[19.18s -> 20.38s]  I'm going to add five requests too.
[20.38s -> 24.32s]  So Councilmember Alter is a sponsor on two resolutions
[24.32s -> 25.28s]  that I brought forward.
[25.28s -> 26.88s]  I think there's 66 and 67.
[26.88s -> 29.84s]  So as you're considering which items go next.
[29.84s -> 35.64s]  She's also a sponsor of mine, number 98, so.
[35.64s -> 38.38s]  Apparently, a council member alters the only one
[38.38s -> 40.22s]  that really does any work around here.
[40.22s -> 47.16s]  Let's go ahead and hit number 102.
[47.16s -> 48.42s]  We don't have any speakers on that.
[48.42s -> 50.60s]  Let's see how fast we can do that one.
[50.60s -> 52.36s]  What's 102, Blackfoot Trail?
[52.36s -> 54.06s]  Yes.
[54.06s -> 55.56s]  Okay.
[55.56s -> 60.56s]  Mayor, if I might, am I recognized?
[60.56s -> 61.06s]  Yes.
[61.06s -> 61.56s]  Thank you.
[61.56s -> 62.46s]  Go ahead.
[62.46s -> 64.44s]  I'm going to make my motion, and then I will speak to the motion
[64.44s -> 65.76s]  if I have a second.
[65.76s -> 68.56s]  On item 102, I move to approve the ordinance prepared
[68.56s -> 71.12s]  by staff and backup, which rezones the entire property
[71.12s -> 74.88s]  to GRNU, do so on third reading with the following
[74.88s -> 78.44s]  additional conditions added to the ordinances follows.
[78.44s -> 80.32s]  Part two, the property within the boundaries
[80.32s -> 82.60s]  of the conditional overlay combining district established
[82.60s -> 85.70s]  by the ordinance is subject to the following conditions.
[85.70s -> 87.16s]  The following uses are prohibited uses
[87.16s -> 91.14s]  for this property, restaurant general, and be liquor sales
[91.14s -> 94.08s]  as an accessory used to commercial use is prohibited.
[94.08s -> 96.08s]  This takes care of all of the concerns I've heard
[96.08s -> 98.94s]  at previous readings about alcohol sales on the property.
[98.94s -> 102.28s]  The restaurant general was the one loophole remaining
[102.28s -> 104.98s]  that does not require a waiver by council in order
[104.98s -> 108.08s]  to allow liquor sales so that, and then the liquor sales
[108.08s -> 110.60s]  as an accessory used addresses the food sales component.
[110.68s -> 113.44s]  So this affirmatively addresses all
[113.44s -> 116.00s]  of the liquor sales concerns that I've heard.
[116.00s -> 118.64s]  In addition, I move to approve the new restrictive covenant
[118.64s -> 121.84s]  prepared by staff and backup to prohibit vehicular traffic
[121.84s -> 123.60s]  associated with the non-residential use
[123.60s -> 126.24s]  on the property to Blackfoot Trail.
[126.24s -> 127.20s]  That is my motion.
[127.20s -> 130.48s]  It is a companion to 110, which terminates
[130.48s -> 131.88s]  the existing restrictive covenant.
[134.92s -> 138.12s]  So our second to this motion is used in seconds.
[138.12s -> 139.88s]  It's planning you want to address it?
[139.96s -> 142.92s]  Yeah, so just briefly, my opposition to conditional
[142.92s -> 145.24s]  overlays are well known, but I think in this case,
[145.24s -> 147.56s]  it's helped really daylight a loophole
[147.56s -> 149.60s]  in our liquor sales regulations.
[150.70s -> 153.56s]  I would hope that we could seek a better option
[153.56s -> 155.72s]  for how we can ensure that we are not having
[155.72s -> 159.20s]  inappropriate liquor sales next to different uses
[159.20s -> 161.56s]  and not have these weird loopholes
[161.56s -> 164.44s]  because that loophole does exist in our current land use code.
[164.44s -> 166.20s]  It's something that I'll hope we can address
[166.20s -> 168.68s]  in the next land use code, but that's why I'm willing
[168.68s -> 170.88s]  to move forward on this conditional overlay
[170.88s -> 173.34s]  and approve this on third reading tonight.
[174.76s -> 178.20s]  Okay, third reading has been moved and seconded.
[178.20s -> 180.44s]  There is no one signed up to speak on this,
[180.44s -> 184.16s]  so we're on the dias and discussion on the dias.
[184.16s -> 188.12s]  So, Mayor, I just want Council Member Flanagan
[188.12s -> 191.72s]  to know that I'm gonna vote for this conditional overlay
[193.20s -> 195.20s]  when I thought about voting against you.
[195.52s -> 200.64s]  Any further discussion on the dias?
[200.64s -> 202.00s]  Council Member Poole?
[202.00s -> 205.88s]  I passed around a motion sheet.
[205.88s -> 210.88s]  My concern is changing the zoning across the track
[214.28s -> 219.28s]  to GR and my motion moves to approve the staff recommendation
[219.44s -> 222.44s]  of LRMU with the conditional overlay
[222.44s -> 225.44s]  to prohibit the alcohol sale.
[225.44s -> 230.44s]  So, and you would be moving to amend his to take his motion,
[232.64s -> 235.64s]  but go amend GRMU and make that LRMU.
[235.64s -> 237.84s]  Which is the staff recommendation?
[237.84s -> 239.64s]  Okay, so a second to that.
[239.64s -> 242.04s]  The Mayor Pro Tem seconds that.
[242.04s -> 244.12s]  Would Poole, do you want to address that?
[244.12s -> 249.12s]  The chore, although, and staff could possibly talk to it,
[252.72s -> 257.72s]  but the LRMU and the prohibition of alcohol sales,
[258.64s -> 261.96s]  the valid petition allows a GRMU or LRMU,
[261.96s -> 264.16s]  but the LRMU is a better fit,
[264.16s -> 268.08s]  and this is what the staff recommended.
[268.08s -> 273.08s]  Zap also, the GRMU is across the entire track,
[275.36s -> 279.52s]  which goes too far, because there needs to be a buffer
[279.52s -> 282.64s]  between the SF2 neighborhood and the general,
[284.00s -> 286.28s]  the GR zoning on the parcel, and I apologize,
[286.28s -> 288.40s]  I'm really, really tired.
[288.40s -> 291.20s]  The LRMU is recommended by staff,
[291.20s -> 294.64s]  and we're adding with Council Member Flanagan
[294.64s -> 298.24s]  is also agreeing to adding the alcohol CO,
[298.24s -> 300.64s]  and it makes better sense in terms of the height,
[300.64s -> 304.04s]  40 feet versus 60 feet and the U-Sus.
[304.04s -> 306.68s]  And the staff may like to speak to the rationale
[306.68s -> 309.68s]  that they brought to their determination
[309.68s -> 311.72s]  that this should be LRMU.
[315.52s -> 317.92s]  Staff, let's play that out.
[317.92s -> 321.68s]  Briefly, staff thought that this would be more consistent
[321.68s -> 323.12s]  with the adjacent zoning.
[324.12s -> 328.28s]  We also thought that it's a bit more consistent
[328.28s -> 330.08s]  with the progression of the zoning that you see
[330.08s -> 332.44s]  coming off the roadway,
[332.44s -> 336.36s]  and that it does allow for reasonable use of the property
[336.36s -> 339.08s]  as it relates to the uses coming into the site.
[341.32s -> 342.24s]  Mayor.
[342.24s -> 344.60s]  And I also wanted to thank Council Member Flanagan
[344.60s -> 347.16s]  for working on that alcohol prohibition.
[347.16s -> 349.40s]  That is also really important to the neighbors.
[349.40s -> 350.72s]  Mr. Flanagan.
[350.72s -> 352.20s]  I just wanna remind my colleagues
[352.20s -> 355.40s]  that we already debated the difference between GR
[355.40s -> 357.96s]  and LR at first and second,
[357.96s -> 359.32s]  well mostly first reading,
[359.32s -> 362.64s]  and I will remind that the rationale around GR
[362.64s -> 366.80s]  is that the building restrictions, the setbacks,
[366.80s -> 369.16s]  all of those other restrictions are effectively the same
[369.16s -> 371.04s]  because of compatibility requirements.
[371.04s -> 374.16s]  So my recollection is there's practically no area
[374.16s -> 375.24s]  which you could build 60 feet
[375.24s -> 377.56s]  because of the adjacent properties,
[377.56s -> 378.60s]  the setbacks are the same.
[378.60s -> 380.84s]  I believe the impervious cover was even the same
[380.84s -> 384.72s]  because of the suburban watershed that covers this area.
[384.72s -> 386.16s]  It only adds a couple of uses
[386.16s -> 388.40s]  that the applicant has specifically asked for.
[388.40s -> 390.48s]  And we approved that, I believe eight votes
[390.48s -> 393.08s]  on first reading to do GRME across the whole track.
[393.08s -> 394.88s]  And with adding the CO,
[394.88s -> 396.08s]  I think we're ready to move forward.
[396.08s -> 399.76s]  So I, if we're going to take the vote on that then,
[399.76s -> 401.40s]  I think it's clear where I'll be.
[401.40s -> 404.40s]  The amendment before us is the amendment to go from GR to LR.
[407.76s -> 409.68s]  GRME to LRME.
[409.68s -> 410.52s]  Mayor Proton.
[411.08s -> 413.84s]  So, pursuitually, I'm not sure how to address this.
[413.84s -> 415.60s]  I'm going to, I seconded the motion.
[415.60s -> 417.96s]  I'm going to support the staff recommendation.
[417.96s -> 421.36s]  I believe we probably need staff to weigh in
[421.36s -> 423.48s]  as to whether or not there's still a valid petition
[423.48s -> 425.84s]  against the GR rezoning.
[425.84s -> 428.64s]  But I wanted to, I wanted to talk,
[428.64s -> 430.84s]  I'd asked the staff to research
[430.84s -> 434.96s]  whether or not we typically or have ever put vehicular,
[434.96s -> 437.84s]  acts at vehicular traffic access
[437.84s -> 439.36s]  into a restrictive covenant
[439.40s -> 441.88s]  that is typically, as I mentioned last time,
[441.88s -> 444.08s]  an issue that's in a conditional overlay.
[444.08s -> 446.52s]  And I did receive a report back from the staff
[447.72s -> 449.52s]  that I'll just summarize,
