Zoning Case: NPA-2014-0009.01
Meeting Date: 2015-05-28T00:00:00.000
Agenda Item: 9
Source URL: http://austintx.swagit.com/play/46346/0/
================================================================================

[0.00s -> 7.12s]  The only other items that were left were on this agenda was the zoning case.
[7.12s -> 12.76s]  Items 9 and 10, let's go see if we can resolve that while we're here to handle that.
[12.76s -> 13.56s]  I'm going to tee that up.
[13.56s -> 16.28s]  So I'm very rest over with the Planning and Zoning Department.
[16.28s -> 20.60s]  Item 9 is case MPA 2014 009.01.
[20.60s -> 23.64s]  Notice Waller and Sweetville.
[23.64s -> 29.96s]  This is a labor plan amendment for the property located at 908 East 15th Street, 807 East 16th Street.
[30.52s -> 35.52s]  1506 Waller Street, this case has been withdrawn by the applicant.
[35.52s -> 38.08s]  And no action is required by the council.
[38.08s -> 44.08s]  Item 10 is case C14 2015 006, also known as Waller and Sweet Hills related to zoning case.
[44.08s -> 50.20s]  And it's also for the property located at 908 East 15th Street, 807 East 16th Street, and 1506 Waller Street.
[50.20s -> 55.36s]  This case has also been withdrawn by the applicant and no action by the council is required.
[55.36s -> 58.60s]  However, I would like to update the council on a related issue of this case.
[58.60s -> 61.52s]  And it has to do with the historic zoning of the Stasswender House.
[62.72s -> 67.68s]  The applicant, as some of you all may know, as this case was moving forward,
[67.68s -> 72.92s]  the neighborhood requested and the landmark mission initiated historic zoning on the Stasswender House.
[72.92s -> 78.20s]  The neighborhood asked for a historic zoning for what I call the entire Stasswender compound,
[78.20s -> 80.60s]  which is 4codd is plus the main house.
[80.60s -> 85.00s]  The landmark mission only voted to move forward with the historic zoning for the house.
[85.00s -> 93.44s]  That was lumped together with the overall zoning case that you all have discussed the postponement on several times and it was postponed today.
[93.44s -> 96.24s]  However, that case has been withdrawn by the applicant.
[96.24s -> 101.44s]  So we feel that no action is actually possible by the city council today.
[101.44s -> 107.84s]  However, we have worked out a solution late yesterday afternoon on the historic zoning of the house.
[107.84s -> 113.64s]  And what our intention to do is to move forward with the historic zoning for the Stasswender House.
[113.64s -> 116.20s]  That case has been initiated by the landmark commission.
[116.20s -> 121.08s]  We will be taking it back to the planning commission as a standalone historic zoning case.
[121.08s -> 124.76s]  And we will be bringing it back to the city council probably in August.
[124.76s -> 129.24s]  We have a letter that I passed out on the dais from West Peoples who is the owner of the property.
[129.24s -> 135.80s]  Stating that he will not protest the historic zoning of the property at the planning commission or when it comes back to the city council.
[135.80s -> 140.00s]  However, he will retain his right which he has as a property owner.
[140.00s -> 145.72s]  Possibly in the future he may come back for a proposed zoning for the house as something other than a single family.
[145.72s -> 149.12s]  But at this time he will not object to the historic zoning.
[150.68s -> 156.72s]  We also have a demolition permit for the compound, for the four colleges that surround the house.
[156.72s -> 160.80s]  The landmark commission as recently as this passed February or March, I believe it was.
[162.48s -> 166.20s]  Did not recommend moving forward with historic zoning on those properties.
[166.20s -> 171.88s]  We have also decided that issue three times previously, or I'm sorry, two times previously to that.
[171.88s -> 179.48s]  So three times the planning commission, I mean the landmark commission has decided not to zone the four colleges historic.
[179.48s -> 184.88s]  So what we intend to do is to move forward with the historic zoning case on the house and we bring that back to council.
[184.88s -> 194.32s]  And we intend to issue the demolition permits for the cottages which the landmark commission as I've said have previously decided do not warrant historic zoning.
[194.32s -> 196.96s]  This is a solution that essentially gets both sides.
[196.96s -> 203.00s]  What I believe they feel to be most important, which is a neighborhood can get historic zoning for the staff fender house.
[203.00s -> 208.12s]  And the property owner can get the demolition permits for the four cottages.
[208.12s -> 216.20s]  I discussed this with the neighborhood late yesterday evening, I received an indication that they were okay with the solution.
[216.20s -> 219.32s]  And of course I discussed it with the property owner as well.
[219.32s -> 224.08s]  So like I said, everyone doesn't get everything that they want, but I think both sides get that.
[224.08s -> 226.08s]  Which is most important to them.
[226.08s -> 230.56s]  So I was prepared today to say that we had a deal, everything was fine.
[230.56s -> 238.16s]  However, upon walking the door on my heard from the neighborhood that they are concerned about the timing of the issuance of the demolition permits.
[238.16s -> 242.28s]  And I believe that they should address that if you'd like to hear from them.
[242.28s -> 247.64s]  But anyway, faces nine and ten have been withdrawn and no action is needed at this time.
[247.64s -> 249.20s]  Available for any questions.
[250.20s -> 254.20s]  So that I understand and then I'm going to go down the dyes.
[254.20s -> 261.20s]  The nine and ten you're recommending be withdrawn.
[261.20s -> 265.20s]  I'm not recommending I'm saying they have been withdrawn by the applicant.
[265.20s -> 266.20s]  Okay.
[266.20s -> 269.20s]  So the applicant withdraws nine and ten.
[269.20s -> 278.20s]  The neighborhood's taking the position that the applicant shouldn't be allowed to withdraw as to the historic zoning on the large house.
[279.20s -> 288.20s]  So one issue from legal or from the dyes we have to discuss whether or not the applicant has the ability to unilaterally withdraw.
[288.20s -> 298.20s]  As part of that conversation you're saying that if it's withdrawn or otherwise postponed by the council, however that happens.
[298.20s -> 307.20s]  You're going to go back to the planning commission on the historic designation for the big house.
[307.20s -> 310.20s]  Coming back to the council in August.
[310.20s -> 320.20s]  And at that point you're saying that the property owner has represented that they will not be opposing the historic designation on that house.
[320.20s -> 321.20s]  Right.
[321.20s -> 333.20s]  What I would like to do is to clear up the issue of whether or not the council cannot take action today by saying the council cannot take action today because the case has been withdrawn and that age was a part of that larger case.
[334.20s -> 338.20s]  But to clear things up, what I intend to do is to go not back to the landmark commission.
[338.20s -> 341.20s]  The landmark mission already voted for the historic zoning for the house.
[341.20s -> 349.20s]  But to go back to the planning commission with the H as a with the historic zoning as a standalone issue, not in the context of the larger zoning case.
[349.20s -> 354.20s]  But as a standalone issue, go back to the planning commission and say.
[355.20s -> 357.20s]  The landmark mission is initiated and the historic zoning for the house.
[357.20s -> 358.20s]  What's your recommendation?
[358.20s -> 360.20s]  And then to take that back to the city council.
[360.20s -> 363.20s]  So essentially I take the question off the table today.
[363.20s -> 369.20s]  But I'm telling you that I will bring it back to the council as a standalone historic zoning case for.
[369.20s -> 375.20s]  The house and you have a letter from the owner stating that they will not oppose that case when it comes to the city council.
[375.20s -> 377.20s]  So that was not the case previously.
[377.20s -> 379.20s]  That's something that we worked through.
[379.20s -> 388.20s]  And I understand it's your statement that it's been withdrawn and if we need to, we can hear from legal council and the council can decide what to do with that.
[388.20s -> 395.20s]  What I'd like to do is try to separate the issue since the larger case has been withdrawn, bring back just the historic zoning issue by itself.
[395.20s -> 397.20s]  I understand the intent as to that piece.
[397.20s -> 404.20s]  And then with respect to the demolition permit on the other four structures, when would that be issued and what's the.
[405.20s -> 415.20s]  As I said, the demolition permit, there have been previous twice before the landmark mission has been asked to approve demolition permits for these four structures.
[415.20s -> 417.20s]  They have approved that.
[417.20s -> 419.20s]  Those demolition permits were never executed.
[419.20s -> 421.20s]  The houses are still there.
[421.20s -> 423.20s]  In fact, there's tenants living in them today.
[423.20s -> 430.20s]  Most recently, as a part of this larger issue, the neighborhood asked that the landmark mission initiated zoning for,
[430.20s -> 433.20s]  I would call it the whole compound, the four houses plus the house.
[433.20s -> 436.20s]  The only thing the landmark mission voted to move forward was the main house.
[436.20s -> 437.20s]  Right.
[437.20s -> 443.20s]  So because the landmark mission has decided, I would say three times previously in the past several years, as recently as a few months ago,
[443.20s -> 448.20s]  that the four properties do not warrant historic preservation, which is, the staff is in agreement with that issue,
[448.20s -> 453.20s]  that we would go ahead and issue the demolition permits very soon.
[453.20s -> 454.20s]  You just with issue then.
[454.20s -> 456.20s]  Okay, so I think I understand.
[456.20s -> 459.20s]  We're going to continue our discussion on these two items.
[460.20s -> 463.20s]  Ms. Houston.
[463.20s -> 465.20s]  Thank you, Mayor.
[465.20s -> 471.20s]  Something happened in this process that really feels wrong to me.
[471.20s -> 482.20s]  How the historic zoning got embedded in the two that we had already looked at before is just, can you explain to me how that happened?
[482.20s -> 483.20s]  Sure.
[483.20s -> 489.20s]  We have a policy that we do not allow two zoning cases to be on the same property at the same time.
[489.20s -> 491.20s]  There's a real good reason for that.
[491.20s -> 496.20s]  You don't want to develop or submitting a request for one thing and request for another thing and request for another thing
[496.20s -> 501.20s]  and trying to move them all three forward or two or three things forward all at the same time and hoping that he wins on one.
[501.20s -> 505.20s]  So we do not allow multiple zoning cases on the same property.
[505.20s -> 508.20s]  What happened here was the applicant did not ask for historic zoning.
[508.20s -> 511.20s]  He was moving forward with a standard zoning case.
[511.20s -> 513.20s]  The GRM UK has been withdrawn.
[513.20s -> 518.20s]  And then the neighborhood requested that the historic zoning be added to the house.
[518.20s -> 523.20s]  Okay, or added to the whole compound and the Landmark Commission voted just for the house.
[523.20s -> 528.20s]  We felt that you could not have two side by side zoning cases running on the same property.
[528.20s -> 535.20s]  So we said that the age has now been incorporated into the main zoning request.
[536.20s -> 539.20s]  Hold on just a minute so I don't get confused.
[539.20s -> 540.20s]  Who is we?
[540.20s -> 541.20s]  We as a staff.
[541.20s -> 543.20s]  Staff decided that what?
[543.20s -> 544.20s]  Go ahead now.
[544.20s -> 549.20s]  So the applicant at that time stated that he was okay with the historic zoning on the house.
[549.20s -> 551.20s]  It's never been his intention to tear down the house.
[551.20s -> 560.20s]  However, he would like to have seen office zoning as a part of the zoning request if you will.
[560.20s -> 564.20s]  The overall zoning question for the house.
[564.20s -> 571.20s]  When he withdrew the request of the way that we look at it as a staff is that the whole thing is one entity that's moving forward to the City Council.
[571.20s -> 577.20s]  We had a zoning case that had basically a historic part added on to it by the Landmark Commission.
[577.20s -> 586.20s]  When the applicant withdrew the overall zoning case, it's my position that the entire thing goes away.
[586.20s -> 591.20s]  However, the applicant still does not wish to tear down the house.
[592.20s -> 603.20s]  And has actually changed his position to my understanding and so that he is now okay with leaving the single family zoning on the house and adding the age to it.
[603.20s -> 610.20s]  However, I think it would be cleaner from a procedural standpoint because there are some procedural issues here that we take that alone.
[610.20s -> 619.20s]  We take that back to the planning mission and back to the City Council as a standalone case that the city is the applicant on because the Landmark Commission initiated not the owner.
[619.20s -> 627.20s]  And that we bring it back forward to you guys back in probably in August as just a standalone historic zoning case for the house.
[627.20s -> 630.20s]  And as I said, the owner said that he will not oppose that.
[630.20s -> 632.20s]  Hold on just a moment.
[632.20s -> 635.20s]  And so the demolition permits have been approved.
[635.20s -> 637.20s]  The demolition permits have not been approved yet.
[637.20s -> 644.20s]  I'm telling you it's our intention to approve the demolition permits because the Landmark Commission has voted not to zone those properties.
[644.20s -> 646.20s]  What is the timeline on the demolition?
[647.20s -> 648.20s]  That would be up to the applicant.
[648.20s -> 655.20s]  We could issue the permits and I believe he would have up to a year to do the demolition after the permit was issued or it would expire.
[655.20s -> 666.20s]  Okay, so during the demolition phase, what if bulldozer accidentally knocks into the wall of the Stosven House?
[666.20s -> 668.20s]  Is there any?
[668.20s -> 670.20s]  Yes, at that point.
[670.20s -> 671.20s]  Any penalties for that?
[671.20s -> 672.20s]  Yes.
[672.20s -> 673.20s]  He would not be allowed.
[673.20s -> 679.20s]  There was no way that you could do anything to the Stosven House without pulling a demolition permit for the Stosven House.
[679.20s -> 681.20s]  I didn't say pull a permit.
[681.20s -> 684.20s]  I said accidentally while demolishing the compound.
[684.20s -> 687.20s]  Well, considering that we have an active historic zoning case against the property.
[687.20s -> 693.20s]  And if something were to happen to the property, we would go after him with whatever legal means we had.
[693.20s -> 694.20s]  So that's what I'm asking.
[694.20s -> 695.20s]  What are the legal remedies?
[695.20s -> 701.20s]  I think the legal remedies would be going after him for demolishing a property or partially demolishing a property.
[701.20s -> 703.20s]  Without a permit.
[703.20s -> 705.20s]  And what is that?
[705.20s -> 707.20s]  Is that $50,000 a day?
[707.20s -> 708.20s]  $2,000 a day.
[708.20s -> 709.20s]  Thank you.
[709.20s -> 716.20s]  I think we have people here to speak to this issue, so I'd like to see if they could come up at some point.
[716.20s -> 725.20s]  Just so that before we have, tell me what the procedural issue are.
[726.20s -> 736.20s]  I mean, it sounds like the property owner is okay with having no zoning change other than the adding of the historical designation to the large house.
[736.20s -> 743.20s]  So help me understand what the procedural problem would be with us just doing that and saving everybody.
[743.20s -> 750.20s]  The problems are going back to Planning Commission and since it appears as if there's no disagreement there.
[751.20s -> 758.20s]  I think the issue has to do with the fact that what's on your agenda today is not posted as a separate item with the city being the applicant.
[758.20s -> 763.20s]  In other words, the landmark mission being the applicant for historic zoning on the property.
[763.20s -> 769.20s]  What's on your agenda today is a request for the entire rezoning which has been withdrawn by the applicant.
[769.20s -> 779.20s]  And as I said, the cases were never split in two, so it's our desire to bring back the one case cleanly and then no longer have the issue about whether this is a part of another property.
[779.20s -> 781.20s]  This is a part of another case or not.
[781.20s -> 785.20s]  If this agenda item was in front of us, it had not been withdrawn.
[785.20s -> 789.20s]  And it's in front of us and we're considering it.
[789.20s -> 798.20s]  Could we have on our motor as part of our amendment as we're considering it taken part of the recommendation and not all of the recommendation.
[798.20s -> 808.20s]  And specifically, could we have not taken the recommendation as to the rezoning but kept alive that part that would have accepted the historic.
[808.20s -> 817.20s]  Mayor, Deborah Thomas with the law department, the major issue in this case at this time is at the planning commission.
[817.20s -> 825.20s]  The posting did not indicate that the planning commission would be considering historic zoning.
[825.20s -> 829.20s]  So there's a notice problem at the planning commission.
[829.20s -> 837.20s]  So last week when it was on, this week when it was on, if I had known that there was a problem with the notice that planning commission,
[837.20s -> 846.20s]  I would have recommended that the council let it go back to planning commission, fix that and then come back to council.
[846.20s -> 849.20s]  That makes sense to me.
[849.20s -> 854.20s]  Ms. Poe, did you have further questions?
[854.20s -> 866.20s]  I was reading in the backup. It sounded like some of the reasons why this has been going back and forth is because either posting or paperwork issues.
[866.20s -> 867.20s]  Yeah.
[867.20s -> 872.20s]  I mean, it's been all back and forth because as I said, we've merged two cases into one.
[872.20s -> 877.20s]  And if you want to separate them at this time, we think that there are procedural issues with that.
[877.20s -> 884.20s]  I'm with council member Houston on wanting to ensure that if any demolition happens that it's.
[884.20s -> 890.20s]  It doesn't affect the structures that it's not supposed to affect.
[891.20s -> 905.20s]  And I also really do want to hear from the residents and I think some folks are in the back of the room there to just really be clear that they're fine going forward.
[905.20s -> 911.20s]  And I have one last question. One last question.
[912.20s -> 920.20s]  When you, when you, this matter with respect to the way you're proposing it.
[920.20s -> 926.20s]  This goes back to the planning commission with respect to historical designation on this property.
[926.20s -> 932.20s]  As part of that conversation, since it's concerning historical designation on that property.
[933.20s -> 943.20s]  It might be that they would have a broader conversation about what was recommended or not recommended by the historical preservation group.
[943.20s -> 947.20s]  Which means that there could be a conversation that extends beyond.
[947.20s -> 952.20s]  Although we certainly don't think that's going to happen because it's been there three times and like.
[952.20s -> 959.20s]  But if the issue is the relative timing of the demolition permit and this coming back to council.
[959.20s -> 965.20s]  Is there anything that requires you to grant the demolition permit now as opposed to granting the demolition permit in August?
[965.20s -> 968.20s]  There's nothing to replace.
[968.20s -> 971.20s]  Well, we do have timelines actually once they file a demolition permit.
[971.20s -> 975.20s]  We are obligated to prove it within a certain amount of days, I believe it's seven.
[975.20s -> 979.20s]  Unless we refer to the landmark commission for their recommendation.
[979.20s -> 985.20s]  The landmark commission, if they do not recommend historic zoning on a demolition permit.
[985.20s -> 986.20s]  The case does not move forward.
[987.20s -> 988.20s]  It dies there.
[988.20s -> 993.20s]  In this case, two demolition permits have been before them before on this property.
[993.20s -> 996.20s]  They've voted with moving forward with the demolition of them.
[996.20s -> 999.20s]  At the last time they did not have a demolition permit in front of them.
[999.20s -> 1002.20s]  They had a request from the neighborhood to initiate the historic zoning.
[1002.20s -> 1004.20s]  But they chose not to do that.
[1004.20s -> 1008.20s]  So at that point that case dies there and does not move forward to the planning commission.
[1008.20s -> 1012.20s]  When we were talking about the case in the larger context of the entire zoning case.
[1013.20s -> 1018.20s]  The planning commission did recommend the historic zoning on the house as a part of that case.
[1018.20s -> 1023.20s]  So I do not anticipate there will be an issue with the planning commission when we go back to them and say.
[1023.20s -> 1027.20s]  Instead of talking about this whole big case now we're just talking about the house.
[1027.20s -> 1031.20s]  Leaving a single family we're just talking about adding the age zoning to it.
[1031.20s -> 1034.20s]  I would anticipate that they would do the same thing that they did previously.
[1034.20s -> 1036.20s]  We're talking about in the context of the larger property.
[1036.20s -> 1041.20s]  With the planning commission in that context be able to talk about historic designation on the other buildings if it chose to do that.
[1042.20s -> 1046.20s]  They could speak to it but only the landmark commission could actually initiate the historic case.
[1046.20s -> 1047.20s]  Yeah.
[1047.20s -> 1048.20s]  All right.
[1048.20s -> 1055.20s]  May I just have one other question before we perhaps can hear from the neighbors.
[1055.20s -> 1058.20s]  So help me understand.
[1058.20s -> 1063.20s]  Ms. Thomas once this was all folded into.
[1063.20s -> 1070.20s]  The zoning case and we didn't have the right language.
[1070.20s -> 1084.20s]  Whose responsibility is it to make sure that what we've done as staff is conveyed in the language that we need to have or that it should have gone to planning commission before it came here.
[1084.20s -> 1087.20s]  So I'm confused about that piece of it.
[1087.20s -> 1093.20s]  Because this is something that was set last but two council meetings ago to come back today.
[1093.20s -> 1099.20s]  And so how did we get off track with making sure that it went to planning commission before it came here.
[1100.20s -> 1103.20s]  The case did go to planning commission before it came here.
[1103.20s -> 1115.20s]  It's just that the notice when it went to planning commission was not adequate to support the planning commission's action of SF3H, the historic.
[1115.20s -> 1116.20s]  There was no notice.
[1116.20s -> 1124.20s]  There was no posting for the historic zoning and that made the posting at planning commission inadequate.
[1124.20s -> 1129.20s]  But we've known about the historic zoning piece since when.
[1129.20s -> 1133.20s]  A long time.
[1133.20s -> 1135.20s]  I don't know what the date was.
[1135.20s -> 1136.20s]  Thank you.
[1136.20s -> 1145.20s]  And I do want to clarify something that Mr. Russell said the planning commission or the council could initiate the historic zoning.
[1155.20s -> 1159.20s]  You said the planning commission or the council could initiate historic zoning.
[1159.20s -> 1165.20s]  The planning commission could recommend historic.
[1165.20s -> 1169.20s]  If we're talking so way about the colleges now because I think we have an agreement about the house.
[1169.20s -> 1175.20s]  If we're talking about the colleges, the planning commission could initiate a historic zoning case on the house.
[1175.20s -> 1177.20s]  We would have to take that back to the landmark commission.
[1177.20s -> 1181.20s]  If they did not recommend it, it would die there three times previously.
[1181.20s -> 1183.20s]  They have not recommended it.
[1184.20s -> 1185.20s]  Thank you.
[1185.20s -> 1186.20s]  Mr. Tovin.
[1186.20s -> 1192.20s]  Is the same true of the city council if we initiated historic zoning.
[1192.20s -> 1195.20s]  Just for example on the other two houses.
[1195.20s -> 1199.20s]  It would have to go back to the historic to the landmark commission as well.
[1199.20s -> 1200.20s]  Yes.
[1200.20s -> 1202.20s]  And what happens if they don't recommend it.
[1202.20s -> 1203.20s]  Same.
[1203.20s -> 1204.20s]  Same path.
[1204.20s -> 1205.20s]  Yes.
[1205.20s -> 1206.20s]  The case stops there.
[1206.20s -> 1208.20s]  And if the owner were opposed, it would take a super majority of the land commission to initiate it.
[1208.20s -> 1209.20s]  Okay.
[1209.20s -> 1211.20s]  So we can initiate it, but it doesn't mean it's going to get back to us.
[1211.20s -> 1212.20s]  Right.
[1212.20s -> 1216.20s]  The plan, the landmark commission is actually a three step dancers initiation where we, they
[1216.20s -> 1218.20s]  talk to a look at something and then they make a recommendation.
[1218.20s -> 1221.20s]  If they don't make that recommendation out of historic case, it doesn't move forward.
[1221.20s -> 1224.20s]  And of course, if it didn't move forward, the owner was opposed.
[1224.20s -> 1226.20s]  It would take a super majority of council as well to approve it.
[1226.20s -> 1227.20s]  Right.
[1227.20s -> 1228.20s]  Thank you.
[1241.20s -> 1256.20s]  All right.
[1256.20s -> 1259.20s]  Before I go to public speakers, do you have something that you think we should hear?
[1259.20s -> 1266.20s]  I believe it's if the council commission initiated historic zoning over the entire property would bring the entire case to you.
[1267.20s -> 1275.20s]  If the landmark initiated and then they got to them and they did not have a fairly favorable recommendation on the historic zoning.
[1275.20s -> 1281.20s]  That case for those portions that he did not recommend would stop at landmark commission.
[1281.20s -> 1287.20s]  The piece that they favorably acted, which was the house in this case, would move forward.
[1287.20s -> 1293.20s]  So what was different is what's different is you're saying that if the council initiated, it would come back to council in its entirety.
[1294.20s -> 1299.20s]  If the commission initiates it and doesn't approve it, then it stops.
[1299.20s -> 1310.20s]  If the landmark commission brings it forward and chooses not to recommend the historic zoning for the remainder of the property that would not come forward, but the house would.
[1310.20s -> 1319.20s]  Interestingly enough, when this got before the landmark commission, it was on March 23rd and commission the very next night.
[1320.20s -> 1323.20s]  Took action on the zoning case on the 24th.
[1323.20s -> 1334.20s]  So there was a time less than like almost 24 hours or about 24 hours where there's action by the landmark commission saying yes, we'll move it forward, but only for the house.
[1334.20s -> 1338.20s]  And then the commission took it the very next night.
[1338.20s -> 1344.20s]  To bring it forward with the age if the landmark commission recommended in it.
[1344.20s -> 1353.20s]  But that may be why there was some confusion in other posting before the commission because literally they were acting less than a day and a half time.
[1353.20s -> 1356.20s]  One night, yes, go move forward with the age.
[1356.20s -> 1358.20s]  It wasn't on the agenda.
[1358.20s -> 1367.20s]  Commission did take the staff recommendation that if the age was recommended that they adopted, but they did not be able, they were not able to post it on the commission.
