Zoning Case: C14-2013-0135
Meeting Date: 2013-12-12T00:00:00.000
Agenda Item: 121
Source URL: http://austintx.swagit.com/play/45604/0/
================================================================================

[0.00s -> 2.00s]  Next
[10.04s -> 12.04s]  Thank You Marin Council
[12.04s -> 15.52s]  Greg Guernsey with the planning and development and review department now go through our two
[16.20s -> 20.54s]  PM zoning ordinance and restrict covenants. These are the items where the hearings have been closed
[21.32s -> 23.64s]  On the first item I'd like to offer for consent
[24.28s -> 27.28s]  Is item number 92, this is KC 14
[28.24s -> 32.68s]  2013 0 0 48 for the property located at 37 15 Westlake Drive
[33.12s -> 39.64s]  This is to rezone the property to single family residents standard lot or SF 2 district zoning
[40.84s -> 46.32s]  This is ready for third reading approval on the dais. You have a
[47.32s -> 55.04s]  Revised ordinance that addresses what staff believes the majority of the issues that came up at second reading
[55.72s -> 60.84s]  Staff would ask that one portion of the ordinance be stricken. That's
[61.72s -> 63.72s]  Page two of three
[63.72s -> 66.96s]  Under part three paragraph H
[68.12s -> 69.80s]  this section
[69.80s -> 75.56s]  That's under this ordinance has already been modified in the city code by the same council
[76.60s -> 83.36s]  Several weeks ago, and so that's no longer necessary, but would that one change we could offer this item for consent?
[83.36s -> 90.00s]  I understand there's a council office that would like or council person that would like to speak to item number 93
[90.92s -> 92.92s]  94 and 95 no
[96.56s -> 103.40s]  I just think councilmember Riley would like to have items number 93 94 and 95 discussed
[104.24s -> 106.24s]  Okay, so we'll build those off it can say it
[107.08s -> 112.12s]  Very good. I'm moving on to the 2 p.m. Zoning and neighborhood plan amendments. This is a republic hearing is open
[112.12s -> 118.00s]  There's possible action first item I'd offer for consent is item number 96. This is case MPA 2013
[118.80s -> 123.40s]  008.01 for the property located at 2804 also with some Avenue
[123.40s -> 128.44s]  This is to change the rosewood neighborhood plan future land use map to mixed land use
[128.64s -> 133.84s]  The planning commission's recommendation was to grant the mix land uses and this is ready for consent approval on all three readings
[133.84s -> 136.90s]  I don't number 97 is case c14 2013
[137.36s -> 138.82s]  0091
[138.82s -> 145.08s]  For the same property at 2804. It's all whistlin Avenue. This is to zone the property general commercial services
[145.48s -> 150.80s]  mixed use conditional overlay neighbor plan or CS MUC OMP combined district zoning
[150.96s -> 156.60s]  The planning commission's recommendation was to grant the CS MUC OMP combined district zoning
[156.60s -> 159.46s]  And this is ready for consent approval on all three readings
[160.00s -> 162.90s]  I don't number 98 is case MPA 2013
[163.80s -> 169.04s]  0010.01 for the property located at 24 6 16 east 6th street
[169.36s -> 176.36s]  This is a neighborhood plan amendment in the holly neighborhood area staff is requesting a postponement of this item to your February 13th agenda
[176.36s -> 179.28s]  I don't number 99 KC 14 2013
[179.80s -> 186.02s]  0083 for the property located at 24 16 east 6th Street staff is recommending a
[186.60s -> 190.52s]  postponement of this zoning change to your meeting of February 13th
[191.48s -> 193.16s]  item number
[193.16s -> 196.92s]  MPA 2013 0011.01
[197.48s -> 200.00s]  This is for a property located at 49 14
[200.16s -> 202.16s]  Bennett Avenue in the north loop
[202.52s -> 210.80s]  Neighborhood planning area staff is requesting a postponement of this item to your January 23rd meeting and the related zoning items item number
[211.00s -> 213.00s]  101 KC 14 2013
[213.40s -> 222.40s]  0021 for the property located at 49 14 Bennett Avenue staff is requesting a postponement of this item to your January 23rd agenda
[225.76s -> 230.92s]  Item number 102 and 103 are related these have to do with the paria state
[231.72s -> 236.96s]  Understand mayor. We have a single speaker on this item, but I'll read these into consent
[236.96s -> 243.40s]  So mr. Guernsey in this case what what we'll do is just leave them on the consent agenda and treat it like we do
[244.28s -> 250.86s]  On our consent agenda in the morning will allow the speaker to speak on these items, but we'll leave it on consent
[251.16s -> 259.04s]  Very good item number 102 is MPA 2013 0019.01. This is for the property
[260.16s -> 263.24s]  located at 7 10 east at 41st Street
[263.72s -> 268.16s]  This is a plan amendment item in the central Austin combined neighborhood planning area
[268.80s -> 275.36s]  To designate the use as mixed land use the planning commission's recommendation was to grant the mixed land use
[275.68s -> 282.04s]  This is ready for consent approval on first reading only as requested leave the public hearing open as I understand it
[282.04s -> 289.40s]  That's understand the applicant and the stakeholders neighborhood areas equals and staff would all be in agreement to allow the
[289.60s -> 293.84s]  The public hearing used to remain open and this be continued on to a second another day
[294.36s -> 297.76s]  I don't number 103 is case 14 2013 0040
[298.76s -> 301.64s]  For the property looking at 7 10 east to 41st Street
[302.16s -> 304.16s]  this is to
[304.36s -> 306.36s]  zone the property to
[308.08s -> 314.56s]  Community commercial mixed use conditional overlay neighbor plan or gr m u c o m p combined district zoning
[314.56s -> 323.00s]  For tracks 1 and 2 and community commercial mixed use conditional overlay historic landmark neighbor plan or gr m u c o h
[323.00s -> 329.92s]  MP combined mister droning for tract 1 a the plan's commission's recommendation was to grant the gr m u
[330.32s -> 338.64s]  c o m p zoning for tracks 1 and 2 and the gr m u c o h m p zoning for tract 1 a
[339.36s -> 340.96s]  item number 104
[340.96s -> 345.60s]  This case c14 2013 0070 for the property located at
[346.44s -> 349.40s]  78 oh five and one half old manor robe
[350.00s -> 353.92s]  This is to zone the property to family residents or SF 3 district zoning
[354.08s -> 359.36s]  The zoning planning commission's recommendation was to grant single family residents SF 2
[359.88s -> 367.40s]  District zoning with conditions and this is ready for consent approval on all three readings item number 105 kc 14 2013
[368.40s -> 373.80s]  0071 this is for the property located at 77 01 and one half old manor road
[373.80s -> 381.48s]  That is on the property to general commercial services or CS district zoning and multi-family residents medium density or MF3 district zoning
[381.72s -> 389.16s]  The zoning planning commission's recommendation was to grant the community commercial gr district zoning and the multi-family residents load density
[390.40s -> 396.84s]  Overlay our MF 2 co combined zoning with conditions and this is ready for consent approval on all three readings
[398.40s -> 402.16s]  Item number 106 this case c14 2013
[403.24s -> 410.36s]  0087 for the property located at 14 02 West Avenue. This is to zone the property to downtown mixed-use
[410.88s -> 412.88s]  historic landmark or DMU H
[413.36s -> 420.72s]  Combined district zoning the plan commissioner's recommendation was to grant downtown mixed-use historic landmark conditional overlay or DMU H
[420.72s -> 425.68s]  Co combined district zoning I understand that we could probably offer this item for consent and
[426.32s -> 429.20s]  Councilmember Tovo, I believe has some
[429.92s -> 435.84s]  Additional prohibited uses that she would like to offer that the applicant and the adjacent property units are in
[435.84s -> 442.12s]  Let's just go ahead and take it off and see it. That sounds like it would be a lengthy process and we already have other
[442.92s -> 445.92s]  Councilor Tova mirror if I could it's it's an agreed-upon list
[445.92s -> 452.16s]  I think the applicant is in agreement and the neighborhood association is in agreement and and perhaps the staff could read it in if that
[452.16s -> 457.32s]  Spades it up. Why don't you read it in that one? I don't actually have to list we can get it to you
[464.08s -> 470.32s]  Okay, very quickly the initial list of prohibited uses would include cocktail lamps liquor sales bailbound services
[471.04s -> 472.64s]  pawn shop services
[472.64s -> 478.96s]  Drive through related services auto rental auto repair auto sales auto washing of any type
[479.12s -> 486.72s]  Service station outdoor entertainment group residential and vehicle storage and with that those uses listed as
[487.48s -> 491.96s]  Additional prohibited uses I can offer item number 106 and consent for three readings
[492.72s -> 499.40s]  All right item number 107 case c14 2013 0089 for the proper property located
[500.40s -> 508.92s]  8001 and 8111 South ice 35 to zone the property to multi-family residents medium density or Mf 3 district zoning
[508.96s -> 513.16s]  The zoning planning comes to the recommendation was to grant the Mf 3 district zoning with conditions
[513.88s -> 516.80s]  And this is ready for consent approval on all three readings
[516.80s -> 521.12s]  I don't number 108 case c14 2013 0092
[521.68s -> 523.92s]  the property located at 29 15 and
[525.16s -> 527.24s]  13 ECesar Chavez
[527.24s -> 529.24s]  this is to
[529.24s -> 534.16s]  Actually, this is a staff post moment of this item to your January 23rd agenda
[535.04s -> 537.04s]  I
[537.04s -> 544.88s]  Don't number 109. This is case c14 2013 0105 for the property located 8601 Tuscany way
[545.20s -> 553.36s]  This is to zone the property to limited industrial services or li district zoning zoning planning commission's recommendation was to grant limited industrial
