Zoning Case: C14-2014-0167
Meeting Date: 2015-04-16T00:00:00.000
Agenda Item: 21
Source URL: http://austintx.swagit.com/play/45674/0/
================================================================================

[0.00s -> 5.00s]  Welcome back, Mr. Grincy.
[5.00s -> 9.00s]  Mayor Pro Tem, I think the next one's 21.
[9.00s -> 10.00s]  That's right.
[10.00s -> 11.00s]  I'm 21.
[11.00s -> 14.00s]  And it looks, do you have a staff presentation first before we hear our speakers?
[14.00s -> 19.00s]  I do, and I believe you have at least two speakers somewhere, maybe four.
[19.00s -> 23.00s]  Item number 21 is KC-14, 2014-0167.
[23.00s -> 27.00s]  It's a property located at 13,007, Katara Dry.
[27.00s -> 37.00s]  This is a zoning change request from Interimral Residence District to Nebric Commercial Mixed-Use Conditional Overlay, or LRMUCO, combined district zoning.
[37.00s -> 51.00s]  The property itself is about 2.38 acres in size and is currently surrounded by SF-4A zoning, which is a residential zoning to the north and to the east.
[52.00s -> 59.00s]  It joins some property that's in the county and interim SF-4A zoning to the west.
[59.00s -> 74.00s]  It does have some frontage on two streets, and the planning commission, or the zoning and planning commission recommendation, was actually to grant the staff recommendation in this case.
[75.00s -> 83.00s]  There's a unique condition that the property owner did make a request for on February 18th.
[83.00s -> 94.00s]  They asked that a conditional overlay be included on this particular case, that a wall offense be prohibited within 50 feet of Contero Drive and east Howard Lane.
[94.00s -> 98.00s]  This is in a 50-foot area assigned as a landscape easement.
[98.00s -> 107.00s]  The easement is currently held by a third party, which I believe is the association of the homes that are further to the north.
[107.00s -> 118.00s]  The commission did approve the zoning or recommend the zoning that with that additional condition and also adding a new condition that would prohibit offsite accessory parking.
[119.00s -> 131.00s]  The property right now is an undeveloped tract, and that is proposed for future development for a retail mixed-use type project.
[131.00s -> 142.00s]  There were several property owners that joined this property that voiced opposition and would have signed a petition in opposition to this case.
[142.00s -> 158.00s]  However, since this property has interim zoning, interim zoning does not have a property that can be petitioned that would require a super majority vote of this council, because it's the initial zoning.
[158.00s -> 173.00s]  Had this been actually a rezoning from permanent zoning to permanent zoning, so in this case, if it was going from SF4A to the LRMU, then a petition right certainly could be exerted.
[173.00s -> 183.00s]  We would look at it, and if the land area represent 20% of more of the properties, it could require then the super majority vote at third reading.
[184.00s -> 192.00s]  That does not exist in this case, but certainly if there are petitions in opposition, then you know there are folks opposed.
[192.00s -> 203.00s]  At this time, I'll pause and we can let the agent come forward in those that are in favor and against the case to state their case.
[203.00s -> 207.00s]  Council, are there questions for Mr. Guernsey before we move on to the applicant?
[208.00s -> 215.00s]  All right, Ms. Glasgow, your first speaker is Mike Jeter in the hall.
[215.00s -> 218.00s]  Thank you Ms. Glasgow, you have six minutes.
[237.00s -> 255.00s]  Good afternoon, Mayor Adler, Mayor Pro Tem tovo and council members.
[255.00s -> 264.00s]  I'm Alice Glasgow representing the property owner, and I stress property owner, and that will become evident shortly.
[264.00s -> 267.00s]  As soon as the pop, my slides are loaded up.
[267.00s -> 271.00s]  I thought I'd introduce myself, and wish you a good afternoon.
[271.00s -> 277.00s]  Well, the slides are being loaded up.
[277.00s -> 287.00s]  The subject property is highlighted in red on the slides, and the area is owned, interim or residential.
[287.00s -> 301.00s]  We annexed this area in 2007, and with annexation, the properties that had an approved subdivision to the adjoining property got interim single family for a zoning because there were small lots.
[301.00s -> 306.00s]  And my client's property got its own interim, rural residential.
[306.00s -> 314.00s]  And on an interim, rural residential, you can just rebuild two homes because your requirement is to have one acre for each unit.
[315.00s -> 323.00s]  Our request is for LRMUCO, neighborhood commercial, because in listening to your last case,
[323.00s -> 328.00s]  the council member kitchen raised up concern about not having a context.
[328.00s -> 333.00s]  Well, the Imagine Austin comprehensive plan provides a context for this case.
[333.00s -> 343.00s]  The context being that in the concept that Imagine Austin plan identifies this project as being.
[343.00s -> 346.00s]  Yeah, we're going to have the language there.
[346.00s -> 358.00s]  As being located along an activity corridor, which is East Howard Lane, and activity corridors are intended to allow people to reside, work, shop and access services.
[358.00s -> 365.00s]  So as we've been hearing your discussions about services that are needed for residents,
[365.00s -> 376.00s]  this is a good example where the property, 2.3 acres, is at an intersection of an arterial and a neighborhood collector,
[376.00s -> 383.00s]  which meets all your planning principles about location, neighborhood commercial is appropriate at such a location.
[383.00s -> 391.00s]  It's also appropriate in serving the needs of the residents who live here currently and will also live here in the future.
[391.00s -> 402.00s]  You received a lot of support from Dia Wharton home builder, who will be developing approximately 584 lots at the terminus of cantara drive,
[402.00s -> 408.00s]  which will equate to approximately 1100 residents within the next 3 years,
[408.00s -> 414.00s]  and they would like to have a place where their residents can walk, live at work so they can walk and get a cup of coffee.
[414.00s -> 423.00s]  So kids can ride and get a nice cream cone, or just go have some coffee and drop off your laundry,
[423.00s -> 428.00s]  or get your nails done, or get your hair done. So that's the kind of service we provide.
[428.00s -> 436.00s]  The condition that the Planning Commission added, which is to prohibit offense at our request,
[436.00s -> 441.00s]  is that there is an interesting, and I'll just flip this forward.
[441.00s -> 450.00s]  I think I may have gone on too far to give you a, ooh, I may not have had the slide in there that I needed to use.
[450.00s -> 464.00s]  This slide shows you the cantara sign. The first 50 feet of the property is an easement that was given to the developer of the subdivision.
[464.00s -> 470.00s]  My client, Mr. Jeter, is the property of the land that is encumbered by the easement,
[470.00s -> 475.00s]  and also is the owner of the remainder of the property that is not encumbered by the easement.
[475.00s -> 484.00s]  So this is the way the property looked on April the 8th before offense was constructed.
[484.00s -> 489.00s]  This is the same property. This is cantara drive. There's no fence.
[489.00s -> 494.00s]  This is the landscaping that is in the air that was constructed by the cantara developer
[494.00s -> 502.00s]  for the homes in the back to provide an aesthetically pleasing entrance at the subdivision.
[502.00s -> 510.00s]  This is the fence that was constructed on April the 9th before the City Council hearing to prevent,
[510.00s -> 516.00s]  to have a grandfather fence which basically hides the property in the back.
[516.00s -> 524.00s]  The fence is, my client owns all of the land, including the easement that the developer has.
[524.00s -> 530.00s]  So we asked for a fence so that we would not be in this situation.
[530.00s -> 538.00s]  We realized that it's a private matter of regarding the easement between the easement holder and the property owner.
[538.00s -> 547.00s]  The city council in other cases in the past has approved other cases where you had a zoning change.
