Zoning Case: C14H-2010-0002
Meeting Date: 2010-08-19T00:00:00.000
Agenda Item: 52
Source URL: http://austintx.swagit.com/play/45422/0/
================================================================================

[0.00s -> 3.00s]  This is the
[3.00s -> 5.00s]  Culbertson House.
[5.00s -> 8.00s]  I'm sorry I had these out of
[8.00s -> 9.00s]  order.
[9.00s -> 10.00s]  The Culbertson House is
[10.00s -> 12.00s]  located at 2504 Bridal Path.
[12.00s -> 14.00s]  This is also recommended by the
[14.00s -> 15.00s]  staff, the landmark commission
[15.00s -> 17.00s]  and the planning commission.
[17.00s -> 24.00s]  The house was built in 1941 by
[24.00s -> 27.00s]  Olin and Mary Lou Culbertson.
[27.00s -> 29.00s]  The Culbertson House is
[29.00s -> 31.00s]  I'm going to be careful with my
[31.00s -> 32.00s]  adjectives here.
[32.00s -> 33.00s]  This is an excellent example of
[33.00s -> 35.00s]  southern colonial revival.
[35.00s -> 37.00s]  This is not a terribly rare
[37.00s -> 39.00s]  style in Austin, but this is one
[39.00s -> 41.00s]  of the best examples that I have
[41.00s -> 43.00s]  run across in the city.
[43.00s -> 45.00s]  This house has caught my eye for
[45.00s -> 47.00s]  many, many years on Bridal Path.
[47.00s -> 49.00s]  Southern colonial revival is
[49.00s -> 51.00s]  known for its symmetrical facade
[51.00s -> 52.00s]  which this has.
[52.00s -> 54.00s]  The central entry framed by
[54.00s -> 56.00s]  satellites and a transom and
[56.00s -> 58.00s]  then a monumental front porch
[58.00s -> 59.00s]  which this has.
[59.00s -> 61.00s]  A lot of people liken a house
[61.00s -> 63.00s]  like this to Tara from Gone
[63.00s -> 64.00s]  with the Wind, and this house
[64.00s -> 66.00s]  actually captures quite a bit of
[66.00s -> 68.00s]  that character here.
[68.00s -> 70.00s]  The house was built in 1941,
[70.00s -> 71.00s]  so this is actually a rather
[71.00s -> 73.00s]  late version of southern
[73.00s -> 74.00s]  colonial revival.
[74.00s -> 75.00s]  That was much more popular in
[75.00s -> 78.00s]  the 1920s and the 1930s.
[78.00s -> 80.00s]  The owners and occupants were
[80.00s -> 82.00s]  Olin and Mary Lou Culbertson.
[82.00s -> 84.00s]  Olin Culbertson came to Austin
[84.00s -> 86.00s]  to work for the Texas Railroad
[86.00s -> 87.00s]  Commission.
[87.00s -> 88.00s]  Prior to that, he had been the
[88.00s -> 89.00s]  judge up in Hill County, which
[89.00s -> 91.00s]  is where he grew up.
[91.00s -> 93.00s]  He worked as the chief examiner
[93.00s -> 94.00s]  for the Railroad Commissioner
[94.00s -> 97.00s]  in the 1930s, was terminated
[97.00s -> 99.00s]  from that job after he made
[99.00s -> 100.00s]  some rather unpopular
[100.00s -> 102.00s]  decisions, and then ran for
[102.00s -> 104.00s]  the Texas Railroad Commissioner,
[104.00s -> 106.00s]  which he won with the help of
[106.00s -> 108.00s]  the volunteer firefighters
[108.00s -> 110.00s]  unions that he's strongly
[110.00s -> 111.00s]  supported throughout his
[111.00s -> 112.00s]  career.
[112.00s -> 114.00s]  Culbertson was best known for
[114.00s -> 116.00s]  championing the rights of the
[116.00s -> 118.00s]  independent oil producers, and
[118.00s -> 120.00s]  his principal contribution was
[120.00s -> 122.00s]  the conservation of natural gas.
[122.00s -> 124.00s]  He enacted or helped enact
[124.00s -> 126.00s]  legislation that controlled
[126.00s -> 128.00s]  gas flaring off of oil wells to
[128.00s -> 130.00s]  help conserve that natural gas,
[130.00s -> 132.00s]  and he tried to keep business
[132.00s -> 135.00s]  in Texas by opposing pipelines
[135.00s -> 137.00s]  out of the state, thinking that
[137.00s -> 138.00s]  if businesses could locate
[138.00s -> 141.00s]  near the wellheads for oil wells
[141.00s -> 142.00s]  and gas wells in Texas, that
[142.00s -> 144.00s]  they would stay here rather than
[144.00s -> 146.00s]  depend on Texas gas being pumped
[146.00s -> 148.00s]  to wherever they might be.
[148.00s -> 152.00s]  He served as Railroad
[152.00s -> 153.00s]  Commissioner until he passed away
[153.00s -> 157.00s]  in 1961, so he had a run of 22
[157.00s -> 158.00s]  years.
[158.00s -> 160.00s]  His wife, Mary Lou, stayed in the
[160.00s -> 162.00s]  house until 1972.
[162.00s -> 164.00s]  James and Beverly Hood
[164.00s -> 166.00s]  purchased the house from the
[166.00s -> 168.00s]  Culbertson's daughter.
[168.00s -> 170.00s]  He was an orthopedic surgeon
[170.00s -> 172.00s]  and they lived here until 1986.
[172.00s -> 174.00s]  The current owners purchased
[174.00s -> 176.00s]  the house in 1996.
[176.00s -> 178.00s]  That's Gerald Torres, who's a
[178.00s -> 180.00s]  prominent professor of law at UT,
[180.00s -> 182.00s]  and a noted authority on
[182.00s -> 183.00s]  environmental and natural
[183.00s -> 184.00s]  resources law.
[184.00s -> 186.00s]  The house has significance for
[186.00s -> 187.00s]  its architecture.
[187.00s -> 188.00s]  This is one of the best examples
[188.00s -> 190.00s]  of southern colonial revival in
[190.00s -> 192.00s]  the city along with its association
[192.00s -> 194.00s]  with Olin Culbertson, who is
[194.00s -> 196.00s]  a champion of independent oil
[196.00s -> 198.00s]  producers and a one of Texas
[198.00s -> 200.00s]  first natural gas conservationists.
[200.00s -> 202.00s]  That concludes my presentation.
[202.00s -> 206.00s]  Questions?
[206.00s -> 208.00s]  And I believe this is also
[208.00s -> 210.00s]  ready for third reading?
[210.00s -> 214.00s]  Yes, sir.
[214.00s -> 218.00s]  Okay.
[218.00s -> 222.00s]  So, there's a discussion
[222.00s -> 224.00s]  on your attainable motion
[224.00s -> 226.00s]  on item number 52.
[226.00s -> 228.00s]  Council Member Spellman
[228.00s -> 230.00s]  moves to approve item 52,
[230.00s -> 232.00s]  staff recommendation,
[232.00s -> 234.00s]  seconded by Council Member
[234.00s -> 236.00s]  Cole, discussion.
[236.00s -> 238.00s]  Council Member Shade.
