Zoning Case: C14H-2014-0007
Meeting Date: 2014-12-11T00:00:00.000
Agenda Item: 151
Source URL: http://austintx.swagit.com/play/45651/0/
================================================================================

[0.50s -> 2.00s]  Brings us to 151.
[8.64s -> 10.84s]  Good evening, Mr. Mayor, Mayor Pro Tem, Council,
[10.84s -> 13.68s]  Steve Zidaski, the historic preservation office.
[13.68s -> 15.64s]  This is the second and third reading
[15.64s -> 19.84s]  for the Red River International House at 3805 Red River.
[19.84s -> 22.68s]  This was passed back in October by the Council
[22.68s -> 25.68s]  on first reading, vote of six to one.
[25.68s -> 27.96s]  There is a valid petition on this case.
[28.00s -> 32.12s]  Council Member Spelman asked if we could get some estimates
[32.12s -> 34.64s]  of the cost of repairs to this house.
[34.64s -> 39.04s]  I asked two contractors that are personally known to me
[39.04s -> 40.92s]  that have done work, that have been approved
[40.92s -> 42.52s]  by the Landmark Commission.
[42.52s -> 44.56s]  They're well known for their high quality of work,
[44.56s -> 48.56s]  so I trust their estimates implicitly.
[48.56s -> 51.56s]  We've already, this is the house to remind you
[51.56s -> 55.92s]  that we're talking about corner 38th and Red River.
[55.92s -> 63.72s]  And let me just get through this, sorry.
[63.72s -> 67.56s]  Here are some of the issues that they found inside
[67.56s -> 70.72s]  and outside.
[70.72s -> 72.72s]  I do want to say that both of these estimates
[72.72s -> 78.12s]  noted that the house is structurally sound
[78.12s -> 81.16s]  and the building is safe and the house is noteworthy.
[81.16s -> 84.92s]  So this reinforces the architectural significance
[84.92s -> 88.28s]  that was noted by the Council last time.
[88.28s -> 90.84s]  Wood-eye construction, Garland Turner,
[90.84s -> 94.88s]  has done a lot of work in Hyde Park throughout the city.
[94.88s -> 100.24s]  His estimate ranges from 287,374,000
[100.24s -> 104.24s]  for the necessary repairs to the house.
[104.24s -> 107.20s]  Eco-safe spaces as Doug Cameron has done a lot of work
[107.20s -> 111.04s]  on historic landmarks, very familiar with historic buildings.
[111.04s -> 115.04s]  His estimate is between 360 and 540,000
[115.04s -> 118.04s]  depending on the quality of the finish work.
[118.04s -> 124.16s]  Both of these estimates have ranges as far as what the quality
[124.16s -> 128.24s]  of the cosmetic aspects of it would be.
[128.24s -> 130.52s]  The owner's estimate that was submitted to you all back
[130.52s -> 134.84s]  in October is 476,685.
[134.84s -> 139.88s]  The appraised value of this house is 438,560.
[139.88s -> 141.64s]  And I broke it out for you.
[141.64s -> 144.60s]  It's interesting to note that TCAD notes this
[144.60s -> 147.48s]  as a non-home site improvement.
[147.48s -> 149.28s]  When I called them about it, they said,
[149.28s -> 152.00s]  that's for a non-residential structure.
[152.00s -> 154.04s]  When I asked them why would this be called
[154.04s -> 156.96s]  a non-residential structure, they didn't have an answer
[156.96s -> 163.04s]  that they could give me right away.
[163.04s -> 167.80s]  In looking at eco-safe spaces, Doug estimated
[167.80s -> 172.24s]  that the custom-designed whole house remodel
[172.24s -> 177.72s]  in Central Austin is roughly $200 to $300 per square foot.
[177.72s -> 182.48s]  In looking at houses currently for sale, in the 78705
[182.48s -> 187.28s]  and 78751 zip codes, which would be this area
[187.28s -> 189.92s]  of Central Austin, they are running $300
[189.92s -> 195.92s]  to $400 per square foot on their sales price.
[196.36s -> 199.24s]  There are a number, there are a couple that are 200
[199.24s -> 202.40s]  to 300 square feet, but these are generally condos
[202.40s -> 204.88s]  that are in apartment complexes.
[204.88s -> 208.80s]  So staff continues to recommend historic zoning
[208.80s -> 210.76s]  for this exceptional house.
[210.76s -> 212.96s]  This house can be repaired.
[212.96s -> 217.24s]  It can be repaired for under what the market value is.
[217.24s -> 222.56s]  So the estimate of 476 that would total this house
[222.60s -> 226.16s]  is not necessarily what could happen here.
[226.16s -> 227.64s]  It could be done for less.
[227.64s -> 230.68s]  The market value of this house is significantly higher
[230.68s -> 232.44s]  than the restoration cost.
[232.44s -> 234.88s]  And staff continues to contend
[234.88s -> 238.28s]  that this is a good candidate for landmark designation.
[242.20s -> 244.36s]  So you gave us a price per square foot.
[244.36s -> 247.12s]  What does that translate to for this house?
[247.12s -> 249.64s]  The sales price, potential sales.
[249.64s -> 252.76s]  $300 to $400 per square foot.
[252.76s -> 257.76s]  That would be 18 times three is.
[258.28s -> 259.48s]  How many times?
[259.48s -> 264.00s]  18 times three would be 50, 540.
[265.16s -> 268.04s]  54, 540,000.
[268.04s -> 269.12s]  Yes, yes sir.
[277.32s -> 278.88s]  That's the low end.
[278.92s -> 280.32s]  Yeah.
[280.32s -> 282.08s]  Council Member Spelman.
[282.08s -> 284.32s]  I was largely persuaded by the advocates
[284.32s -> 285.76s]  the last time we heard this case
[285.76s -> 287.44s]  by I'm fully persuaded with the addition
[287.44s -> 289.88s]  of the new information and Mr. Sadowski's argument
[289.88s -> 291.64s]  that this house is worth saving.
[291.64s -> 293.44s]  I'm of approval to the staff recommendation
[293.44s -> 294.72s]  on second and third reading.
[295.76s -> 297.48s]  Council Member Spelman moves approval
[297.48s -> 299.04s]  on second and third readings.
[299.04s -> 303.08s]  And this is a valid petition case
[303.08s -> 307.04s]  of six votes that pass on second and third.
[308.04s -> 311.72s]  Okay, Council Member, is there a second?
[311.72s -> 313.96s]  Let me ask if there's a second.
[313.96s -> 315.76s]  Council Member Morrison seconds.
[315.76s -> 317.40s]  Council Member Martinez.
[317.40s -> 319.96s]  Yeah, I didn't vote for this on first reading.
[319.96s -> 322.36s]  I certainly think the house is worth saving
[322.36s -> 325.76s]  and I certainly support, you know,
[325.76s -> 327.76s]  trying to do that whenever and wherever we can,
[327.76s -> 332.60s]  but I just feel like when we have a property owner
[332.60s -> 337.60s]  who is opposed to it that we're imposing
[338.60s -> 342.36s]  a six figure and as high as half a million dollar
[343.72s -> 346.30s]  financial position on a family,
[347.36s -> 351.60s]  that I just think rises to a greater level
[351.60s -> 352.82s]  of concern for me.
[355.12s -> 359.08s]  You know, if folks in the community feel like
[359.52s -> 362.88s]  let's just say, let's just speak from a city's perspective.
[362.88s -> 367.88s]  If we feel like this house is worthy of preservation,
[368.12s -> 371.52s]  then why isn't this Council creating a program
[371.52s -> 375.40s]  that would raise the funds via taxpayer dollars
[375.40s -> 378.16s]  through our budget process that would get to a number
[378.16s -> 380.40s]  where this family would sell it to us
[380.40s -> 382.40s]  so that we could preserve it?
[382.40s -> 385.16s]  I just think that there has to be something done
[385.16s -> 387.12s]  differently moving forward
[387.16s -> 389.44s]  because we're gonna see these cases
[389.44s -> 392.48s]  where individual property owners
[392.48s -> 395.12s]  don't want this imposed upon them.
[395.12s -> 398.40s]  And so if it is that much of a value to us,
[398.40s -> 401.60s]  then I'd like to see us in the budget process,
[401.60s -> 405.64s]  create a program or maybe Stevie already have some in mind
[405.64s -> 409.16s]  to where if you're willing to stand before us
[409.16s -> 411.48s]  and if our historic landmark commission is willing
[411.48s -> 413.72s]  to recommend to us when we move forward
[413.72s -> 416.08s]  then ultimately the Council will decide
[416.08s -> 418.16s]  that maybe it's purchasing that property
[418.16s -> 420.16s]  so that we can preserve it
[420.16s -> 423.28s]  and giving the family compensation
[423.28s -> 425.08s]  that they're willing to accept
[425.08s -> 426.60s]  so that they can move on
[426.60s -> 428.88s]  and we can preserve this piece of property.
[428.88s -> 432.12s]  But in this case, I just can't support imposing this
[432.12s -> 432.96s]  on the family.
[435.08s -> 437.04s]  Any other comments from Ryan?
[437.04s -> 439.36s]  But I agree that we need to be very cautious
[439.36s -> 442.84s]  about zoning any property historic
[442.84s -> 445.16s]  over a homeowner's objection,
[445.16s -> 447.20s]  especially when there are very significant
[447.20s -> 449.48s]  respiration costs involved.
[449.48s -> 452.08s]  I have taken a careful look at this house.
[452.08s -> 454.80s]  I want to thank the owners for gracious enough
[454.80s -> 456.72s]  to show me through the house this weekend
[456.72s -> 459.96s]  and I can certainly appreciate the difficulty
[459.96s -> 461.32s]  of the situation there.
[461.32s -> 465.12s]  They're clearly very committed to protecting the neighborhood.
[465.12s -> 466.44s]  That's why this house exists
[466.44s -> 469.28s]  is because out of concern for the neighborhood,
[469.28s -> 471.80s]  it does require a lot of work
[471.80s -> 476.08s]  as the photographs reflect.
[476.08s -> 479.16s]  But I'm also convinced that there is real value to the house
[479.16s -> 481.28s]  and that there are those out there
[481.28s -> 484.44s]  who would be willing to invest the funds necessary
[484.44s -> 487.16s]  to restore it to an appropriate condition
[487.16s -> 489.00s]  so that it could remain a house.
[489.00s -> 492.60s]  I'd say that as someone who did one of those foolish things
[492.60s -> 494.76s]  myself and actually it was crazy enough
[494.76s -> 496.00s]  to sink a lot of money into a home
[496.00s -> 498.64s]  that perhaps others wouldn't have considered worth it.
[498.64s -> 501.40s]  That strictly out of it, it became a labor of love
[501.40s -> 504.48s]  and I know there are many others who do likewise.
[504.48s -> 506.56s]  And seeing the house close,
[506.56s -> 509.12s]  I'm convinced that there are people out there
[509.12s -> 511.36s]  who would be willing to do that for this house.
[511.36s -> 512.92s]  It is, yes, it's certainly unusual.
[512.92s -> 517.84s]  Yes, it is at an intersection that does have a high level
[517.84s -> 520.44s]  of traffic on both streets.
[520.44s -> 521.60s]  So there are complications,
[521.60s -> 524.52s]  but the house really is fairly extraordinary.
[524.52s -> 526.92s]  Some of the things that make the house problematic
[526.92s -> 529.44s]  are actually those things that make it.
[530.44s -> 534.56s]  So historically significant, it was interesting.
[534.56s -> 536.24s]  One of the problems with this house
[536.24s -> 538.76s]  is it does have that flat roof,
[538.76s -> 541.24s]  which yes, flat roofs do have problems
[541.24s -> 544.04s]  and that's been widely discussed and written about
[544.04s -> 549.04s]  as one of the, it was one of the hallmarks of this period
[549.12s -> 552.12s]  as Steve has noted and has been much discussed
[552.12s -> 554.48s]  about by architects at this period.
[554.48s -> 556.72s]  And they did, from the beginning,
[556.72s -> 558.20s]  flat roofs created problems
[558.20s -> 560.84s]  and yet they were still a very significant part
[560.84s -> 562.52s]  of this architectural style.
[562.52s -> 565.96s]  It is part of architectural history.
[565.96s -> 567.08s]  It's part of Austin's history
[567.08s -> 569.36s]  and I think it meets the criteria
[569.36s -> 572.36s]  of our, for historic zoning.
[572.36s -> 577.36s]  So I think, while I really empathize with the family
[578.64s -> 582.00s]  and appreciate their concern for the neighborhood,
[582.00s -> 584.84s]  I'm gonna stick with my previous position
[584.84s -> 587.52s]  of supporting historic zoning in this case.
[589.04s -> 590.12s]  Any other comments?
[594.64s -> 596.60s]  Those in favor of the motion say aye.
[596.60s -> 597.44s]  Aye.
[597.44s -> 598.32s]  Both say no.
[599.28s -> 600.68s]  Pass us on to vote a six to one
[600.68s -> 603.20s]  with Councilor Martinez voting no.
[603.20s -> 604.04s]  Thank you, Council.
[606.84s -> 607.84s]  I don't feel aye.
[607.84s -> 608.68s]  Okay.
[615.64s -> 616.48s]  Okay.
[616.48s -> 617.32s]  Okay.
