Zoning Case: C814-2007-0009
Meeting Date: 2014-05-22T00:00:00.000
Agenda Item: 72
Source URL: http://austintx.swagit.com/play/45626/0/
================================================================================

[0.00s -> 15.00s]  And the local pub.
[15.00s -> 43.20s]  Thank you.
[43.20s -> 45.64s]  We are out of closed session and closed session.
[45.64s -> 53.72s]  We took up and discussed legal issues related to item 63 and 65.
[53.72s -> 63.28s]  We'll start with our consent zoning, but before we do, we're going to announce that the TIF
[63.28s -> 71.32s]  items, TIF items 181, 182 are withdrawn and since item number 22, that's due to a posting
[71.32s -> 77.64s]  error and item number 22, since it's related to those, is also withdrawn.
[77.64s -> 78.64s]  Mayor?
[78.64s -> 80.44s]  Councillor Spelman.
[80.44s -> 83.48s]  Well, we're cleaning issues up.
[83.48s -> 89.48s]  I neglected to mention that I have a paper on file, we're accusing myself on item number
[89.48s -> 90.48s]  7.
[90.48s -> 92.48s]  I forgot to mention that at the time of the vote.
[92.48s -> 95.56s]  I'm given to understand by our attorney, we don't need to reconsider the item.
[95.56s -> 99.00s]  I just need to make that announcement.
[99.00s -> 116.20s]  Will you show Council Member Spelman we're accused on item number 7, please?
[116.20s -> 120.04s]  Afternoon, Mayor and Council, Greg Guernsey, Planning, Development, and Review Department.
[120.04s -> 124.00s]  I'll go through our two o'clock zoning and you'll have to plan amendment items.
[124.00s -> 127.24s]  I can offer for consent.
[127.24s -> 138.00s]  Item number 66 is MPA 2014, 007.01 at 1005 Prairie Trail, that'll be a discussion item.
[138.00s -> 150.04s]  Item number 67, KC14, 2014, 0026 at 1005 Prairie Trail, this is also a discussion item.
[150.04s -> 155.84s]  Item number 68 is KC14, 2014, 003.
[155.84s -> 158.88s]  It's a property located at 1307 Waller Street.
[158.88s -> 165.92s]  I have an applicant request for postponement to June 26, this is their first request.
[165.92s -> 173.80s]  Item number 69, KC14, 2014, 0025 at 2117 and 2119.
[173.80s -> 179.88s]  North and Drive, this is a staff requested postponement for June 12th.
[179.88s -> 184.32s]  Item number 70 is KC14, 2014, 0029.
[184.32s -> 191.60s]  The property located at 2121 Northland Drive, this is a staff requested postponement to June 12th.
[191.60s -> 200.96s]  Item number 71 is KC14, 2014, 0035 for the property located at 4,300 Avenue G.
[200.96s -> 209.28s]  This is to change the zoning to family residents, neighborhood conservation, combining district, neighbor plan, or SF3, NCCD, and P,
[209.28s -> 212.00s]  combined district to change conditions of zoning.
[212.00s -> 216.92s]  The Planning Commission's recommendation was to unanimously recommend the SF3, NCCD,
[216.92s -> 219.76s]  MP, combined district zoning to change conditions of zoning.
[219.76s -> 223.32s]  This is ready for consent approval on all three readings.
[223.32s -> 234.88s]  Item number 72 is KC8, 14, 2007, 0009.01 for the property located at 8500 State Highway 71 West.
[234.88s -> 239.52s]  This is on the property to plan new and development, neighbor plan, or PUDMP,
[239.52s -> 242.36s]  combined district zoning to change conditions of zoning.
[242.36s -> 248.16s]  The Planning Commission's recommendation was to grant the PUDMP, combined district zoning to change conditions of zoning.
[248.16s -> 250.96s]  And this is ready for consent approval on first reading only.
[252.36s -> 259.08s]  Okay, so the consent agenda is to postpone item 68 until June 26.
[259.08s -> 266.36s]  Item 69 is postponed until June 12th, item 70 postponed until June 12th.
[266.36s -> 272.84s]  To close public hearing and approve on all three readings, items number 71.
[272.84s -> 276.40s]  And to close public hearing and approve on first reading on the item 72.
[276.40s -> 279.72s]  Council Member Spelman was approval.
[279.72s -> 283.12s]  Council Member Colle, seconds.
[283.12s -> 283.92s]  Discussion?
[283.92s -> 285.56s]  All in favor say aye.
[285.56s -> 286.14s]  Aye.
[286.14s -> 287.14s]  So say no.
[287.14s -> 289.38s]  Passes on a vote of 70-0.
[289.38s -> 290.18s]  Thank you, Mayor and Council.
