Zoning Case: C14-2011-0113
Meeting Date: 2011-11-10T00:00:00.000
Agenda Item: 101
Source URL: http://austintx.swagit.com/play/45485/0/
================================================================================

[0.00s -> 11.00s]  So, which currency that takes us to item number 101?
[11.00s -> 20.00s]  Yes, item number 101, as case C14, 2011, 0113.
[20.00s -> 28.00s]  This is for the property located at 608 East Caesar Chavez Street, a 1.738 acre tract of land.
[28.00s -> 38.00s]  That's requesting rezoning to CBD cure to add additional Florida error issue of 16 to 1.
[38.00s -> 43.00s]  And the property is currently vacant and used for parking.
[43.00s -> 52.00s]  The proposal would be to build a high-rise hotel with approximately 1,000 plus rooms.
[52.00s -> 57.00s]  It would also contain a three-meal restaurant underground parking.
[57.00s -> 70.00s]  It is located in our downtown area and an area that is currently zoned CBD that does not limit height on the property.
[70.00s -> 74.00s]  It has come to the several recommendations to you.
[74.00s -> 82.00s]  The downtown commission on July 20th met at a regular meeting and voted to support the project in concept.
[82.00s -> 93.00s]  The design commission on September 26th of this year voted to approve the support of the project as presented to them.
[93.00s -> 102.00s]  They had some comments about a bridge and requesting presentation of the schematic stage of the project.
[102.00s -> 110.00s]  The planning commission's recommendation that was made this past month was to approve the staff recommendation
[110.00s -> 112.00s]  with some additional conditions.
[112.00s -> 117.00s]  That there would be a minimum of 1,000 rooms.
[117.00s -> 121.00s]  That there's a parking developed underground.
[121.00s -> 123.00s]  That there's great streets and all four sides.
[123.00s -> 128.00s]  And that meets the downtown design guidelines.
[128.00s -> 133.00s]  And that was on a unanimous recommendation of 6 to 0.
[133.00s -> 140.00s]  The property is bounded to the north by other parking lots in zoned CBD to the south.
[140.00s -> 146.00s]  Is a CBD cure site and undeveloped parking to the east is GRH.
[146.00s -> 152.00s]  And Palm School and office into the west is CBD and restaurant.
[152.00s -> 162.00s]  It would be in an area that is in the convention center combining district.
[162.00s -> 170.00s]  Also note that the ordinance has been prepared in the ordinance itself.
[170.00s -> 177.00s]  It speaks to that if there is a hotel motel use that is at least 1,000 rooms on the property,
[177.00s -> 184.00s]  then the property may be developed with a floor to air ratio that could be 16 to 1.
[184.00s -> 190.00s]  So if it's not developed with a hotel motel use, then it would revert back to the 8 to 1 use.
[190.00s -> 199.00s]  So that if there is a hotel motel use with 1,000 rooms, that the parking facility will be constructed as underground parking.
[199.00s -> 203.00s]  In addition, there's a restricted covenant that has been prepared.
