Zoning Case: C14-2011-0047
Meeting Date: 2012-01-12T00:00:00.000
Agenda Item: 89
Source URL: http://austintx.swagit.com/play/44940/0/
================================================================================

[0.00s -> 5.38s]  And that brings us to our 2 p.m. Zoning cases
[16.38s -> 17.94s]  Thank you, mary council
[17.94s -> 20.44s]  Greg Guernsey planning development review department
[20.94s -> 28.88s]  I'll go through our two o'clock zoning and every plan amendment items. These are where the public hearings are open and there's possible action
[29.20s -> 33.40s]  The first item I'd like to offer for consent is item number 78 case npa
[34.40s -> 36.96s]  2011 0 0 1 5 0 1
[37.24s -> 39.80s]  This is for the property located at
[40.52s -> 42.52s]  6406 garden view drive
[42.92s -> 45.88s]  Located within the east MLK combined neighbor planning area
[46.40s -> 52.16s]  This neighborhood plan amendment staff is requesting a postponement of this item to February 2nd
[52.16s -> 56.72s]  I don't number 79 is case c14 2011 0 0 86
[57.20s -> 62.58s]  For the property again at 6406 our garden view drive. This is the related zoning case
[63.36s -> 69.86s]  And staff is requesting a postponement of this item to February 2nd item number 80 is case npa
[70.20s -> 72.20s]  2011 0 0 1 6 0 1
[72.96s -> 77.02s]  This is for the property located at 57 0 2 and a half Jan lien
[77.56s -> 85.70s]  Staff is requesting a postponement of this never plan amendment and staff is also requesting postponement of item 81 case c14
[86.70s -> 88.70s]  2011 0 0 82
[90.34s -> 96.18s]  For the same property 57 0 7 and a half Jan lien is post public to February 2nd
[96.70s -> 105.36s]  item number 82 case npa 2011 0 0 16 0 2 for the property located at 55 0 9 to 56
[105.90s -> 107.90s]  0 9 steward circle
[107.98s -> 113.98s]  Staff is requesting amendment or a postponement of this neighbor plan amendment to your February 2nd agenda
[114.54s -> 117.82s]  Item the related item item number 83 is case c14
[118.78s -> 120.78s]  2011 0 0 83
[120.78s -> 129.06s]  Oh, this is for the property located at excuse me 5200 balm road to 55 0 9 to 56 0 9 steward circle
[129.58s -> 135.34s]  Staff is requesting a postponement of this zoning case to your February 2nd agenda
[136.34s -> 143.14s]  Item number 84 is case npa 2011 0 0 23 0 1 for the property located at 6500 and
[143.62s -> 145.78s]  65 0 2 main road
[145.78s -> 151.04s]  Staff is requesting a postponement of this neighbor plan amendment to your February 2nd agenda
[151.62s -> 153.62s]  item number 85 is case
[154.14s -> 159.78s]  C14 2011 0 0 87 for the property located at 6500 main road
[160.30s -> 164.66s]  Staff is requesting a postponement of this zoning case amendment to February 2nd
[165.42s -> 169.42s]  Item number 86 is case c14 0 1 0 0 46 0 1
[169.78s -> 176.42s]  This is for the Hyde Park neighborhood conservation combining district. This is amendment to that district
[177.62s -> 185.66s]  To change zoning from neighborhood conservation district or nccd district to nccd district to change conditions of zoning
[185.66s -> 192.06s]  It's been recommended to you by the planning commission and is ready for consent approval on all three readings
[192.82s -> 200.50s]  I don't number 87 is case c14 0 4 0 1 96 0 3 for the north high park
[201.54s -> 204.86s]  Neighborhood, this is amendment to their nccd
[205.58s -> 207.58s]  to change zoning from
[207.58s -> 211.90s]  neighborhood conservation combined district neighbor plan or nccd mp to
[212.98s -> 220.06s]  Nccd mp to change conditions of zoning. This is also recommended to you by the planning commission ready for consent approval on all three readings
[220.70s -> 227.86s]  Item number 88 is case c14 2011 0 0 16 for the property located 201 east 34th Street
[228.18s -> 234.58s]  Staff is requesting a postponement of this item to your March 22nd agenda
[235.22s -> 242.34s]  Item number 89 is case c14 2011 0 0 47 for the property located at 801 South Lamar
[243.38s -> 245.38s]  This is a change zoning
[245.38s -> 253.34s]  from family residents or s3 district zoning to general commercial services vertical mixed-use building or csv combined district zoning
[253.90s -> 257.14s]  The planning commission recommendation was to grant the CSV
[257.70s -> 261.32s]  Combined district zoning. This is ready for consent approval on first
[261.94s -> 263.94s]  Reading only first reading only
[264.26s -> 272.06s]  Item number 90. This is case c14 2011 0 0 55 for the property located 12 502 dominant
[272.54s -> 273.66s]  Trail
[273.66s -> 278.90s]  Change the zoning to neighborhood office mixed-use or NOMU combined district zoning
[279.18s -> 285.98s]  The zoning and planning commission's recommendation was to forward this to you without a recommendation if you would like to consider
[286.54s -> 291.34s]  possibly the staff recommendation and take this I can say I could offer that or
[292.14s -> 299.54s]  You could consider this as a discussion item. That's up to you the applicant is agreeable to the staff recommendation
[300.46s -> 301.70s]  so
[301.70s -> 304.50s]  Just a zap recommendation because
[305.14s -> 307.98s]  They were deadlocked on this and couldn't achieve
[308.70s -> 312.42s]  They forded without a recommendation to get a other consideration
[312.86s -> 315.66s]  No, and actually this one back to the Commission once before
[317.42s -> 325.94s]  There's a staff recommendation the applicant actually amended the case to be less land area and less intense zoning when they originally asked
[326.42s -> 329.38s]  So staff is recommending it the applicants are agreeable
[329.38s -> 333.02s]  You have no zap recommendation and if you would like you could take this on
[333.54s -> 336.46s]  Consent if you would like to consider the staff for all three
[336.94s -> 342.14s]  It would be for I believe all three oh first reading first reading okay
[343.18s -> 347.98s]  We'll consider it that for the time being. Okay. Thank you mayor and council. I don't number 91
[347.98s -> 354.38s]  This case c14 2011 0 0 0 65 the property located 800 804 Congress
[354.78s -> 358.94s]  Avenue staff is requesting a postponement of this item to your February 2nd agenda
[359.62s -> 365.10s]  Item number 92. It's case 14 2011 0 0 93 for the property located
[365.98s -> 374.06s]  3707 Manchak Road. This is a zoning change request to multifamily residents medium density or MF3 district zoning the plan
[375.42s -> 382.62s]  The planning Commission's recommendation was to grant a limited office conditional overlay or LOCO combined district zoning for track one
[383.34s -> 387.98s]  multifamily residents low density conditional overlay or MF2 CO
[388.74s -> 396.78s]  Zoning for track two and multifamily residents medium density conditional overlay or MF3 CO combined district zoning for track three
[397.38s -> 403.10s]  Staff could offer this consent for third reading. We do have one citizen that would
[404.22s -> 407.46s]  Like to pull this off the agenda if they could speak
[408.22s -> 409.18s]  briefly
[409.18s -> 413.94s]  And we could leave it at a consent agenda. They would have no objection letting it go on consent
[414.62s -> 420.74s]  And that's entirely up to you if you'd like to hear the one individual otherwise they would like to have it as a discussion
[420.74s -> 426.14s]  I don't hey you're proposing it for consent on all three readings, but you want somebody to speak on it
[426.26s -> 428.26s]  Yes, there's there's a
[428.26s -> 429.66s]  No, I understand mayor mr
[429.66s -> 435.18s]  Bob Thompson was here. Are you still here if he wants to speak we have to pull it off your consent, okay
[435.70s -> 437.70s]  I
[437.70s -> 439.70s]  Know number 93
[439.86s -> 444.12s]  Will be a discussion item. This is KC 14 2011 zero one thirty six
[444.66s -> 450.88s]  I don't number 94 is KC 14 2011 zero one forty three for the property located
[451.86s -> 453.22s]  81 15
[453.22s -> 454.70s]  and a target drive
[454.70s -> 456.70s]  this is to change zoning to
[457.06s -> 463.50s]  limited industrial or L. I a district zoning the planning Commission's recommendation was to grant the L. I
