Zoning Case: C14H-2010-0004
Meeting Date: 2010-08-19T00:00:00.000
Agenda Item: 50
Source URL: http://austintx.swagit.com/play/45422/0/
================================================================================

[0.00s -> 2.00s]  Mr. Guernsey.
[2.00s -> 8.00s]  Yeah, so this time I'd like to introduce Steve Sadowski to present item 50.
[8.00s -> 13.00s]  And I think that was the first discussion item.
[13.00s -> 21.00s]  The Wupperman House.
[21.00s -> 28.00s]  Afternoon Mr. Mayor and members of Council, I'm Steve Sadowski, the historic reservation office, planning and development and review department.
[28.00s -> 38.00s]  Actually, the first one we're going to take up is the Culburson House at 2504 Bridal Path at C14H 2010 0 0 0 2.
[38.00s -> 40.00s]  Okay, so this is item 52.
[40.00s -> 41.00s]  Pardon me?
[41.00s -> 45.00s]  You're addressing item 52.
[45.00s -> 46.00s]  Is this not number 50?
[46.00s -> 47.00s]  I'm sorry.
[47.00s -> 48.00s]  Wupperman first?
[48.00s -> 49.00s]  52 is the Culburson House.
[49.00s -> 50.00s]  Okay.
[50.00s -> 51.00s]  Which one is 50?
[51.00s -> 52.00s]  Wupperman?
[52.00s -> 53.00s]  Wupperman.
[53.00s -> 54.00s]  Okay.
[54.00s -> 55.00s]  Then we'll go to that one.
[55.00s -> 57.00s]  That's the next one on that.
[57.00s -> 58.00s]  There we go.
[58.00s -> 60.00s]  Sorry for having these out of order.
[60.00s -> 61.00s]  Okay.
[61.00s -> 64.00s]  The Wupperman House is located at 506 Texas Avenue.
[64.00s -> 71.00s]  This was recommended by staff, the Landmark Commission, and the planning commission for historic zoning.
[71.00s -> 78.00s]  The House was listed as a priority one in a 1984 survey that was a city-wide survey of cultural resources,
[78.00s -> 81.00s]  mostly based upon the architecture of the House.
[81.00s -> 85.00s]  This House was built, excuse me.
[86.00s -> 94.00s]  In 1915, it's an excellent example of a queen and style house, and it has a very interesting history.
[94.00s -> 101.00s]  This was one of the very first houses built in what we now call North University area, Texas Avenue.
[101.00s -> 108.00s]  Mr. Wupperman bought this house, bought the property in 1914, built this house in 1915,
[108.00s -> 112.00s]  and at the time he was very much out in the country on the outskirts of town.
[112.00s -> 122.00s]  He had fruit orchards, vegetable garden, chickens, all kinds of things that you wouldn't even imagine being available to residents of this neighborhood at this point.
[122.00s -> 127.00s]  The Wupperman's were a very prominent German-American family.
[127.00s -> 136.00s]  Mr. Wupperman was actually born in Germany but came to Austin as a teenager, married Elsa von Rosenberg,
[136.00s -> 140.00s]  who was the daughter of a very prominent Austin-German family,
[140.00s -> 142.00s]  and they raised their family in this house.
[142.00s -> 145.00s]  Mr. Wupperman went to work.
[145.00s -> 148.00s]  He was in the hardware business, originally in Seguin, Texas.
[148.00s -> 156.00s]  Came up to Austin, went to work for H.H. boss, another very prominent German-American businessman in Austin.
[156.00s -> 164.00s]  And around the beginning of World War I, he went to the University of Texas to teach German,
[164.00s -> 168.00s]  but with the advent of the war, that program was cut out completely.
[168.00s -> 171.00s]  So he went back into the hardware business.
[171.00s -> 175.00s]  He worked as a bookkeeper for the Austin Gaslight Company.
[175.00s -> 179.00s]  He was a deputy collector for the Internal Revenue Service,
[179.00s -> 183.00s]  and then finally an auditor, accountant, and bookkeeper for the Becker Lumber Company.
[183.00s -> 187.00s]  As I said, he and his wife were very prominent in the German community here in Austin.
[187.00s -> 193.00s]  He brought a cousin over from Germany in the 1990s.
[193.00s -> 196.00s]  And right after World War II, this was Gunther Oswald,
[196.00s -> 199.00s]  who also lived in this house and spent his entire career here.
[199.00s -> 203.00s]  Mr. Oswald was a very prominent woodworker and wood refinisher, in fact,
[203.00s -> 208.00s]  was responsible for refinishing all the furniture in the governor's mansion.
[208.00s -> 211.00s]  Mr. Wupperman died in 1950.
[211.00s -> 215.00s]  His widow remained in the house until 1967.
[215.00s -> 219.00s]  They sold it to Francis Gurdes, who was a pioneer school teacher,
[219.00s -> 222.00s]  both at Gussetville and at Palm School.
[222.00s -> 225.00s]  And the current owner, Stephen Deats and Allison Gregory,
[225.00s -> 228.00s]  bought it several years ago and have restored the house.
[228.00s -> 232.00s]  The house, as I said, is a wonderful example of clean-end architecture,
[232.00s -> 237.00s]  and it really brings back a remnant of Austin that no longer exists.
[237.00s -> 240.00s]  This house, as I said, was out in the country when it was purchased,
[240.00s -> 246.00s]  and it's the only remnant remaining in this neighborhood of the type of lifestyle
[246.00s -> 250.00s]  that people enjoyed really up until World War II,
[250.00s -> 253.00s]  when this neighborhood really started getting filled in.
[253.00s -> 259.00s]  This is one of the very few farmhouses, actually, that remains within the city limits of Austin,
[259.00s -> 263.00s]  and staff recommends it as a landmark for that reason.
[272.00s -> 273.00s]  Excuse me?
[273.00s -> 276.00s]  I'm sorry, that concludes my presentation, Mr. Mayor.
[276.00s -> 278.00s]  Questions for staff?
[278.00s -> 280.00s]  Council Member Shade?
[283.00s -> 288.00s]  I'm looking across and realize that we have a couple that we're going to be looking at today,
[288.00s -> 295.00s]  but I'm trying to get a sense for when you use the phrase rare versus excellent example.
[295.00s -> 299.00s]  I mean, you're saying that there are no other houses,
[299.00s -> 304.00s]  no other clean-end style houses like this in this community?
[304.00s -> 306.00s]  No, no, I'm not saying that at all.
[306.00s -> 310.00s]  This is an excellent representation of the style.
[310.00s -> 313.00s]  It has nothing to do with how rare the style might be.
[313.00s -> 316.00s]  It's an excellent example, but we have many of these examples.
[316.00s -> 317.00s]  We don't have many.
[317.00s -> 322.00s]  We don't have many, not preserved to this extent.
[322.00s -> 326.00s]  This house is almost 100% intact.
[326.00s -> 331.00s]  So, it is virtually the same today as it was when it was built in 1915.
[331.00s -> 334.00s]  But I thought it has a significant addition to it.
[334.00s -> 337.00s]  Well, but you can't see that from the street.
[337.00s -> 343.00s]  The addition is on the back, and it's a historic addition that was put on by the Wuckerman family,
[343.00s -> 350.00s]  and then the restoration has been returning that to its original appearance.
[350.00s -> 354.00s]  Okay, so I'm just curious, because you know these landmarks that we have,
[354.00s -> 359.00s]  out of the 490 plus landmarks that we have in this community,
[359.00s -> 364.00s]  how many would fall into this category of queen-and-style?
[364.00s -> 368.00s]  Like, 5, 10?
[368.00s -> 373.00s]  Probably about, I would say between 10 and 20, that we've got as queen-and-style.
[373.00s -> 379.00s]  And this is actually a classical example, and I'm using classical with the capital.
[379.00s -> 386.00s]  See there, of queen-and, because queen-and encompasses a lot of different types of style.
[386.00s -> 394.00s]  It was, or styles, it was a Victorian style, obviously, very prominent and popular
[394.00s -> 400.00s]  during the 1880s through the 1920s at the very latest, actually hit its heyday,
[400.00s -> 405.00s]  probably around right at the turn of the century, 1890s to 1910.
[405.00s -> 410.00s]  So this is an example of the queen-and-style, and it's irregular-massing,
[410.00s -> 416.00s]  but it's also got a lot of classical details, again, with the capital C of the columns,
[416.00s -> 418.00s]  the gables.
[418.00s -> 423.00s]  It's a rather restrained example of queen-and, most of the time when you think of queen-and,
[423.00s -> 427.00s]  you're thinking of big turrets and leaded glass and stained glass windows
[427.00s -> 430.00s]  and irregular-massing and lots of big porches.
[430.00s -> 433.00s]  And this has a lot of that, but it's a very restrained.
[433.00s -> 439.00s]  This is really, it was a farmhouse when it was built, but it was built in a popular style at the time,
[439.00s -> 444.00s]  and it's an intact version of that style.
[444.00s -> 450.00s]  Okay, can you explain to me where you have in the backup, the estimated tax abatement?
[450.00s -> 460.00s]  This one says it's $94, $76 annual, and the city portion is 2000 capped.
[460.00s -> 461.00s]  What does that mean?
[461.00s -> 469.00s]  That means back in 2004, the Council enacted a cap on the amount of the city tax exemption
[469.00s -> 476.00s]  for historic landmarks designated after December 1st of 2004, and the city exemption was limited,
[476.00s -> 483.00s]  at that point, to the greater of $2,000 or half of the normal city tax bill.
[483.00s -> 487.00s]  It's not really a cap, it's actually a floor.
[487.00s -> 490.00s]  No, it's a cap, because actually the exemption-
[490.00s -> 496.00s]  But we didn't have that greater than, it would have been a smaller number than 2000.
[496.00s -> 503.00s]  Actually, the city exemption would have been a higher number, so this is actually the $2,000 is the cap.
[503.00s -> 508.00s]  I thought you said it's the greater of either.
[508.00s -> 520.00s]  Of right, but the city tax exemption would have been over $2,000, and half of the city taxes were less than $2,000.
[520.00s -> 524.00s]  So it's the greater of those two figures.
[524.00s -> 531.00s]  You take half the normal city tax bill, figure out what that is, and then you measure that against $2,000.
