Zoning Case: C14-2016-0125
Meeting Date: 2017-06-15T00:00:00.000
Agenda Item: 87
Source URL: http://austintx.swagit.com/play/45739/0/
================================================================================

[0.00s -> 2.40s]  Number 87, Ms. Eustin.
[2.40s -> 4.44s]  You said that there's an agreement here?
[4.44s -> 8.00s]  We think so, Mr. Resto, open it feels like start us off.
[8.00s -> 9.96s]  Mr. Mayor, Council Jerry Resto, I'm planning on zoning.
[9.96s -> 15.00s]  This is item 87, okay, C14, 2016, 0125, located at 13,
[15.00s -> 16.76s]  007, Ken Terry Drive.
[16.76s -> 18.38s]  Just to quickly refresh your memory of the issue
[18.38s -> 20.64s]  on this zoning case, the request of zoning
[20.64s -> 23.00s]  is from L.R. at MuCO to L.R. at MuCO.
[23.00s -> 25.88s]  The only condition that was requested to be changed
[25.88s -> 28.92s]  was the lifting of a CO that limited the trips to 2000
[28.92s -> 32.68s]  trips a day that was put on the case when this property
[32.68s -> 33.88s]  was last rezoned.
[33.88s -> 37.38s]  So the applicant came in, did submit a TIA that was reviewed
[37.38s -> 42.04s]  and approved by the staff for a 3,500 square foot convenience
[42.04s -> 43.72s]  store with eight gas pumps.
[43.72s -> 44.96s]  There was opposition to the case.
[44.96s -> 48.76s]  We had a public hearing at the last time we heard it all day
[48.76s -> 51.56s]  today or for a good part of today.
[51.56s -> 53.56s]  Council member Houston staff has been meeting with the neighbors
[53.56s -> 55.16s]  out in the lobby, and they've come to an agreement.
[55.16s -> 56.56s]  And if it's okay with the Council member,
[56.56s -> 59.44s]  read the conditions of that agreement into the record,
[59.44s -> 61.72s]  they would be to continue the CO that prohibits
[61.72s -> 64.92s]  offset accessory parking, which was in the previous case,
[64.92s -> 67.68s]  and that's simply a carryover, to prohibit
[67.68s -> 70.84s]  drive-in service as an accessory use of the property.
[70.84s -> 73.12s]  To provide a 25 foot wide of vegetative buffer,
[73.12s -> 74.68s]  she'll be placed and maintained along the north
[74.68s -> 77.12s]  and west property lines, to an eight foot fence
[77.12s -> 79.92s]  measuring 150 linear feet, parallel to the building,
[79.92s -> 82.32s]  she'll be constructed, that there is a limitation
[82.32s -> 84.16s]  of 5,000 square feet of building,
[84.20s -> 87.16s]  and that the fueling stations be limited to four.
[87.16s -> 90.00s]  So with that, we'd be ready for approval on first reading.
[91.00s -> 92.36s]  Is there a motion to approve this agreement
[92.36s -> 93.20s]  on first reading?
[93.20s -> 94.96s]  Ms. Houston, is there a second?
[94.96s -> 95.80s]  Ms. Poole?
[97.44s -> 100.16s]  Are there speakers that want to speak to this?
[100.16s -> 101.00s]  Okay.
[103.76s -> 106.40s]  Let's call the speakers as the applicant here.
[106.40s -> 107.24s]  Okay.
[113.12s -> 118.12s]  Is Nash, my hey, my hey's, my hey's now as an ear?
[118.32s -> 119.56s]  He's not here, Mayor.
[119.56s -> 120.40s]  Okay.
[120.40s -> 122.32s]  I'm going to give you five minutes, is that right?
[122.32s -> 123.16s]  Thank you, Mayor.
[123.16s -> 125.28s]  I'm Alice Plaskill representing the applicant
[125.28s -> 130.28s]  Unity 5 Investment LLC, and I will forego my presentation
[131.20s -> 132.80s]  and let the residents speak.
[132.80s -> 136.12s]  I would like to thank Council Member Houston
[136.12s -> 138.84s]  for hosting a meeting at the subdivision
[138.84s -> 141.68s]  with the residents about two weeks ago,
[141.68s -> 144.08s]  and I want to thank Council Member Houston staff
[144.08s -> 147.28s]  for assisting in facilitating meetings with the residents.
[147.28s -> 149.84s]  We were able to reach a compromise this evening.
[149.84s -> 152.52s]  The residents want to speak to you
[152.52s -> 156.20s]  about some concerns that have since there were annexed.
[156.20s -> 159.24s]  So I will pause here and just thank you
[159.24s -> 163.24s]  for your indulgence and let the citizens speak to you.
[163.24s -> 164.08s]  Thank you.
[164.08s -> 165.52s]  I really agree with it as it was read
[165.52s -> 167.12s]  into the record by Jerry.
[167.12s -> 167.96s]  Yes.
[167.96s -> 168.80s]  Thank you.
[168.80s -> 169.64s]  Thank you.
[169.64s -> 171.32s]  Yvonne Lopez.
[174.92s -> 176.40s]  And then Peggy Henderson.
[181.64s -> 182.96s]  You have three minutes.
[182.96s -> 183.80s]  Okay.
[183.80s -> 185.76s]  Good evening Council Members.
[185.76s -> 188.16s]  Council Member Houston, thank you so much
[188.16s -> 192.68s]  for hosting the meeting and expressing the concerns
[192.68s -> 195.84s]  of the residents in your district.
[197.64s -> 200.24s]  As previously mentioned, we did reach a compromise
[200.24s -> 201.52s]  and I'm very happy.
[201.52s -> 203.56s]  However, I would like to ask the Council
[203.56s -> 206.76s]  to evaluate the intersection and the interests
[206.76s -> 209.52s]  of public health, safety and welfare.
[209.52s -> 211.92s]  When our subdivision was annexed in 2009,
[211.92s -> 214.60s]  city improvements were not made.
[214.60s -> 216.32s]  There must be adequate infrastructure
[216.32s -> 218.84s]  to accommodate resident activity.
[218.84s -> 221.68s]  Some suggested items include,
[221.68s -> 225.84s]  but shouldn't be limited to installing stop signs
[225.84s -> 227.64s]  where yield signs are.
[227.64s -> 228.76s]  There are still yield signs
[228.76s -> 231.08s]  throughout the entire subdivision.
[231.08s -> 234.12s]  So some of the residents do come close
[234.12s -> 237.92s]  to getting into accidents because people still treat
[237.92s -> 240.92s]  those yield signs as yield signs.
[240.92s -> 242.40s]  You know, they don't stop.
[243.92s -> 247.68s]  In addition, we need to consider installing a street light.
[247.68s -> 249.80s]  It is a very dark intersection.
[249.80s -> 253.08s]  I have even at times almost missed my own subdivision.
[253.08s -> 255.16s]  I've been there for three years
[255.16s -> 257.24s]  because there is not adequate lighting
[257.24s -> 258.64s]  at that intersection.
[262.28s -> 266.84s]  We also request that y'all taking a consideration,
[266.84s -> 269.32s]  a traffic signal at that intersection
[269.32s -> 272.24s]  because with the additional traffic
[272.24s -> 273.68s]  that's gonna be coming and going
[273.68s -> 277.36s]  and then pulling into the convenience store,
[277.40s -> 280.60s]  it's possible that there's going to be accidents.
[280.60s -> 284.00s]  It's gonna be very difficult to get out of that subdivision
[284.00s -> 287.16s]  in the morning and it already is kind of difficult.
[287.16s -> 289.52s]  So I expect it to be even more.
[289.52s -> 294.52s]  So once the convenience store is built.
[298.40s -> 301.16s]  And then putting in an independent turn lane
[301.16s -> 302.76s]  on the westbound side of Howard
[302.76s -> 306.00s]  to allow for safe right turns into the subdivision.
[306.00s -> 308.08s]  And those are just a few recommendations
[308.08s -> 310.24s]  to increase resident safety.
[310.24s -> 312.52s]  I'm sure there's others that I haven't mentioned
[312.52s -> 315.44s]  and that is all that I have to speak to on that.
[315.44s -> 317.24s]  Thank you very much for your time
[317.24s -> 318.76s]  and consideration in this matter.
[318.76s -> 320.60s]  And again, thank you to you and your staff
[320.60s -> 322.72s]  for accommodating us.
[322.72s -> 324.00s]  Appreciate it.
[324.00s -> 324.84s]  Thank you.
[324.84s -> 325.76s]  Thank you.
[325.76s -> 327.48s]  Is Peggy Henderson here?
[330.76s -> 331.96s]  It's our last speaker.
[336.84s -> 340.12s]  Thank you, Mayor and Council members,
[340.12s -> 343.36s]  for the opportunity to speak.
[343.36s -> 345.48s]  I was at the zoning board meeting
[345.48s -> 349.92s]  and we had a lot of discussion about this construction.
[349.92s -> 352.64s]  We came to an agreement with developer Ms. Glassko
[352.64s -> 355.56s]  as he'd represent and we appreciate their time.
[355.56s -> 357.48s]  We appreciate your time.
[357.48s -> 361.20s]  Councilwoman Houston, who has also spent
[361.20s -> 364.48s]  a good amount of time with us on this.
[365.48s -> 370.48s]  I'm going to staunchly echo Ms. Lopez's comments.
[372.72s -> 375.36s]  And I would say that a traffic light
[375.36s -> 378.88s]  at the intersection of Kentera and Howard Lane
[378.88s -> 381.00s]  is not suggested, it is a must.
[382.24s -> 385.84s]  We are a couple of miles from the toll road
[385.84s -> 388.44s]  where there is now a light that is currently working
[388.44s -> 390.00s]  because they had a trip count
[390.00s -> 393.08s]  that caused the light to be functional.
[393.12s -> 394.84s]  We are but a couple miles from there.
[394.84s -> 399.16s]  That traffic is passing our subdivision.
[399.16s -> 402.76s]  So it has to go somewhere, it's passing us already.
[402.76s -> 403.88s]  And what I'm trying to say is
[403.88s -> 405.60s]  is that the traffic is already there.
[405.60s -> 408.60s]  There's already a need for this traffic light.
[408.60s -> 413.60s]  There is no lighting at the intern to our intersection
[415.20s -> 416.76s]  where this store is supposed to go.
[416.76s -> 419.44s]  So we're going to have traffic turning off of Howard Lane
[419.60s -> 423.80s]  and then traffic exiting the actual convenience store.
[423.80s -> 426.28s]  They're going to be doing this with no light.
[427.36s -> 429.72s]  And that's where our kids turn, that's where we live.
