Zoning Case: NPA-2013-0019.01
Meeting Date: 2014-01-23T00:00:00.000
Agenda Item: 77
Source URL: http://austintx.swagit.com/play/45605/0/
================================================================================

[0.00s -> 2.00s]  Mr. Garnsey
[8.76s -> 11.40s]  Mayor and Pro Tem Council Greg Guernsey
[12.44s -> 14.88s]  Liting a development view department. I'll go through our two o'clock
[15.96s -> 20.56s]  Zoning and paper plan amendment items. These are where there's public hearings are open. There's possible action
[21.28s -> 25.84s]  I'll go through the consent items first item all offers item number 77 in this case
[26.28s -> 29.72s]  NPA 20 13 0 0 19 0 1
[30.36s -> 32.86s]  This is to for the property located
[33.88s -> 35.08s]  At
[35.08s -> 37.08s]  7 10 East 41st Street
[37.28s -> 41.24s]  This is to approve second and third readings of an ordinance amending
[41.52s -> 48.84s]  The central Austin combined neighbor plan area of the Maginosa Caparines a plan to amend the future land use map for that sub
[48.84s -> 55.16s]  Same property from Civic to mixed land use staff would offer this for second reading only
[55.32s -> 60.32s]  An item 72 item number 78 is case c14 2013
[61.08s -> 62.64s]  0040
[62.64s -> 67.84s]  To approve second third reading of an ordinance for the property located 7 10 East 41st Street
[68.64s -> 69.40s]  and
[69.40s -> 77.48s]  This would be to zone the property to community commercial mixed-use conditional overlay neighbor plan or gr m u c o m p
[77.92s -> 84.46s]  Combining for tracks 1 and 2 and community commercial mixed-use conditional overlay historic landmark
[84.94s -> 88.30s]  Neighbor plan or gg hernsey. I need to stop you a moment
[88.30s -> 93.68s]  I need to adjourn the meeting of the Austin housing and finance corporation meeting
[94.38s -> 100.86s]  And call to order this meeting of the city council that being said mr. Jernsey you may continue
[102.86s -> 104.86s]  Thank you
[107.26s -> 112.18s]  And that would be to and community commercial mixed-use conditional overlay historic landmark
[112.58s -> 119.54s]  Neighbor plan or grm u co hmp combining district zoning for tract 1a with conditions
[119.98s -> 128.86s]  Staff would offer this for second reading only also. I understand a council member may want to add or clarify some additional conditions
[129.70s -> 131.70s]  For this item 78
[134.66s -> 140.26s]  Would you like to do that now sure I'd be very happy to we do not have to complete the consent agenda if you want
[140.34s -> 144.42s]  And you can do that right now. I'll do that even though that because the mayor's not here. Thank you
[144.98s -> 146.98s]  Talk about stepping out. Okay
[147.30s -> 151.62s]  And I want to let my colleagues know that you all have on a yellow sheet
[153.06s -> 158.02s]  What I'm the details of what I was going to what I'm going to motion
[158.50s -> 164.42s]  And we've had some really productive dialogue council member tovo myself as I have hosted dialogue between
[165.22s -> 167.54s]  the applicant Clark Lyda and
[167.86s -> 169.54s]  And
[169.54s -> 175.78s]  And his representatives and the neighbors that were nearby that were still in opposition still had concerns
[176.34s -> 179.70s]  And when we've come to a really good compromise
[180.18s -> 182.18s]  And what you'll see here is
[182.42s -> 187.22s]  There are three items in the motion and I'm not going to read the details of them
[187.54s -> 192.34s]  I'm just going to explain to you what they are one is that on track two, which is that
[192.90s -> 196.50s]  Track not on red river, but the one to the west of that
[196.90s -> 201.46s]  the number of hotel limits on that track will be limited to 20 hotel units
[202.50s -> 203.94s]  and then
[203.94s -> 205.94s]  under number two
[206.66s -> 208.66s]  What we're really doing is
[209.14s -> 215.78s]  Making sure that if there are for those hotel units on track two, they will be no closer than
[217.22s -> 222.18s]  175 feet from the they will be much farther separated from the northern boundary
[222.34s -> 225.14s]  175 feet from the northern zoning
[225.70s -> 230.98s]  Boundary line and that is 50 feet or 25 feet whatever. So it takes it about halfway
[231.06s -> 237.22s]  It will the hotels will only be in the southern half and then the third part is to prohibit
[238.74s -> 242.66s]  To only allow type one short-term rentals which are owner occupied
[243.46s -> 250.42s]  As opposed to the commercial more commercial non owner occupied and I do want to just briefly mention that in addition to that
[250.66s -> 256.26s]  There have been lots and lots of conversations and great agreements. Everybody's been very open to adjusting
[257.06s -> 264.50s]  To make additional agreements that will go into a private restrictive covenant to address and I'll just briefly mention
[265.22s -> 267.22s]  Restrictions on time shares
[267.22s -> 273.14s]  Additional specifications about how amplified sound will be managed
[273.62s -> 278.50s]  It's there's going to be a limit to surface parking lots, which I think should be good
[278.74s -> 280.10s]  there will be
[280.10s -> 282.10s]  some very specific
[282.10s -> 289.94s]  Capacities on seating restaurant seating both indoor and outdoor and that's come to a good conclusion as well as restaurant location
[290.58s -> 292.58s]  There are going to be
[292.98s -> 295.70s]  Some specifications about exactly how many events
[296.66s -> 300.18s]  What the capacity of the events are and when those events will occur
[300.90s -> 302.90s]  and then let's see the
[303.46s -> 306.34s]  Interior wall will be preserved as much as possible
[306.98s -> 309.22s]  And there are actually also a few
[311.22s -> 317.94s]  Restrictions on track three, which is no longer part of the zoning case, which is how many residential units there will eventually be
[318.50s -> 323.06s]  So I just want to thank everyone involved. It's really been a model
[323.54s -> 331.14s]  Of how people even though perhaps the applicant could have gone forward gotten four votes gotten six votes whatever
[331.94s -> 338.50s]  They were willing to really try and address the issues that the neighbors still had and I believe that this is going to bring everybody
[338.90s -> 345.30s]  To the table without in the opposition. So my motion is to adopt these very specific three things
[345.30s -> 347.94s]  I mentioned in the beginning on second reading
[348.98s -> 352.26s]  adopt the ordinance with these amendments on second reading
[352.90s -> 360.66s]  To bring it back for third and final reading next week on January 30th and also to keep the public hearing open
[360.90s -> 366.10s]  We don't expect that we'll necessarily need to have that but just to make sure people and so people can be comfortable
[367.38s -> 369.38s]  And I'd like to second member tova
[369.54s -> 374.58s]  I'd like to second that and just add my thanks to everybody who's participated as councilmember morrison said
[374.98s -> 378.98s]  There's been a really a lot of effort on all sides and the result is
[379.70s -> 382.90s]  Is very is very good and very positive and so I really applaud
[383.62s -> 387.06s]  All the individuals from the neighborhood from representing the developer
[387.86s -> 390.18s]  And all the city staff who have worked on this as well
[390.18s -> 393.30s]  I think we're going to have a very good result and it's a very exciting project
[394.18s -> 396.34s]  Thank both of you guys for your work councilmember morrison
[396.34s -> 401.06s]  It was my understanding that you made a motion as to items number 77 and 78. Is that correct?
[401.62s -> 407.62s]  Yeah, well, I think actually so 77 still on consent remember we were still in consent. Okay, so 78
[407.62s -> 411.86s]  Let's leave it on consent but with my amendment with your amendments and also planning
[412.66s -> 418.42s]  Excuse me public hearing stays open and it's only second reading and we're coming back to 30 at the end of 30
[418.98s -> 420.98s]  Okay, we forget so me
[421.06s -> 423.06s]  No, I think that's everything so
[423.06s -> 429.78s]  Councillor notolo when you read it into the record did you say 77 was on second reading only yes great did okay. Thank you
[431.46s -> 438.66s]  Okay, great. So that's 77 and 78 with councilmember morrison's additional comments as part of the consent agenda. You want to continue? Yes
[439.38s -> 441.38s]  I'm going to skip 79
[441.94s -> 443.94s]  and 80
[444.18s -> 447.86s]  It's a request neighborhood request for postponement to february 13th
[448.90s -> 452.10s]  And the applicant is agreeable only to a postponement of the 30th
[452.74s -> 457.46s]  So it'll be a discussion postponement on item 79 and 80
[458.50s -> 465.86s]  81 I understand we have one speaker in opposition. So 81 is now pulled for discussion
[468.26s -> 471.06s]  And let me just continue with the 82
[472.02s -> 474.02s]  82 is case c14
[474.58s -> 476.74s]  2013 0104
[477.30s -> 479.70s]  The property located at 1700 west avenue
[480.34s -> 485.46s]  This case has been withdrawn. No action is required of the city council for this item
[486.18s -> 489.70s]  item number 83 in this case c14 2013
[491.14s -> 496.18s]  0119 for the property located at 44 29 to voll street
[497.22s -> 499.22s]  This is a zoning change
[500.10s -> 501.70s]  request
[502.50s -> 504.50s]  to
[508.02s -> 512.50s]  Commercial liquor sales mixed use vertical mixed use building
[513.30s -> 518.74s]  Conditional overlay neighbor plan or cs 1 m u v c o m p combined district zoning
[519.22s -> 528.42s]  The planning commission recommendation was to grant the cs 1 m u v c o m p combined district zoning and that is ready for approval on all three
[528.98s -> 530.26s]  readings
[530.34s -> 532.34s]  Item number 84
[532.58s -> 535.38s]  Case c14 2013 0121
[535.94s -> 538.98s]  For the property located at 946 east 51st street
[539.38s -> 545.14s]  This is to zone the property to community commercial neighbor plan or g r mp combined district zoning
[545.62s -> 554.18s]  The planning commission's recommendation was to grant community commercial conditional overlay neighbor plan or g r c o m p combined district zoning
[554.66s -> 557.30s]  And this is ready for consent and approval on all three readings
[557.78s -> 560.90s]  Item number 85 this case c14 2013
[561.54s -> 563.38s]  0126
[563.38s -> 570.74s]  For the property located at 11,914 11,915 and 11,919 archiele drive
[571.62s -> 575.46s]  The applicant has requested indefinite post-ponement of this case
[576.66s -> 579.14s]  Prior to this case being rescheduled for your agenda
[579.78s -> 585.78s]  Staff will have to repost the appropriate public notices and mail public notices item number 86
[586.26s -> 587.78s]  case c14
[587.78s -> 590.34s]  2013 0133 for the property located
[590.82s -> 592.82s]  920 east of 53rd street
[593.22s -> 598.90s]  This is to zone the property to single family residents small lot neighbor plan or sf 4a
[599.62s -> 604.50s]  mp combined district zoning the planning commission's recommendation was to grant the sf 4a
[605.06s -> 609.30s]  mp combined district zoning and this is ready for consent approval on all three readings
[610.02s -> 616.90s]  Item number 87 is case c14 2013 0138 for the property located at 1401 west 6th street
[618.18s -> 626.90s]  This is the zone the property to community commercial vertical mixed use building neighbor plan or g r v mp combined district zoning the planning commission's recommendation
[627.94s -> 629.54s]  was to grant
[629.54s -> 635.46s]  Community commercial conditional overlay neighbor plan combined or g r c o mp combined district zoning
[635.94s -> 637.94s]  This is ready for consent approval
[638.66s -> 640.66s]  Only on first reading
[641.54s -> 643.14s]  item number 88
[643.14s -> 644.98s]  This case c14
[644.98s -> 648.02s]  2013 0142 for the property located at 22
[648.50s -> 653.22s]  O7 west palmer lane to zone the property to neighborhood commercial mixed use
[654.02s -> 657.86s]  Or l r m u combined district zoning the zoning planning commission's recommendation was to grant
[658.34s -> 660.34s]  neighborhood commercial mixed use
[660.50s -> 663.86s]  conditional overlay or l r m u c o combined district zoning
[664.58s -> 666.90s]  And this is ready for consent approval on all three readings
[667.78s -> 670.02s]  Item number 89 is case c14
[670.74s -> 678.10s]  2013 0143 for the property located at 3103 and 3105 west flatter lane
[679.70s -> 682.74s]  This is on the property to limited office conditional overlay or l o
[683.30s -> 685.14s]  co combined district zoning
[685.14s -> 692.82s]  The plan commission's recommendation was to grant the l o co combined district zoning. This is ready for consent approval on all three readings
[693.62s -> 697.22s]  Item number 90 is case c14 2013 0145
[697.78s -> 700.26s]  for the property located at 2416 cardinal loop
[700.82s -> 704.66s]  To zone the property to general commercial services or cs district zoning
[705.22s -> 708.66s]  The zoning planning commission's recommendation was to grant general commercial services
[709.30s -> 712.58s]  conditional overlay or csc o combined district zoning
[713.30s -> 716.50s]  This is ready for consent approval on all three readings
[717.06s -> 720.90s]  Item number 91 is case c14 2013 0146
[721.62s -> 725.70s]  For the property located at 11,901 anderson mill road
[726.10s -> 731.54s]  The applicant has requested a postponement of this case for one week to your january 30th meeting
[733.46s -> 735.54s]  Item number 92 is case c14
[736.18s -> 737.54s]  O2
[737.54s -> 739.22s]  0138
[739.22s -> 740.42s]  RCT
[740.42s -> 745.14s]  This is a restrictive covenant termination for the property located at 1120 tiller east street
[745.78s -> 752.42s]  The applicant has requested a one week postponement of this case to your january 30th meeting
[754.18s -> 756.18s]  Item number 93
[756.74s -> 761.86s]  And 94 we have several people that have signed up for these items
[763.62s -> 765.86s]  I'll just let council know that there's some
[766.50s -> 770.98s]  A lawsuit that was filed against the city related to
[771.70s -> 774.02s]  One of these items that is brought before you
[775.38s -> 779.22s]  If you want to give staff any guidance at this time regarding these two items
[780.42s -> 784.66s]  Correct, let's go ahead and leave them off of consent and then we'll discuss them very very good
[786.90s -> 789.38s]  So those are the items that I can offer for consent
[791.30s -> 794.02s]  Okay, great. That's fine. Pardon me. One more on the end here
[794.74s -> 795.94s]  case
[795.94s -> 799.62s]  95 case c8 14 2012 0 0 85
[800.10s -> 801.94s]  0.01 for the property
[801.94s -> 806.74s]  Located at 12 814 near state highway 35 south nfm
[807.22s -> 809.22s]  1327 or
[809.22s -> 812.74s]  pure year road at south ice 35 service road
[813.62s -> 818.98s]  Staff is requesting a postponement of this item to your march 20th agenda
[819.54s -> 821.38s]  That's item number 95
[821.38s -> 825.54s]  Okay, great. We'll go back through the consent agenda. I do want to point out that my
[826.50s -> 830.10s]  I'm showing a speaker signed up on item number 78
[830.90s -> 836.34s]  Which was a consent second reading on the period of state do you
[837.14s -> 842.82s]  It's I understand that the citizen does not wish to speak. Okay. This is on that item
[849.94s -> 851.94s]  Terry O'Connell
[853.38s -> 854.98s]  Okay, not here
[854.98s -> 857.62s]  Okay, let's go through the consent agenda
[858.18s -> 860.18s]  Greg I have 77
[860.98s -> 863.22s]  consent second reading 78
[863.86s -> 865.86s]  consent second reading
[866.50s -> 870.10s]  79 is for a potential postponement
[871.78s -> 874.10s]  Of the next consent item I have is 82
[874.90s -> 876.50s]  withdrawn
[876.50s -> 878.50s]  83 consent all three readings
[879.62s -> 884.34s]  84 consent all three readings 85 and meter per tem
[885.06s -> 891.38s]  Just so I'm clear on 77 78. I think the public hearings were to remain open the public hearings
[891.70s -> 893.70s]  and then on 83
[895.46s -> 902.02s]  And 84 I believe that's where we start where the public hearings are closed and then proving those
[902.50s -> 904.02s]  Okay
[904.02s -> 909.14s]  Let's let's do it one at a time. Let's go back to 77 and 78 and make clear that the public hearings
[909.62s -> 916.58s]  Are open but they are remaining on consent councilmember morrison and that they will be back in front of us for third reading on january 30th
[916.66s -> 919.06s]  And they will be back in front of us next week next week
[920.42s -> 922.42s]  Okay, and
[922.66s -> 924.66s]  Negreg you were saying
[925.22s -> 928.58s]  And then then going back to item number 83
[929.46s -> 936.42s]  For breaking in but how we were also going to be passing 72 on second reading as amended by councilmember morrison
[936.42s -> 938.42s]  70
[938.42s -> 940.42s]  78
[940.42s -> 942.90s]  78 as amended
[947.06s -> 950.82s]  So greg you were pointing I think back to 83
[951.46s -> 956.50s]  That's where we're offering the effort consent for three readings close the public hearing and approve on all three readings
[956.82s -> 958.82s]  Okay, item 83 and then 84
[959.54s -> 960.66s]  consent
[960.66s -> 962.66s]  Close the public hearing all three readings
[963.46s -> 969.14s]  85 and indefinite post bonnet 86 consent all three readings and close the public hearing
[969.62s -> 972.42s]  87 consent first reading only
[973.22s -> 974.74s]  88
[974.74s -> 978.98s]  consent all three readings 89 consent all three readings
[979.54s -> 984.26s]  90 consent all three readings 91 a post bonnet
[985.30s -> 988.66s]  92 also a post bonnet
[989.30s -> 996.42s]  93 and 94 we are take are not on consent. We're going to discuss those and 95 is a post bonnet from staff
[998.26s -> 999.62s]  Is that correct?
[999.62s -> 1001.14s]  council members filming
[1001.14s -> 1005.86s]  might I also add that 91 and 92 were going to be postponed until the 30th of january
[1006.58s -> 1014.58s]  And the 95 was going to be postponed until the 20th of march was that's correct march. Okay, and and that we were closing the public hearings
[1015.70s -> 1017.70s]  proving first reading on 87
[1018.74s -> 1023.78s]  and then closing the public hearings also on 88 89 and 90
[1024.74s -> 1026.74s]  Okay
[1028.34s -> 1031.78s]  So the public hearing was closed on all the ones that went consent all three
[1032.90s -> 1034.90s]  Is the clerk clear?
[1034.90s -> 1036.90s]  Okay
[1037.06s -> 1042.74s]  We have a motion to approve the consent agenda seconded by council member Morrison all those in favor say aye
[1043.14s -> 1047.06s]  aye those opposed say no that passes on a vote of six to zero
