Zoning Case: C14-2009-0162
Meeting Date: 2010-04-08T00:00:00.000
Agenda Item: 45
Source URL: http://austintx.swagit.com/play/45413/0/
================================================================================

[0.00s -> 3.44s]  And that brings us to item 45. That's correct
[3.96s -> 14.48s]  Meering Council item number 45 this case 14 2009 0 1 16 new to for the property looking at 11 9 0 2 North interstate highway
[15.04s -> 19.94s]  35 service road southbound. This is for the AA a
[20.60s -> 22.12s]  limousine
[22.12s -> 23.12s]  company
[23.12s -> 28.60s]  The request is to change the zoning on the property from limited office or elo district zoning
[29.04s -> 33.76s]  To community commercial conditional relay or GRCO combine mr. Exoning
[34.40s -> 36.40s]  the property is a
[37.92s -> 38.92s]  auto rental
[38.92s -> 40.40s]  facility
[40.40s -> 45.96s]  And specifically that rents for limousine type services to the public
[47.00s -> 54.20s]  The zoning planning commission's recommendation was to approve the staff recommendation with several conditions
[54.64s -> 61.64s]  One that the auto rental be the only permitted GR use and allow other LR uses on the property
[61.88s -> 65.44s]  That there being no 24-hour uses permitted in the site
[65.76s -> 70.80s]  There's a 25 foot vegetative buffer be provided along the Western property line
[70.80s -> 77.24s]  And this would be adjacent to the existing single family neighborhood that the placement of new trees be
[77.68s -> 84.14s]  placed in the 25 foot vegetative buffer is recommended by the city arborist and that there are tree
[84.20s -> 89.80s]  Preservation or tree wells for the preservation of trees in the site that would be
[90.80s -> 95.96s]  Basically removing asphalt or pavement within the drip line of these existing trees
[96.72s -> 98.72s]  the applicant has been
[99.16s -> 105.64s]  Had conversations with our city arborist Michael and busy and has agreed to some additional
[106.28s -> 109.48s]  conditions that would modify the
[109.48s -> 114.40s]  The commission's recommendations and those would be to include
[115.24s -> 122.36s]  The following to establish a natural buffer a minimum of eight evergreen or class one or two
[122.80s -> 129.64s]  Trees that are utility compatible trees that are established along the entire Western perimeter of the property and
[130.20s -> 136.68s]  To enhance the long the care and longevity of the large Oaks located in the middle of the lot of natural
[137.68s -> 144.72s]  Preserve ten foot radius be established and maintain along the northern and eastern portions from the tree trunks
[145.60s -> 154.60s]  Additionally that the natural buffer is extended to the property lines on the southern and western portions from these tree trunks and in the situation where
[154.60s -> 157.28s]  A ten foot buffer is allowed to being coached upon
[157.88s -> 162.84s]  It's limited to to no canopy and root zone impacts that would be allowed
[163.36s -> 170.08s]  Example would be an area used for sidewalks or parking spaces and so these would be modifications to
[170.32s -> 176.80s]  These owning and planning commissions recommendation that the owner has agreed to also the owner
[177.80s -> 179.80s]  In talking with my staff
[180.16s -> 185.64s]  spoke to the 24-hour issue that their hours would typically be
[186.36s -> 187.60s]  from
[187.60s -> 191.24s]  3 a.m. to probably 8 a.m. That they would be closed
[191.24s -> 196.24s]  Normal office hours would probably be daily from 8 to 5
[196.24s -> 201.68s]  They given the nature of the business of limousines coming back from being serviced
[202.16s -> 207.04s]  Or their primary service out in the field it would not be uncommon for a vehicle to come back after midnight
[207.76s -> 213.12s]  Where the driver would bring the car in park the car and then lock up and then leave in their own vehicle?
[213.12s -> 220.60s]  And there's a at least one neighborhood person here. I believe that that would like to speak to this application
[221.60s -> 222.96s]  and
[222.96s -> 228.80s]  The adjacent uses to the north the property zone GRCO and CS
[229.40s -> 236.56s]  There's an existing Hertz auto rental business and office uses to the south as other offices owned L.O
[237.68s -> 241.76s]  as I mentioned to the west is a single family neighborhood zone SF one and
[241.76s -> 247.16s]  That further on the east side. This is mentioned is along the furniture and a vice-35
[248.00s -> 254.40s]  It's time I'll pause if you have any questions the applicants agents are here and as I said before I believe there's a neighborhood
[254.40s -> 256.40s]  represented here that would like to speak to this case
[257.48s -> 261.56s]  First of the staff will go to the applicant's presentation
[263.00s -> 264.44s]  welcome
[264.44s -> 266.44s]  Mr. Mccotta
[266.44s -> 268.44s]  You
[268.44s -> 276.18s]  Have five minutes good afternoon mayor left and well council members. My name is Phil Mccotta. I'm the agent for the above-referenced project
[276.92s -> 278.20s]  I
[278.20s -> 280.20s]  Be very brief
[280.20s -> 284.32s]  To date my client has been on this site for seven plus years
[284.76s -> 292.12s]  What initiated the zoning change was the fact that one of his employed disgruntled employees burned started a fire and burned the
[292.40s -> 294.40s]  structure that used to be there and
[294.80s -> 296.40s]  And so
[296.40s -> 301.60s]  To the best of my knowledge. I did check with code enforcement as far back as the
[302.36s -> 307.04s]  February the third and I was told that there were no code violations at this location
[307.84s -> 314.12s]  Even though we don't have the correct zoning. I do have numerous letters of support from the neighbors and local businesses
[314.12s -> 319.84s]  And we actually have one of those letters of support is from the neighbor that's directly behind the subject track
[320.16s -> 325.16s]  We do have an existing six-foot privacy fence with a small portion of chain link
[325.80s -> 328.68s]  But that is the specific area where we have already
[329.80s -> 332.80s]  Well, I spoke to my client and he directed the contractor
[333.00s -> 337.84s]  We've already removed 25 feet of asphalt that used to go all the way to the back property line
