Zoning Case: C14-2009-0071
Meeting Date: 2009-11-05T00:00:00.000
Agenda Item: 64
Source URL: http://austintx.swagit.com/play/45400/0/
================================================================================

[0.00s -> 7.14s]  And I believe Mr. Guernsey that takes us to item 64. That's correct. I don't know 64 is case c14
[7.54s -> 14.88s]  2009 0 0 71. This is known as the arrow AC property located at 11 6 0 6 North
[14.88s -> 16.88s]  I-35 service road southbound
[17.88s -> 19.88s]  the property right now is
[20.72s -> 27.44s]  0.87 acres in size it's delivered on developed with heating and air conditioning company
[28.28s -> 31.28s]  Previously the property had been used as a restaurant
[31.72s -> 33.72s]  the zoning request is from
[34.12s -> 36.12s]  LR which is more of a neighborhood
[36.68s -> 44.80s]  commercial type of zoning district to CS which is a general commercial services zoning district there is a conditional overlay that the
[45.36s -> 47.36s]  owner is agreeable to add
[48.76s -> 55.96s]  LR uses plus one CS use construction sales and service and there's a triple imitation of 2,000 trips
[55.96s -> 63.80s]  The owner would like to add an additional use and I just spoke to the owner's agent mr. Phil makata
[64.40s -> 69.24s]  A moments ago and he had asked for only two uses is not three uses
[69.24s -> 72.00s]  I as I had mentioned through the consent agenda
[72.44s -> 80.84s]  The only two uses that he would ask for the council to consider would be to add auto rentals and auto sales as
[81.36s -> 84.60s]  additional permitted uses on the property
[85.16s -> 87.96s]  To what the commission staff have recommended
[88.48s -> 91.56s]  the request for sir funeral services
[92.16s -> 97.72s]  Has been withdrawn as an additional use the property in questions located at the south
[98.36s -> 101.20s]  What's corner of ice 35 and middle arc Avenue?
[101.80s -> 108.92s]  Middle arc goes back into a single family neighborhood the council approved very similar zoning
[109.88s -> 116.32s]  Without the auto sales and auto rental on the property immediately to the south. It was known as the text our waterproofing company
[117.20s -> 120.56s]  That is immediately south. It's also zoned CFCO
[122.60s -> 126.40s]  If you have any questions will be happy to answer them this time. I think I'm mr.
[126.40s -> 128.40s]  Cott is here to make a
[128.52s -> 130.52s]  presentation on behalf of the applicant
[130.52s -> 134.64s]  So are you ready for first reading only? We are ready for first reading
[135.20s -> 141.00s]  Only at this time and if you had those additional conditions, they would be added in if that's your desire
[141.00s -> 143.66s]  Okay, thank you mr. Mccata. Did you want to?
[144.72s -> 145.88s]  your
[145.88s -> 147.72s]  not signed up
[147.72s -> 149.72s]  Please feel free to make presentation
[150.76s -> 157.68s]  Thank you, mary left me well pro tem and council members. I'm fieldman cott. I'm the agent for aero AC and
[160.44s -> 164.44s]  I worked on the case right next door one of the reasons
[165.20s -> 168.20s]  That well one of the things we did we met with the neighborhood
[168.60s -> 172.24s]  We had a different perspective from various people in the neighborhood
[172.24s -> 178.76s]  But one of the things we also agreed to do was not to take access through the street directly north of us metal arc
[179.64s -> 184.64s]  We explained to the neighborhood that my client has been there for almost two years
[184.64s -> 192.72s]  And we're just trying to basically change his zoning to make him so he can legally be there operating his business
[193.04s -> 197.76s]  The neighborhood has also stated to us that they're very happy with this particular business
[197.76s -> 202.48s]  And it's been one of the cleanest businesses and the property has been maintained
[203.16s -> 205.76s]  So there was no issues from that perspective
[206.28s -> 209.48s]  I'm available to answer any additional questions
[209.48s -> 216.68s]  But I do want to state that if he does try to utilize any of these other uses that he chose to request
[217.12s -> 219.12s]  we will have to apply for
[219.88s -> 224.88s]  Some type of site plan to verify we have adequate parking because at this time and other
[225.48s -> 232.64s]  Requirements of the LDC, but at this time we didn't have any and I didn't have any knowledge of any intent to do any
[233.28s -> 236.72s]  Modifications to the site as is as it exists at this time
[237.36s -> 240.92s]  We also had letters of support from the adjacent property owners
[241.92s -> 243.24s]  Thank you
[243.24s -> 244.76s]  and so
[244.76s -> 246.76s]  just to clarify
[246.80s -> 249.76s]  The staff and Zapp recommended
[250.80s -> 256.32s]  CSCO with the only CS uses allowed as being construction sales and services
[256.96s -> 262.38s]  And you're wanting to add auto sales and rentals to that list of CS uses
[262.48s -> 265.08s]  Yes, sir, because the owner has approximately
[265.64s -> 272.88s]  3,000 square feet in the building that he currently does not utilize and with the downturn in the economy
[273.04s -> 274.52s]  He's looking for
[274.52s -> 281.32s]  Basically an opportunity to potentially create additional income and the last thing we are actually right on the service road
[282.28s -> 289.60s]  Approximately a quarter mile from the breaker lane on the access road. We're not in on any part of the actual neighborhood
[289.60s -> 292.16s]  We front the highway. Okay. Thank you
[294.80s -> 296.48s]  Council
[296.48s -> 298.00s]  Councilmember shade
[298.00s -> 302.40s]  Sorry, tell me again why you didn't ask for this it's me why again
[302.40s -> 304.72s]  Did you not ask for this when you came before the Zapp?
[307.32s -> 313.72s]  There was some this communication it's that where they were asking why we didn't consider doing WLO
