Zoning Case: C14-2013-0149
Meeting Date: 2014-02-27T00:00:00.000
Agenda Item: 64
Source URL: http://austintx.swagit.com/play/45610/0/
================================================================================

[0.00s -> 4.94s]  Mr. Guernsey will take us through the consent agenda of our two o'clock at it's
[7.54s -> 15.58s]  Thank You mary council Greg Guernsey planning and building v. Department our two pms zoning ordinance restrict covenants where hearings are closed and our 2 p.m. Zoning
[15.78s -> 22.38s]  Neighborhood plan amendments where hearings are open. I'll go through our consent items that I could offer you at this time item number 60
[22.74s -> 29.34s]  Kc 14 2013 0 0 83. This is for the property at 24 16 e-6 Street
[30.02s -> 34.80s]  The applicant is requesting a post-ponement of this item to March 6
[35.50s -> 38.90s]  This is our first request. They're finishing up by a restricted covenant
[39.58s -> 42.34s]  Item number 61 and 62 are related
[43.34s -> 50.42s]  This is Kc 8 14 88 0 0 0 1.01 for the 800 block on North Capitol, Texas Highway
[50.98s -> 56.98s]  Item number 62 is Kc 8 14 88 0 0 0 0 1 RCA for that same address
[56.98s -> 60.50s]  Which involves a restricted covenant you're saying there's a council
[61.26s -> 67.46s]  Member that may wish to give staff some direction with regards to both of these items
[68.74s -> 70.74s]  Councillor Marcia
[70.74s -> 72.74s]  Thank You. Yes, I
[72.90s -> 77.62s]  Under I would like to direct staff to bring this back for a third reading next week
[77.78s -> 83.90s]  But with some language that requires compliance with the current watershed protection ordinance
[84.98s -> 88.98s]  And as it's meant as it's amended from time to time except
[89.38s -> 94.94s]  For the net site and previous cover regulations for our multi-family residential project
[95.38s -> 102.46s]  So basically so that we can be prepared to incorporate into the ordinance that it followed WPO except for the impervious cover
[103.46s -> 108.22s]  And so that's direction that that's on item 61 and 62
[110.42s -> 114.66s]  Is there any objection to from any other council member
[115.66s -> 121.34s]  Let's deal with item 61 first since it's in a different category postponing this item until
[122.06s -> 124.66s]  March 6 with the direction
[125.50s -> 128.78s]  Just spelled out by council member Marcin we could leave it on consent
[129.50s -> 133.10s]  Is there any objection there is objection we'll take that off a consent
[133.10s -> 138.14s]  I don't think I have objection, but I have additional direction. So however, you'd like to handle that as fine as me go ahead
[138.62s -> 140.62s]  so it and
[140.62s -> 142.62s]  I would like to
[142.62s -> 149.50s]  Also direct staff to bring back some additional language at third reading and this would be to require five percent of the residential units for sale
[149.50s -> 154.90s]  Or rent to be affordable to a household whose income is 60% or below the median family income
[154.90s -> 160.34s]  In the Austin metropolitan statistical area and that these units remain affordable for 40 years
[160.90s -> 164.74s]  From the date of the certificate of occupancy for rental units and 99 years
[165.30s -> 169.94s]  from the date of from the certificate of occupancy for sale units, and it's my
[171.06s -> 172.90s]  understanding that
[172.90s -> 179.46s]  Really this developed out of conversation with the developer and his representative and they have an interest in doing some affordable housing
[180.26s -> 181.90s]  within these
[181.90s -> 189.22s]  Units and and that is there well before going let me get clarification your direction is to include in this zoning case
[189.38s -> 192.90s]  Directions to include a certain percentage of affordable housing
[194.70s -> 199.58s]  What don't I invite their developer representative up they have an interest in doing well
[199.58s -> 202.50s]  I first of all I'd like for the city attorney to weigh in on that
[207.42s -> 209.42s]  Council generally
[209.42s -> 211.42s]  we cannot include
[211.90s -> 217.26s]  provisions that set maximum price for housing in a
[218.22s -> 224.94s]  Zoning ordinance, but if this is we have in our current zoning ordinance for the putt
[225.90s -> 227.58s]  a
[227.58s -> 229.90s]  Way for
[229.90s -> 236.22s]  developers to provide certain things that are in excess of the just the regular
[236.22s -> 243.74s]  Provisions and so that does provide give us a way to do the but this is not a putt
[244.06s -> 250.34s]  This is a putt. It says a putt. This is okay. So why don't I do this a different way? This is actually a proposal that
[251.06s -> 254.74s]  The developer representative did why don't I invite mr. Subtle up to
[255.18s -> 262.18s]  Let me just say I will pull item 61 and 62 off a consent. Let's go ahead with the rest of the consent agenda
[262.18s -> 269.10s]  Thank you, mare item number 63 case 14 2013 0 0 81
[269.62s -> 277.06s]  We have the applicant post poment of this case at 5 17. He's told Altor Street to your
[279.26s -> 281.26s]  March 20th agenda
[282.50s -> 287.98s]  Item number 64 case C 14 2013 0 1 49 for the property located at
