Zoning Case: C14-2013-0048
Meeting Date: 2013-08-22T00:00:00.000
Agenda Item: 111
Source URL: http://austintx.swagit.com/play/45588/0/
================================================================================

[0.00s -> 2.00s]  What's next?
[2.00s -> 4.00s]  11
[5.00s -> 7.00s]  Hold on to say
[12.52s -> 14.52s]  Okay, 111
[14.68s -> 20.36s]  Thank you, man council our last zoning case this evening is case c14 2013 there's over 48
[20.36s -> 25.32s]  This is item number 1111 on your agenda for the property located 3715 Westlake Drive
[25.56s -> 34.28s]  This is a zoning change request involving two tracks one being a point six two three acres and one being a point six three eight acres
[35.16s -> 43.88s]  The zoning change request for from the lake Austin residents or LA district zoning to a single family residential standard lot or SF 2 district zoning
[44.36s -> 49.32s]  Staff did recommend the SF 2 district zoning. However, the zoning and planning Commission
[49.88s -> 51.88s]  failed to reach a
[51.88s -> 59.76s]  Vote that was affirmative either to deny or to recommend approval of this it was a 3-3 vote
[60.88s -> 64.52s]  So that motion failed and it was forward to you without a recommendation
[65.36s -> 67.36s]  the lot is currently
[67.96s -> 69.96s]  Developed with a home from 1977
[70.84s -> 75.60s]  And that was plated back on a subject implies goes back to 1915
[75.60s -> 82.68s]  The average lot size for all the lots in this area are about 30,000 square feet and which is about
[83.20s -> 89.20s]  13,560 square feet short of the minimum lot size for the LA district
[89.84s -> 92.44s]  Earlier this evening at a chance to speak with
[93.08s -> 101.34s]  Chuck Lizniak our environmental officer because there have been concerns raised about development of this parcel on Long Lake Austin
[102.34s -> 108.54s]  And mr. Lizniak actually is going to go to have a site visit of this property within the week and we'll probably come back
[108.54s -> 110.54s]  And I think it's tentatively worked out some
[112.22s -> 115.98s]  Additional conditions that the applicant is accepting of
[116.70s -> 119.90s]  But she's not prepared to offer those this evening
[120.50s -> 123.34s]  So we would offer this for first reading only
[123.66s -> 125.66s]  It's discussion because you do not have a
[126.38s -> 128.86s]  Recommendation before you before the zoning and planning Commission
[128.86s -> 137.46s]  I believe the only speakers that you have are the applicants agents and I'll pause if you have any questions given the
[137.46s -> 139.46s]  lateness of the hour
[140.26s -> 143.62s]  We say staff would ask that this would actually come back next week
[144.14s -> 149.74s]  Possibly if this goes forward is first reading and then you can consider it second and third readings next week with some
[150.06s -> 154.94s]  Additional conditions that might be offered me accepted by the applicant from the environmental officer
[155.42s -> 157.42s]  Any questions of staff
[157.50s -> 159.50s]  We're from the applicant
[166.42s -> 168.42s]  So you're David
[168.70s -> 170.70s]  cancel a OC yes, sir and
[173.42s -> 180.26s]  Mr. Irian is also going to be speaking or see donating to you. He'll be speaking as well. Okay, so you have five minutes. Thank you
[180.86s -> 182.78s]  Good evening mayor
[182.78s -> 185.26s]  Mayor Pro Tem Council. I realize it's late so all
[185.78s -> 191.62s]  It's some some of the high points of what we're asking for is a zoning change from LA to SF 2 in order to
[192.06s -> 195.82s]  Build or replace an existing single family house
[196.30s -> 200.14s]  we have a very challenging lot to build on and
[200.98s -> 207.22s]  We have been working to no end for the past 10 months with various departments in the city to look at
[207.58s -> 209.10s]  ways to
[209.10s -> 213.54s]  Design a house that will comply with the current LA zoning standards in place
[213.94s -> 216.26s]  as noted by staff this was a
[218.34s -> 223.86s]  1915 plat it's a late to mid 70s build it was annexed into the city
[223.86s -> 230.34s]  It was zoned single family. It was then zoned LA which it currently is so at one point
[230.34s -> 237.42s]  It had the ability to have forty or forty five percent now it has what is allowed in five five one D
[237.74s -> 240.58s]  under LA zoning which is a go-part mentalized type of
[241.58s -> 246.42s]  Zoning and purview's covered chart that you have to meet we're not allowed to aggregate or
[247.14s -> 250.26s]  Use cumulative averages of your impervious covers
[250.26s -> 255.66s]  So given the challenges on the on the lot with respect to the slope with respect to
[257.14s -> 260.90s]  We have 13 heritage trees that we're trying to keep
[262.62s -> 268.94s]  We are asking to keep the house where it is we want to build a new house that has come to the end of its life
[269.30s -> 274.94s]  It's well over 30 years old it has far from compliance with current building codes
[275.18s -> 282.06s]  It obviously has zoning code issues the existing driveway alone is well over 6,000 square feet
[282.62s -> 284.98s]  so on these two separate tracks which are
[286.02s -> 291.30s]  Approximately 30,000 ones less than 30,000 but for rough numbers. They're 30,000 square feet each
[291.90s -> 297.38s]  Obviously, they don't meet the LA zoning requirement of one acre when the city zone this property
[297.38s -> 303.42s]  It should not have his own at LA. It should have made it SF 2 and when the city made the study of some 200
[303.78s -> 309.98s]  Properties in the 80s along the banks of the Lake Austin area it failed to include this in
[310.50s -> 312.50s]  This property in that study
[313.26s -> 318.46s]  So and that's that's supported in your staff material from PDRD. So
[319.26s -> 321.26s]  the current problem is that
[322.26s -> 327.58s]  Once you leave the the right of way to get to any any improvement no matter what we build
[327.98s -> 330.66s]  No matter what it is to do anything to this house
[330.98s -> 338.06s]  We have an existing approximately 6,000 square foot driveway and what that means is we have an allowance
[338.90s -> 346.30s]  Accumative allowance of only 6,000 approximately 6 to 7,000 square feet of impervious cover under the current code
[346.98s -> 349.74s]  So with the existing driveway if we knock down the house
[350.18s -> 352.18s]  We start in the red from scratch
[352.90s -> 357.66s]  If we went to the variance board for board of adjustments if we went to
[358.42s -> 360.42s]  For tree variances, etc
[360.42s -> 363.54s]  It's our firm belief that they would turn us around and have us come back to you
[363.54s -> 366.54s]  This is a land use matter. This is on a site plan matter
[366.54s -> 370.50s]  This is a land use matter. So we feel this is the right venue to have the discussion
[371.02s -> 374.18s]  We have offered and I have the paper here for you
[374.26s -> 381.86s]  We've offered the city seven items for consideration in a CO we're offering a UDA to tie the two lots together in
[381.94s -> 385.50s]  Perpetuity for a single family development. We're offering a
[386.10s -> 393.74s]  65 foot setback from the shoreline, which is currently where the existing house is we are offering a
[394.70s -> 400.14s]  New septic system that's more than 100 feet from the shoreline
[400.34s -> 404.50s]  We're offering to not disturb more than 30% of the vegetative buffer along the shoreline
[404.86s -> 411.30s]  We are offering 10 foot setbacks along the side instead of the five that were legally allowed in us in LA zoning
[411.58s -> 416.66s]  And we're offering an integrated pest management program to be approved by WPDR
[417.34s -> 419.70s]  And also to as mentioned my staff
[419.78s -> 422.72s]  We are very open to working with staff and we want to
[423.42s -> 429.22s]  integrate as much of the spirit and the intent of the LA zoning into whatever CO
[429.22s -> 436.34s]  We can agree to to protect the environment. This is not only important to all of us here in this room
[436.34s -> 441.02s]  But obviously it's most important to my client who is the owner occupier of the home itself
[441.02s -> 444.86s]  He has a lot invested in making sure that this is a
[445.62s -> 453.90s]  Property that protects soil erosion that protects runoff that protects drinking water and all of the things that come with living on the lake
[453.90s -> 455.66s]  and so
[455.70s -> 462.02s]  What we would propose is that tonight you consider this for past passes on first reading
[462.54s -> 464.54s]  That we go back and meet with
[465.30s -> 469.66s]  Staff between now and the next time we appear hopefully in a week or so
[469.98s -> 477.18s]  We have a more comprehensive agreed to CO document and we propose that in a more comprehensive manner and
[478.30s -> 481.82s]  With that we can move forward we feel with a valuable solution
[481.94s -> 486.78s]  which if I can just finish one small part is an opportunity is an
[487.74s -> 495.38s]  Opportunity to fix the problem that the predecessors of yours created many years ago when they erroneously zone the track to LA
[495.38s -> 497.38s]  Is that a sf2? Thank you. Thank you
[497.90s -> 499.90s]  Terry Irian
[501.38s -> 503.38s]  And you have three minutes
[506.22s -> 509.02s]  Thank you mayor members of City Council Terry Irian
[509.74s -> 514.02s]  I'll keep this brief. I think David covered most of the point David said
[516.22s -> 519.62s]  David said he was gonna keep it brief. Okay. Well, we'll see
[521.50s -> 526.30s]  We think this really is a good compromise where we're not
[527.74s -> 529.74s]  This was a legally planted lot
[530.26s -> 537.14s]  With a house that was built under current zoning code at the time which was the equivalent of sf2 it was
[537.62s -> 544.90s]  The development that's out there right now, which has a house. It's set back 65 feet from the lake on the flattest part of the lot
[545.58s -> 547.58s]  It it was legal
[547.58s -> 551.18s]  One day it was legal the next day. It was non-conforming
[551.70s -> 555.82s]  When the city adopted the LA zoning and ignored its own
[556.86s -> 561.86s]  Performance standards of the LA zoning ordinance which requires minimum lot size of one acre
[562.78s -> 569.54s]  So this went from legal conforming to legal non-conforming the houses at the end of its useful life
[571.74s -> 577.70s]  To tear it down now and to build something new to flies with LA
[577.78s -> 582.54s]  You only get 3,000 square feet of impervious cover on each of the lots
[582.94s -> 585.42s]  That's because the LA ordinance
[585.94s -> 591.62s]  Adopted this net side area requirement which really reduces the amount of allowed impervious cover
[592.26s -> 598.82s]  When we presented this to the to the planning commission the chair of the planning commission asked how
[599.06s -> 606.46s]  How long the driveway had to be to get to the flat part of the lot where the building site is and how much impervious cover?
[606.74s -> 609.14s]  That would require we said it'll require
[609.90s -> 613.58s]  If there's one development it'll require about 4,000 square feet
[614.14s -> 622.82s]  At a minimum to if there's two developments on each of the lots it'd be about 3,000 square feet each and she said well
[622.82s -> 625.90s]  I can't see why that isn't a taking
[627.46s -> 634.30s]  We said well we're here because we want to work something out. We think this is the compromise solution
[634.94s -> 636.94s]  We've offered a very generous
[637.94s -> 643.86s]  Conditional overlay and we ask that you consider it on first reading we're willing to continue working with mr.
[643.86s -> 646.18s]  Leslie act to refine that. Thank you
[647.26s -> 649.02s]  Thank you
[649.02s -> 653.42s]  Those are all the speakers so I'll entertain a motion on item 111
[657.50s -> 663.94s]  Council member Spellman moves to close the public hearing approval first reading only second by Councilor Martinez
[664.66s -> 667.02s]  Councilor Towal I have a question for staff
[667.74s -> 669.74s]  please
[672.46s -> 674.46s]  Mr. Grinsie as you know we just
[674.66s -> 680.46s]  concluded a Lake Austin task force one of the recommendations that came forward was a consensus recommendation
[680.46s -> 690.66s]  I believe that that they're that the city do something to preserve the environmental regulations and protections that exist within the la zoning category because when properties are rezoned
[690.66s -> 695.50s]  They lose those they lose those protections. We have before us a case that I
[696.62s -> 701.34s]  Think picks up maybe one of the environmental protections from the lake Austin zoning category
[703.02s -> 705.26s]  You know I'll hit on a few it misses that are
[706.14s -> 708.14s]  important
[708.86s -> 713.18s]  The shoreline setback should be 75 feet. They're proposing 65 feet
[713.86s -> 715.62s]  they are
[715.62s -> 720.26s]  Not complying with the la provision that permanent improvements prohibited in a shoreline setback area
[720.66s -> 722.66s]  they're not complying with the
[723.42s -> 724.94s]  provision that
[724.94s -> 728.90s]  Development is prohibited on land with a gradient that exceeds 35 percent
[728.90s -> 735.14s]  I mean so there are several real points of divergence with with the environmental regulations that are in protections that are in
[735.66s -> 742.38s]  LA zoning so I guess I would like to hear from the staff why you're recommending this case in light of in light of
[742.78s -> 748.26s]  You know the important work that's been going on with regard to LA zoning well first off this case was initiated
[748.26s -> 752.06s]  I think before you received your recommendations recently
[752.74s -> 759.66s]  With regards this but I've been working with the environmental officer Chuck Lizniak and as I said during my presentation
[760.10s -> 764.90s]  He's gonna work with the applicant and he is also very aware of the lake Austin regulations
[765.62s -> 770.10s]  He has not gone out to the site and he and the arborist
[770.54s -> 774.02s]  My staff I understand are going to go out and walk the property
[774.50s -> 778.58s]  To see exactly what's there given this property is already developed
[779.30s -> 784.94s]  That there is some unique circumstance. I know that the applicant I think even consider
[785.58s -> 790.34s]  remodeling but because of our our remodeling ordinance changes we may not too long ago
[790.86s -> 797.38s]  There are limitations on what they can do as far as raising the building and reconstructing you they want to do in the same footprint
[798.22s -> 801.40s]  So I think we've come back in second and third readings
[801.88s -> 809.20s]  At a later date. We can probably give you a better idea how closely are coming to those. I think as you heard tonight
[809.84s -> 814.04s]  There may have been a 75 foot that was in the overlay the house is already at 65
[814.52s -> 817.80s]  They're gonna look and see what they can do to meet other standards
[817.80s -> 822.72s]  But it is the flatest part of the lot and so if you were to move the house you'd actually go on steeper slopes
[823.32s -> 827.92s]  The only way they could do that is actually reduce the size of the footprint of the home
[828.56s -> 831.92s]  To make that consideration that's something I guess the owner would have to consider
[832.08s -> 837.04s]  Whether they want to build a smaller new home or try to keep the home the same size in the same footprint
[837.04s -> 839.12s]  What is the size of the current home?
[839.12s -> 842.32s]  I don't know the exact same the square footage of the home
[842.32s -> 847.32s]  That's perfect, but if you were to actually move it 10 feet you'd be chopping off 10 feet of the existing house
[850.56s -> 855.96s]  I can speak to that the current home is has a footprint of about 1,500 square feet
[855.96s -> 859.48s]  It's a two-story home. You actually enter it because of the steep slope
[859.48s -> 863.80s]  You enter through a bridge onto the second floor and the second the first four
[863.88s -> 866.84s]  That's level with the ground below it is directly underneath it
[867.12s -> 872.84s]  So if we were to take that same footprint and move it up we actually would be killing a couple
[874.04s -> 878.16s]  Heritage trees and encroaching into several critical root zones of the surrounding trees
[878.52s -> 882.56s]  So that might argue for a request to keep it at the current setback
[882.96s -> 886.96s]  But but you're also requesting to build on slopes and do some other things that are not
[887.80s -> 892.72s]  Part of the LA zoning that are not are currently included and required in the LA zone
[892.72s -> 896.12s]  Yes, ma'am. There are there are substantial cuts that
