Zoning Case: C14-2018-0128
Meeting Date: 2019-09-19T00:00:00.000
Agenda Item: 126
Source URL: http://austintx.swagit.com/play/45794/0/
================================================================================

[0.00s -> 7.88s]  Maybe 126 could we do 126 I I'm gonna make a motion to pass that on first reading
[8.68s -> 14.12s]  Okay, there's a motion to pass item number 126, which is South Lamar on first reading
[14.96s -> 21.84s]  Are there people here to speak to that there were I don't know if she's still here. There was one person is Lorraine
[22.16s -> 24.16s]  Atherton here
[24.72s -> 31.84s]  There's Lorraine Atherton here, I can I can speak to her concerns while they're going to find her if that is
[32.08s -> 37.80s]  Acceptable I hate to do that if you're speaking to her concerns. Well, I mean she's now. She's now in the room
[39.32s -> 41.32s]  His staff here to speak to this
[42.04s -> 44.04s]  Okay, come on down miss Atherton
[45.88s -> 52.68s]  So let's see if we can take care of 126 council member kitchen moves to pass item number 26 on first reading only
[53.28s -> 55.68s]  126 is there a second to that motion
[55.68s -> 57.68s]  That's a matter of pool seconds
[58.20s -> 65.72s]  Councilmember kitchen moves to pass item number 126 on first reading only council member pool seconded that motion
[66.24s -> 70.80s]  And could I take one 30 seconds to explain you can yes, okay?
[71.20s -> 79.48s]  I am moving to pass it on first reading only because there are additional considerations that this will give us time to work through with the neighborhood
[80.12s -> 83.76s]  and those relate to the the importance of
[84.56s -> 91.04s]  Working towards additional housing if that'll be possible on this site. There's also concerns that still need to be
[91.48s -> 96.84s]  worked out with regard to how the traffic is handled on South Lamar and
[98.12s -> 105.52s]  Related areas so those are two areas that need to be addressed as well as concerns related to traffic impact fees
[106.20s -> 107.44s]  the
[107.48s -> 112.96s]  applicant has been working with the neighborhood on these and other concerns and so well
[112.96s -> 116.08s]  I think it's it's fine to bring them that move the ball forward
[116.08s -> 122.76s]  I think it's important for to have there to be time for the applicant to continue to work with the neighbors on
[123.24s -> 126.60s]  and again as I mentioned before the priority is housing people and
[127.28s -> 134.40s]  seeing what can be done to reduce the number of vehicle trips work towards greater housing and reducing the negative effects of
[135.40s -> 139.80s]  Traffic and safety issues in those intersections, so that's why I'm moving in on first reading only okay
[140.12s -> 146.76s]  Councilor Kitchissen moved the PC recommendation on first reading only let's hear from the the applicant first
[147.04s -> 149.04s]  So applicant want to speak?
[152.00s -> 156.64s]  My name is Richard said along here on behalf of behalf of the applicant that sounds great to me. Thank you
[159.48s -> 161.48s]  Is that the 10
[162.44s -> 165.60s]  Lorraine Atherton here on behalf of the CNA
[166.88s -> 173.04s]  Zoning committee and also Nancy McClain on with the South Lamar neighborhood Association
[175.00s -> 182.68s]  Yes, thank you very much. That's exactly what we need been moved and seconded past PC recommendation on first reading closed the public hearing
[185.76s -> 190.84s]  Because I expect to work out some additional items there may be a need to talk to them
[190.92s -> 192.40s]  Okay
[192.40s -> 198.80s]  Passing the PC recommendation first reading only discussion those in favor please raise your hand those opposed
[199.40s -> 201.40s]  unanimous on the dais with
[202.64s -> 204.64s]  Councilmember
[205.12s -> 210.16s]  Full is gone that passes all right that gets us to 5 30
[211.76s -> 218.28s]  Let's go ahead and and take recess we get some great music in here some proclamations
[219.00s -> 221.00s]  And then we'll be back
[221.00s -> 224.00s]  After what can we suggest the time so people have an idea?
[225.32s -> 231.00s]  We're also going to try to do an executive session. Let's try to do that at the conclusion of
[232.76s -> 234.76s]  Well
[235.48s -> 241.48s]  Let's call let's try to go back into executive session at at
