Zoning Case: C14-2019-0031
Meeting Date: 2019-08-08T00:00:00.000
Agenda Item: 134
Source URL: http://austintx.swagit.com/play/45789/0/
================================================================================

[0.00s -> 5.28s]  Mayor, on 134, 60, 14, 2019, 0, 0, 31.
[5.28s -> 9.76s]  This is for the screen mail, farmers property located at 7, 3, 5, screen mail road.
[9.76s -> 15.92s]  The staff recommendation is to approve the CSMUCO and pre-zoning, and the planning of the mission can occur.
[23.28s -> 24.28s]  Okay.
[24.28s -> 31.64s]  We're going to go to the app, we've got five minutes.
[31.64s -> 47.08s]  Good morning, Mayor, council members, just in line that it's 3.30 in the morning, I am happy to give a very quick synopsis and council member Flanagan, since you hold it for discussion, maybe there's like something that's starting to start up there, you've pulled it, so I'm going to explain where you're pulling it.
[47.08s -> 59.60s]  Yeah, an additional restriction about the number of units, and I think to council member Qasar's point, this is the commercial property, and we shouldn't be adding any restrictions because it's all new.
[59.60s -> 76.20s]  And what's the, whether it's the, you know, 20, trades an acre, right now we're currently proposing 9-in-1 units on the property, and as a cautionary tale from the neighborhood, they requested a cab per acre, and the off chance we decided to
[77.20s -> 89.20s]  which is entitled for a ton of units, it's CSMU, and our purpose here today is only to alter the existing conditional overlay and to allow three commercial uses that are currently not allowed.
[89.20s -> 105.20s]  So we aren't here to add a residential use, it's currently allowed as CSMU, and the neighborhood just asked us to put that cap on there in case we were to sell it and allow someone else to come in and not honor the negotiations we have currently been going to.
[106.20s -> 111.20s]  And we agreed to that.
[111.20s -> 114.20s]  Because it wasn't what we did.
[114.20s -> 117.20s]  It wasn't what we needed to do, exactly.
[117.20s -> 123.20s]  So if I may make a suggestion there, someone can make a motion to approve.
[123.20s -> 125.20s]  Plan a conditional recommendation.
[125.20s -> 129.20s]  I'll make a amendment to approve the union restriction of sale goes.
[129.20s -> 131.20s]  Case approved, okay.
[131.20s -> 133.20s]  Sir Marshall.
[134.20s -> 138.20s]  I'll make a motion to approve the planning commission.
[138.20s -> 140.20s]  Is there a second to that?
[140.20s -> 142.20s]  I don't remember.
[142.20s -> 145.20s]  I'll move on to the second step.
[145.20s -> 146.20s]  Discussion?
[146.20s -> 152.20s]  The talk to us about whether or not we should take out the limitations for the review.
[152.20s -> 161.20s]  And all of a sudden, we have no intentions of building right now more than the 9-in-7 units that's currently that would be capped by the cheap 20 units in a group.
[161.20s -> 168.20s]  Right now, we're currently proposing approximately 50,000 square feet of a commercial component.
[168.20s -> 172.20s]  And as a lot of you may be aware, this was a highly contested case.
[172.20s -> 175.20s]  I thought five years ago when the property was rezoned.
[175.20s -> 190.20s]  And over the last nine months, we've been working with the neighborhood to ensure that we have a site plan that not only limits the site to just residential and office use, but rather brings a little bit of value in terms of a local neighborhood commercial feel.
[190.20s -> 194.20s]  That may be a little bit more welcoming for the other community members.
[194.20s -> 198.20s]  And that's based on feedback through our outreach.
[198.20s -> 206.20s]  And on top of that, we feel that 9-7 units and we're keeping roughly 20,000 square feet farmland.
[206.20s -> 214.20s]  So we can maintain the E and E spark the table concept as well as the Wednesdays and Saturdays farmers market.
[214.20s -> 228.20s]  And so kind of with that open space and everything else we are conserving, we are very comfortable with the unique setting that we are going to provide for 90 plus future homeowners and commercially.
[229.20s -> 240.20s]  So what makes this one hard, I think, is that I'm real reticent to undo an agreement that's been reached between the neighborhood and the property owner.
[240.20s -> 251.20s]  At the same time, I fear that someone's going to come in subsequent to this with a zoning chain that actually reflects what can be built on this property in that area.
[251.20s -> 264.20s]  That the abler is going to come in and say, no, you can't do that because it was the council's determination that it should never be any more than these number of units when the council never really has made that determination at all.
[264.20s -> 268.20s]  It just happens to be something that the property owner didn't want.
[268.20s -> 271.20s]  So it's the inference from it.
[271.20s -> 274.20s]  I don't know how to do it.
[274.20s -> 284.20s]  Yes, on this, but to make really widely known that, but I'd like to express the opinion on whether 93 is the right cap or not.
[284.20s -> 288.20s]  That's why I don't know how to honor me agreeing with the team.
[288.20s -> 296.20s]  The great thing about it is that they're going to keep the foreign land in there and set the foreign land.
[296.20s -> 304.20s]  So I would like to see that to develop to something else.
[304.20s -> 307.20s]  If I'm not a second, then we'll have to keep talking.
[307.20s -> 312.20s]  So I move to amend the rule of the unit restriction.
[312.20s -> 315.20s]  It's been a matter to remove the restriction.
[315.20s -> 318.20s]  Any second?
[318.20s -> 320.20s]  That is for lack.
[320.20s -> 327.20s]  I may expose on the request, planning commission recommendation, authoring, post public hearing, those papers.
[327.20s -> 328.20s]  Raise your hand.
[328.20s -> 329.20s]  Those quotes.
[329.20s -> 331.20s]  Add it as on the dice.
[331.20s -> 332.20s]  Thank you.
[332.20s -> 333.20s]  Don't get to sleep.
[333.20s -> 334.20s]  Thank you, guys.
[334.20s -> 337.20s]  Don't make us jealous.
[337.20s -> 338.20s]  All right.
[338.20s -> 339.20s]  I guess it's the last thing.
[339.20s -> 341.20s]  Peter, would you have to lose off the dice, please?
[341.20s -> 342.20s]  Yes.
[342.20s -> 343.20s]  Oh, you'd have to lose off the dice.
[343.20s -> 344.20s]  Thank you.
[344.20s -> 347.20s]  I'm sure it's an alternate thing to come off the dice.
