Zoning Case: C14H-2017-0082
Meeting Date: 2017-10-05T00:00:00.000
Agenda Item: 49
Source URL: http://austintx.swagit.com/play/45747/0/
================================================================================

[0.00s -> 2.16s]  Zoning agenda.
[2.16s -> 4.28s]  I think Mr. Flanagan, if you pulled three items,
[4.28s -> 8.92s]  43, 44, and 50, I think, this afternoon,
[9.92s -> 13.36s]  we'll start with staff taking us through that consent agenda.
[13.36s -> 15.60s]  We have two items that are set at four o'clock.
[15.60s -> 17.80s]  One is going to be withdrawn,
[17.80s -> 20.56s]  the other is an indefinite postponement.
[20.56s -> 22.92s]  So once we finish those zoning cases,
[22.92s -> 26.68s]  the next thing we'll have is proclamations and music,
[26.68s -> 29.08s]  beginning at 5.30.
[30.32s -> 31.40s]  I have a question?
[31.40s -> 32.24s]  Yes.
[32.24s -> 34.40s]  Maybe we should start later than two
[34.40s -> 36.60s]  and get it all, push it all together,
[36.60s -> 39.20s]  because we start at two,
[39.20s -> 42.12s]  and then we're going to have a break again till four,
[42.12s -> 44.40s]  and there's one on here for five.
[44.40s -> 46.16s]  I don't know if that's right, but.
[48.04s -> 49.56s]  I don't have anything at five.
[49.56s -> 50.40s]  I don't.
[51.24s -> 53.16s]  Yeah, because we've.
[53.16s -> 55.52s]  My only concern might be that we have citizens
[55.52s -> 57.72s]  coming at those times.
[57.72s -> 58.56s]  Okay.
[58.56s -> 59.64s]  At two o'clock, I'm not.
[59.68s -> 62.44s]  Sure about that, but my guess is we might have some people
[62.44s -> 64.96s]  come down for the two o'clock zoning items.
[64.96s -> 65.80s]  Yeah.
[66.60s -> 68.36s]  And I just don't know how long the zoning cases
[68.36s -> 70.56s]  are going to take, and I just don't know what's there.
[70.56s -> 72.68s]  So let's come on back at two o'clock.
[73.80s -> 75.96s]  And until then, it is 11.46,
[75.96s -> 78.24s]  maybe stands in recess.
[78.24s -> 79.08s]  Yeah.
[79.08s -> 80.64s]  Callender looks like today.
[80.64s -> 81.64s]  Sure, Mayor.
[81.64s -> 83.32s]  Council, I'm Jerry Westone with the Planning
[83.32s -> 84.80s]  and Zoning Department.
[84.80s -> 87.36s]  For your two o'clock zoning items today,
[87.36s -> 89.04s]  we have item 40,
[89.04s -> 92.84s]  which is KC 14, 2016 0, 134.
[92.84s -> 94.96s]  I was prepared to offer that for consent on third reading,
[94.96s -> 97.96s]  but I understand Council Member Houston would like to
[97.96s -> 100.88s]  have that item pulled so she can make a few comments about it.
[100.88s -> 102.96s]  So we'll go ahead and pull item number 40.
[104.40s -> 108.92s]  Item 41 is KC 14, 2017 0, 0, 20.
[108.92s -> 110.76s]  We have a postponement request on this item
[110.76s -> 112.88s]  by the staff to your November 9th agenda.
[114.08s -> 118.56s]  Item 42 is KC 14, 2017, 0042.
[118.56s -> 120.40s]  On this case, we have a postponement request
[120.40s -> 122.08s]  by the neighborhood to November 2nd.
[122.08s -> 125.00s]  I understand that the Council wants to try
[125.00s -> 128.16s]  to keep November 2nd as clear as possible.
[128.16s -> 129.92s]  So the neighbor is requesting November 2nd.
[129.92s -> 133.44s]  The applicant prefers to have a postponement next week,
[133.44s -> 135.20s]  and they're both here.
[135.20s -> 137.52s]  So that'll be a discussion postponement item.
[137.52s -> 138.36s]  Okay.
[138.36s -> 139.68s]  Item 42.
[139.68s -> 143.08s]  Item 43 is KC 14, 2017, 0076.
[143.08s -> 146.16s]  This case is ready for approval on all three readings.
[146.24s -> 150.32s]  Item 44 is KC 14, 2017, 0077.
[150.32s -> 153.04s]  This case is also ready for approval on all three readings.
[154.64s -> 158.72s]  Item 45 is a duplicate and no action is required.
[159.64s -> 162.76s]  I guess it's been withdrawn or the items been withdrawn.
[162.76s -> 166.40s]  Item 46 is KC 14, 2017, 0095.
[166.40s -> 168.68s]  This is ready for approval on all three readings.
[169.68s -> 174.52s]  Item 46 is KC 14, 2017, 0095.
[174.56s -> 177.92s]  This case is ready for approval on all three readings.
[177.92s -> 181.60s]  Item 47 is KC 14, 2017, 0091.
[181.60s -> 184.76s]  This case is ready for approval on all three readings.
[184.76s -> 188.12s]  Item 48 is KC 14, 2017, 0104.
[188.12s -> 190.84s]  This case is ready for approval on first reading.
[192.00s -> 196.04s]  Item 49 is KC 14, H, 2017, 0082.
[196.04s -> 198.00s]  This case is ready for approval on first reading.
[198.00s -> 199.68s]  And I'd like to note there that when we read this back
[199.68s -> 201.12s]  for a second and third reading,
[201.12s -> 203.92s]  we will be adding the NP-Neighborate Plan Overlay
[203.92s -> 205.44s]  to the item.
[206.44s -> 210.68s]  Item 50 is KC 14, H, 2017, 0107.
[210.68s -> 213.48s]  This case is ready for approval on all three readings.
[213.48s -> 217.32s]  Item 51 is NP-A, 2016, 0016.04.
[217.32s -> 219.08s]  Staff is requesting a postponement of this item
[219.08s -> 220.48s]  to your November 9th agenda.
[224.32s -> 225.16s]  Okay.
[226.12s -> 227.72s]  Council, we had some items that are being pulled.
[227.72s -> 229.52s]  Ms. Houston, you want to pull 40.
[230.36s -> 234.48s]  Mr. Flanagan, you're still pulling 43 and 44.
[235.36s -> 238.24s]  And Mr. Flanagan's also pulling item 50.
[238.24s -> 241.44s]  I don't have to pull 50 if I can make a one sentence statement.
[241.44s -> 242.72s]  Go ahead.
[242.72s -> 246.60s]  I'm continued to be concerned about the historic value
[246.60s -> 249.52s]  of some of the things that we note as historic properties.
[249.52s -> 252.68s]  50 in particular is noted in the documentation
[252.68s -> 255.08s]  as a mix of different types of styles.
[255.08s -> 258.20s]  No one of historical significance lived there,
[258.20s -> 259.24s]  except for people who lived there
[259.24s -> 260.60s]  when it was an old building.
[262.04s -> 265.12s]  I get very nervous about providing tax abatement.
[265.12s -> 267.36s]  To properties that don't provide some community benefit
[267.36s -> 268.72s]  and return for that.
[268.72s -> 273.12s]  And I think even it's listing on the national register
[273.12s -> 275.44s]  is just only this year,
[275.44s -> 277.16s]  even though it is a very old building
[277.16s -> 279.20s]  and could have been noted at any time.
[279.20s -> 281.56s]  So I'm going to vote no on this on consent,
[281.56s -> 286.08s]  but I still have grave concerns about the way
[286.08s -> 287.52s]  in which we do historic preservation
[287.56s -> 290.52s]  and the way that we designate historic properties
[290.52s -> 292.68s]  that have very questionable history.
[295.72s -> 296.56s]  Okay.
[300.36s -> 302.00s]  All right, so the calendar I'm looking at,
[302.00s -> 305.84s]  it looks like item number 40 is pulled.
[305.84s -> 310.84s]  It looks like item number 42 is pulled.
[310.84s -> 314.32s]  43 and 44 are pulled.
[315.28s -> 319.32s]  45 is withdrawn and it looks like item,
[320.24s -> 323.24s]  I guess that's it, is that right?
[323.24s -> 324.08s]  Yes, ma'am.
[324.08s -> 326.24s]  40, 42, 43, and 44.
[326.24s -> 327.08s]  That's correct.
[327.08s -> 327.92s]  Is that right?
[329.76s -> 334.48s]  Item number 50 is not,
[334.48s -> 336.36s]  there are two people waiting to speak,
[336.36s -> 339.76s]  both are four, Elaine Landsford,
[339.76s -> 341.96s]  and Terri O'Connell, are they here?
[341.96s -> 342.80s]  They don't wish to speak.
[343.52s -> 345.52s]  We just have approval on consent.
[345.52s -> 347.28s]  No, I'm not sure.
[347.28s -> 348.80s]  I think, Mayor, they're okay.
[348.80s -> 352.12s]  Okay, got it.
[352.12s -> 354.40s]  Is there a motion to approve the consent agenda?
[354.40s -> 355.64s]  Ms. Poole makes that motion.
[355.64s -> 356.64s]  Is there a second to that?
[356.64s -> 359.12s]  Mr. Renteria, any discussion?
[359.12s -> 360.64s]  Ms. Parksler?
[360.64s -> 362.92s]  Well, based on Council Member Flanagan's comments,
[362.92s -> 365.28s]  now I have some questions about that item.
[365.28s -> 370.08s]  Why, if it's not a historic,
[370.08s -> 370.88s]  if it's an old building,
[370.92s -> 373.92s]  but not necessarily historically,
[373.92s -> 375.52s]  representing something historically important,
[375.52s -> 378.40s]  why are we approving this designation?
[378.40s -> 379.88s]  So maybe I need to hear from the speakers
[379.88s -> 381.48s]  or I mean more context.
[382.56s -> 383.80s]  Okay, Mayor Proton?
[384.76s -> 386.32s]  I would just say that, you know, remember,
[386.32s -> 388.28s]  this is sort of the last stop on the process,
[388.28s -> 389.56s]  not the beginning of the process.
[389.56s -> 391.72s]  So it's been through the landmark commission.
[391.72s -> 396.04s]  They voted seven to zero with one abstention.
[396.04s -> 399.56s]  Recusal rather, the planning commission voted 13 to zero.
