Zoning Case: C14-2011-0110
Meeting Date: 2011-11-03T00:00:00.000
Agenda Item: 70
Source URL: http://austintx.swagit.com/play/45483/0/
================================================================================

[0.00s -> 7.04s]  Thank you, Mayor Council. That brings us back to item number 70. That's case C-14 2011-0110.
[7.04s -> 12.00s]  This is for a property located at 59, 22 and a half home or lane.
[12.00s -> 20.00s]  This is a property that's about 30 acres in size and it's being proposed for rezoning to MF4,
[20.00s -> 26.00s]  the multifamily medium high density conditional overlay district zoning.
[26.00s -> 32.32s]  Composed use on the property is a multifamily development and is currently undeveloped at this time.
[32.32s -> 36.76s]  The property is located to the north and east and west are undeveloped.
[36.76s -> 45.96s]  They're part of the Robinson Ranch properties into the south are existing multifamily properties or two existing apartment complexes.
[47.60s -> 54.96s]  This tract is, like I said, currently undeveloped and the property owner wishes to construct multifamily dwellings.
[54.96s -> 64.52s]  It's just near the intersection where the red line that goes up towards the lander or the capital metro line is right by Paul Marlaine.
[66.72s -> 73.72s]  The Plan Commission did recommend this case to you on a five to one vote to prove the staff recommendation.
[73.72s -> 79.80s]  The staff recommendation did limit the number of trips on the property to 2,000.
[79.80s -> 86.60s]  That would mean that the property owner would be limited to no more than probably about 311 dwelling units on the property.
[88.00s -> 91.84s]  At this time I'll pause if you have any questions and
[91.84s -> 95.80s]  beery and partners are the agents for this case.
[100.00s -> 100.84s]  Questions for staff?
[104.52s -> 106.76s]  The agent, you said there is no agent?
[106.76s -> 110.04s]  The agent is a beery partner, I think it's a Meagan?
[110.04s -> 111.00s]  Meagan one-ick?
[111.00s -> 111.84s]  Yeah, correct.
[111.84s -> 112.72s]  Meagan one-ick?
[112.72s -> 115.56s]  Okay, Ms. One-ick, you have five minutes.
[120.12s -> 122.84s]  Good afternoon, Mayor and Council.
[122.84s -> 126.52s]  I am here on behalf of the applicant for the zoning case.
[126.52s -> 136.72s]  I don't have a whole lot to add except that we are proposing to zone a back piece of a property that is currently landlocked by a front piece of the property zoned as part of.
[136.72s -> 143.36s]  A zoning with the Robinson Ranch along Palmer LIPDA to match that property zoning and
[143.36s -> 148.08s]  allow that piece of land to be used with a proposed multi-family development.
