Zoning Case: C14-2018-0102
Meeting Date: 2018-11-29T00:00:00.000
Agenda Item: 54
Source URL: http://austintx.swagit.com/play/45775/0/
================================================================================

[0.00s -> 5.04s]  All right that gets us then to our agenda you want to take us through the
[6.84s -> 8.84s]  Two o'clock
[11.04s -> 14.54s]  Thank you, thank you, maren council your currency planning zoning apartment
[15.04s -> 18.06s]  I'll go through those items that we can offer for consent or
[18.84s -> 20.84s]  consent post-ponement
[20.84s -> 22.84s]  Starting with item number 49
[22.88s -> 29.44s]  Under zoning ordinances and restricted covenants hearings closed. This is a item number 49 case c14 2018
[30.00s -> 35.16s]  0061 staff would offer this for consent approval on second and third readings
[35.72s -> 44.42s]  Item number 50 case c14 2018 0083 staff are to offer this consent approval on second and third readings
[45.64s -> 47.64s]  items number 51 and 52
[48.16s -> 55.52s]  Relate to the Berkman Terrace property in this case NPA 20 18 00 23.01 and
[55.52s -> 63.32s]  And c14 2018 0037 the applicant or assuming the neighborhood is requested a post-ponement of these two cases
[63.32s -> 69.08s]  I don't number 51 and 52 to your December 13th meeting and the applicant is in agreement
[69.08s -> 73.18s]  So we would offer those for consent post-ponement to the 13th
[74.48s -> 78.00s]  I don't number 53 is case c14 2018
[79.08s -> 85.48s]  0078 staff were to offer this for consent approval on all three readings item number 54
[85.80s -> 94.10s]  It's case c14 2018 0 1 0 2 staff it off of this for post-ponement to your January 31st meeting
[95.44s -> 104.80s]  Item number 55 this case c14 2018 0031 staff it off of this consent approval on all three readings
[105.48s -> 107.48s]  item number 56
[107.76s -> 109.76s]  This is a case c14 2018
[110.60s -> 116.04s]  0091 staff would offer this for consent approval on all three readings
[116.96s -> 126.20s]  item number 57 and 58 are related items when is the zoning change and was restricted covenant item number 57 is case c14 2018
[126.96s -> 130.20s]  0056 and item number 58 is case c14
[131.16s -> 133.76s]  85 to 88 point 43
[134.72s -> 139.94s]  On the zoning change request which is a request to general commercial services mixed use
[140.72s -> 144.40s]  Neighborhood plan or CS MU CO or see me see
[145.16s -> 147.16s]  CS MU MP zoning
[147.68s -> 151.24s]  Staff were to offer this for consent approval on first reading only
[151.80s -> 157.72s]  I'd like to make a few notations and I understand there there are three speakers that assigned in that would be in favor allowing this
[157.72s -> 159.72s]  So consent but to clarify
[160.28s -> 163.56s]  for this case on old BK's road that
[164.44s -> 167.04s]  First that this project is not grandfather
[167.64s -> 173.64s]  That there are certain entitlements that had been extended this property dealing with uses and site development standards
[174.08s -> 176.76s]  That has received through restricted covenant
[177.48s -> 179.88s]  But not through necessarily grandfathering or besting
[180.64s -> 186.36s]  That the project going forward would be subject to these changes in the in the covenant
[187.36s -> 193.84s]  But they would end with basically this next project as it's been submitted and you wouldn't be able to resubmit under
[194.12s -> 199.44s]  those standards lay out a hundred years from now and try to be grandfathered into that and third that the
[200.32s -> 203.28s]  Recommendation that's being brought to you by the the Commission
[204.08s -> 206.72s]  Includes the staff recommendation, but also in the environmental boards
[207.44s -> 213.64s]  Recommendations so with that I would offer 57 for consent approval on first reading only
[214.60s -> 221.60s]  And that 58 would be postponed and we would bring back 57 for second and third reading on December 13th
[222.36s -> 227.60s]  And the covenant item number 58 would be postponed to that day for your consideration
[228.84s -> 232.10s]  Sorry for that lengthy explanation item number 59
[233.08s -> 239.76s]  You have several speakers that have signed up. So this will be a discussion item and then finally item number 60
[240.60s -> 242.36s]  this is
[242.44s -> 244.44s]  Case c14 2018
[244.76s -> 251.44s]  0077 staff would offer the amended request by the applicant for first reading only
[252.12s -> 259.68s]  There's a memo that was in late backup and the applicant has amended their request to lr m u zoning on
[259.80s -> 262.92s]  the front 350 feet of the property and
[263.28s -> 268.60s]  Then for the remainder of the property would be zoned sf 6 with a conditional overlay
[268.76s -> 274.44s]  Limiting the property to 45 units and that no building would contain more than three dwellings and
[275.32s -> 279.56s]  With that we'd staff would offer that. It's understanding that the neighbors
[280.16s -> 282.56s]  And the applicant are in agreement with that
