Zoning Case: C814-2017-0001
Meeting Date: 2018-03-22T00:00:00.000
Agenda Item: 92
Source URL: http://austintx.swagit.com/play/45759/0/
================================================================================

[0.00s -> 4.96s]  All right, I think it says I think now to item number 92, which is the riverside
[5.52s -> 7.52s]  but
[8.32s -> 10.66s]  Your council jury restaurant again from planning and zoning
[11.48s -> 20.44s]  Item 92 is case C8 14 2017 0 0 1 the 425 West Riverside Pud located at surprisingly 425 West Riverside
[22.28s -> 23.96s]  We
[23.96s -> 26.04s]  Have renamed this putt the Snoopy putt
[26.60s -> 31.06s]  The reason for that is the property for a long time was owned by Charles Schulz of peanuts fame
[31.64s -> 37.40s]  The property is the triangle that is located between Barnes Springs Road south 1st Street and Riverside Drive
[38.12s -> 45.68s]  It is located outside by office window at one Texas center is currently occupied by a surface parking lot and a hooters restaurant
[45.68s -> 47.68s]  And quite frankly is not much to look at
[49.08s -> 53.16s]  The property is located in the south central
[53.72s -> 58.92s]  Waterfront plan area. This plan was approved by the City Council in June of 2016
[58.92s -> 64.16s]  I'm not going to go into a lot of detail about the plan given the late hour suffice to say that the plan
[64.86s -> 67.80s]  envisions a urban landscape comprised of a
[68.44s -> 74.92s]  Street grid network of green streets as well as many public amenities including 20 acres of park area that does not exist today
[75.68s -> 82.04s]  In order to pay for these rather expensive public amenities the plan allows for greater entitlements than today
[82.72s -> 89.80s]  Those greater entitlements are not yet available to developers because we have not adopted the right lane plan that goes with the master plan
[90.04s -> 94.30s]  That Ray Lane plan is currently going through the process. It was just at the south central waterfront
[94.80s -> 96.80s]  Advisory board last Tuesday night
[97.24s -> 101.04s]  We'll soon be coming forward to the council once that Ray Lane plan is adopted
[101.52s -> 109.52s]  Developers will be able to take advantage of the increase in talents in exchange for those increasing entitlements the developers are required to provide certain
[109.72s -> 114.44s]  Public benefits on a track-by-track basis those public benefits have been monetized
[114.72s -> 122.32s]  So in other words in order to achieve additional entitlements each track has a dollar value of public benefits that need to go with it
[123.24s -> 125.92s]  However, because that Ray Lane plan is not in place today
[125.92s -> 131.56s]  This this applicant was required to do a pod in order to comply with the plan
[131.84s -> 136.86s]  The reason being that the entitlements in the plan are greater than what the code allows today
[137.54s -> 139.54s]  the plan called for
[140.50s -> 144.30s]  So I've provided a table and I've handed this PowerPoint up on the dias
[144.30s -> 151.22s]  There's the next two pages talk about what the site regulations are and requirements and they're today's existing zoning
[151.62s -> 158.74s]  What are allowed in the your proposed the south central waterfront plan which actually was approved and would be approved would be
