Zoning Case: C14-2013-0081
Meeting Date: 2014-06-12T00:00:00.000
Agenda Item: 96
Source URL: http://austintx.swagit.com/play/45629/0/
================================================================================

[0.00s -> 3.36s]  And I trust we don't have any more of those
[6.08s -> 8.08s]  Maybe post moments
[8.44s -> 12.28s]  Let's see let's go back to our zoning item number 96 I believe is that
[14.12s -> 19.72s]  Thank You mayor and council item number 96 is zoning case c14 2013 zero zero 81
[20.08s -> 22.08s]  This is for a one point
[22.92s -> 24.92s]  six acre tract of land
[25.08s -> 32.36s]  At the southwest corner of East Old Torf and Sherwood the property address is 517 East Old Torf Street
[33.36s -> 36.88s]  The applicant has a many of their requests and is asking for
[37.92s -> 41.52s]  GRCO MP district zoning for an existing church
[42.24s -> 44.24s]  There's a desire by
[44.52s -> 47.12s]  The church to add a new community room
[47.88s -> 49.88s]  addition onto their existing
[50.96s -> 52.96s]  Building on the property
[52.96s -> 57.44s]  The property is already developed with several buildings in a large parking area surrounding it
[57.76s -> 63.32s]  on their head to been some confusion with regarding the amount of existing impervious cover and
[64.56s -> 70.26s]  Currently as staff understand that the existing pervious cover is actually at 79
[71.32s -> 73.32s]  0.0 percent
[73.36s -> 79.32s]  Originally there was a request for geo zoning which would have gained them 1% more, but that wouldn't have been enough to add
[79.88s -> 81.10s]  the
[83.10s -> 85.34s]  The staff recommendation was to grant
[85.90s -> 91.86s]  The GRCO MP zoning with some restrictions that would have limited height the 35 feet
[92.66s -> 94.24s]  limited the
[94.24s -> 101.70s]  Uses to only civic uses that are permitted in SF to district and made them subject to a neighborhood traffic
[102.58s -> 104.58s]  analysis that would have limited trips to
[105.46s -> 106.92s]  1100
[106.92s -> 111.44s]  Until such time as the street is widened on Sherwood to 30 feet
[112.16s -> 120.66s]  That there's also restrictions on size of the facility and their driveways are brought up to code the planning commission did consider these items
[121.66s -> 122.74s]  and
[122.74s -> 131.62s]  They came forward and actually recommended denial of either the geo or the the GR zoning even with the conditions
[133.04s -> 136.78s]  the property itself as it's located on
[138.02s -> 139.00s]  the
[139.02s -> 141.00s]  East side of the property
[141.00s -> 146.74s]  a cost sure would there are some single-family homes and duplexes and zoned SF 2 and SF 3
[147.52s -> 150.58s]  To the west is an shopping center and apartments
[151.24s -> 155.20s]  Having various cozonings or MF 6 zonings
[155.80s -> 158.40s]  To the south is SF 3 and SF 2
[159.30s -> 165.04s]  Some duplexes along Longbow Lane and some single-family residential and to the north
[165.68s -> 171.76s]  Across Old Tour Street. There's an existing retail shopping centers and restaurants convenience stores with CS
[172.16s -> 174.40s]  Geo and see it on GR zoning
[176.80s -> 181.68s]  With that I think I'll pause and let the questions for staff
[183.44s -> 185.44s]  Okay, we'll hear from the applicant
[185.44s -> 187.44s]  Okay
[190.08s -> 196.28s]  Any more time there are people donating to you Frank Balboa Frank Balboa you hear
[197.48s -> 198.96s]  Rodney Bennett
