Zoning Case: C14-2019-0155
Meeting Date: 2020-03-12T00:00:00.000
Agenda Item: 70
Source URL: http://austintx.swagit.com/play/45805/0/
================================================================================

[1.00s -> 3.00s]  Item 70
[10.32s -> 14.36s]  Council Jerry restaurant playing zoning again item 70s KC 14
[15.36s -> 20.64s]  2019 0 155 for the property look at 40 11 convict Hill
[21.36s -> 28.84s]  Drought road the requested zoning is from SF 2 to SF 6 is it approximately three acre partial land that today
[29.16s -> 35.16s]  Has a church on it the surrounding zoning on all sides is SF 2
[35.56s -> 41.60s]  The staff recommendation was to grant SF 5 zoning along with the dedication of additional right away along comic Hill
[42.04s -> 50.48s]  The zoning and planning Commission recommended SF 6 zoning with a cap of 15 units and with the dedication of right away along comic Hill
[51.12s -> 53.12s]  So with that it will be open for any questions
[54.56s -> 56.56s]  questions
[56.56s -> 59.40s]  Councilmember Alice there is one speaker just
[59.80s -> 66.68s]  No questions, but I would like to move the zoning and plotting SF 6 with the conditional overlay with the updated concept plan
[67.28s -> 71.80s]  However, officially that can be incorporated at this point in time. I'm sorry council member. It cannot
[72.36s -> 78.12s]  So we can do this you know with the 15 units, but you can't approve that concept plan as part of the zoning. Okay, thank you
[78.76s -> 84.64s]  So I'll I'll entertain a motion went after we hear from the one speaker. Okay, Deborah Hamilton
[85.64s -> 87.64s]  You have three minutes with Hamilton
[89.24s -> 90.84s]  Hi
[90.84s -> 96.54s]  Good afternoon. I'm Deborah Hamilton. I live on the property next door to the
[97.64s -> 99.64s]  property
[99.64s -> 105.98s]  That is trying to be resound. I'm at 41.05 convict Hill Road. I've lived there my whole life
[106.76s -> 112.96s]  The land has been in my problem and my family for I'm the fourth generation. So I'm just
[115.12s -> 120.80s]  I'm very new at this, but I I'm definitely I'm more in favor of the SF 5
[123.00s -> 125.00s]  Because of the size of the
[126.12s -> 131.86s]  Piece of property. It's next door to me. It was at one time my family's property
[131.86s -> 136.60s]  I am concerned of course with the the the water
[137.36s -> 142.92s]  Run off on to my property. I'm concerned with I don't know what the projection is for
[143.60s -> 145.60s]  convict Hill in the future of
[147.24s -> 149.24s]  Upgrading the convict Hill Road
[150.04s -> 155.12s]  And I guess my biggest concern is I live on the five acres next door. I'm on the west side of
[156.16s -> 160.64s]  my kind of keeping some of my privacy. I would like to
[162.36s -> 164.36s]  request like I
[164.52s -> 171.92s]  Most would love a eight foot or request an eight foot enclosed fence like a solid fence to keep
[172.44s -> 177.84s]  additional people from coming on to my property from that many homes that would be there and
[180.00s -> 181.00s]  I
[181.00s -> 187.52s]  Appreciate you listening to me. I am it's just I've been there all my life and it's it's it's a change
[187.52s -> 192.84s]  I wasn't expecting it's been a church the last 20 years and I guess I expected it just to be a church
[193.68s -> 196.24s]  So I do appreciate you listening to me
[196.96s -> 201.44s]  Thank you. Thank you for coming. I can't say I just want to say
[201.92s -> 206.64s]  Thank you for coming out. It's always great to see district eight people coming and speaking to us
[206.64s -> 210.84s]  And I appreciate your your input as well and care for well. I appreciate you listening to me
[210.84s -> 212.84s]  I've been here on my life and so it's
[212.84s -> 216.16s]  It's it's more difficult for me. I guess to see
[216.56s -> 223.44s]  You know change and I know we all have to change and changes here, but I do want to hopefully get to keep
[224.16s -> 230.72s]  What privacy I can on my property. So I definitely am I know the city had
[231.72s -> 238.04s]  Suggested the SLS f5 which would limit the amount of condominiums that would go there
[238.24s -> 242.24s]  Which of course I'm more in favor of but I would like to request
[242.24s -> 250.92s]  And and I assume that the the water runoff and the highway and and the I don't know why how the roads are projected to be
[250.92s -> 256.04s]  Maintained as far as like comic-tale. It's a to a to lane road
[256.36s -> 262.72s]  So I don't know at what point the city ever decides to make that into a wider road or
[263.48s -> 265.48s]  Whatever. I don't know how that's handled
[266.96s -> 268.96s]  But definitely I would like
[269.08s -> 270.88s]  the
[270.88s -> 277.36s]  Foot and closed privacy fence between my property and their property just to help with me keeping my
[277.92s -> 279.92s]  privacy from different
[282.16s -> 285.56s]  People moving into the condos, but thank you
[286.04s -> 288.04s]  Thank you. Thank you very much
[296.60s -> 303.88s]  So I'll recognize did you do you have anything additional? No, no, I just want to say that we're only ready for first reading on this case
[303.88s -> 309.36s]  So okay, I'll recognize council member Ellis to make motion. Okay. I'll make a motion for the SF six
[309.76s -> 312.04s]  With conditional overlay on first reading
[312.64s -> 314.12s]  So a second
[314.12s -> 316.12s]  Seconded by council member kitchen
[316.32s -> 318.32s]  On first reading only
[319.28s -> 325.02s]  All those in favor. Oh, do you have a question customer planning? Just just a comment. I'm sorry. I missed the conversation on Tuesday
[325.52s -> 326.92s]  I'm gonna vote no today
[326.92s -> 332.08s]  I think the CO is unnecessary because once you overlay all the other development requirements
[332.56s -> 335.20s]  Specifically SOS you end up not being able to get much more than that anyway
[335.72s -> 338.20s]  I may be fine in the end. I'm just gonna vote on that today
[339.44s -> 343.80s]  Okay, all those in favor of item 70 raise your hand
[345.12s -> 347.12s]  All those opposed
[348.24s -> 354.40s]  Council member Flanagan voting no and the mayor and council member hyper Madison off the dice all the others voting aye
[355.28s -> 361.12s]  And then last item is actually 79 is also being postponed to
[363.60s -> 371.36s]  March 26th if nobody had if it somebody has any objections that'll be postponed till March 26th
