Zoning Case: C14-2017-0067
Meeting Date: 2018-03-22T00:00:00.000
Agenda Item: 91
Source URL: http://austintx.swagit.com/play/45759/0/
================================================================================

[0.00s -> 5.00s]  I'm sorry, 91.
[5.00s -> 6.00s]  Mr. Mayor?
[6.00s -> 7.00s]  Yes.
[7.00s -> 13.00s]  We have, I think 91 and 99 have a lot of speakers.
[13.00s -> 14.00s]  91, 99 do.
[14.00s -> 18.00s]  Do you think it's appropriate to take 95 and 96 first?
[18.00s -> 22.00s]  I mean, I don't want to, I'm just suggesting that.
[22.00s -> 25.00s]  I'm looking at, we have the same number.
[25.00s -> 27.00s]  We have people waiting either way.
[27.00s -> 28.00s]  Okay.
[28.00s -> 29.00s]  Okay.
[30.00s -> 33.00s]  Let's do, let's do 91 just to set that way.
[33.00s -> 36.00s]  Otherwise, there's no basis to make those choices.
[36.00s -> 40.00s]  This is kind of like the lottery.
[40.00s -> 41.00s]  All right.
[41.00s -> 42.00s]  91.
[42.00s -> 45.00s]  Mayor, Mayor, Councillor Durie, restaurant planning, zoning department.
[45.00s -> 50.00s]  Item 91 is KC14 2017 0067, known as Champion Track 1C,
[50.00s -> 53.00s]  for the property located at 6500 FM2222.
[54.00s -> 57.00s]  The requested zoning is from LRCO to CSCO.
[57.00s -> 59.00s]  It is a 13.8 acre track.
[59.00s -> 64.00s]  The requested, the applicant's requesting zoning of CSCO with the only permitted use
[64.00s -> 69.00s]  is being those along the LO zoning district with the exception of self-storage
[69.00s -> 73.00s]  and has also agreed to a triplementation of 470 trips per day.
[73.00s -> 76.00s]  The staff is in agreement with the applicant's request.
[76.00s -> 78.00s]  We actually negotiated with them.
[78.00s -> 81.00s]  The zoning and planning commission voted to deny the applicant's request
[82.00s -> 84.00s]  on a vote of 6 to 3.
[84.00s -> 89.00s]  The site is subject to the Champion settlement agreement, which I presume you are
[89.00s -> 91.00s]  intimately familiar with by now.
[91.00s -> 95.00s]  It is a former skeet range that did have some lead issues.
[95.00s -> 97.00s]  The lead has been cleaned up.
